x,y
11826,12265.4
11796.5,10661.7
13791.6,10358.2
13736.2,9982
13048.8,9621.8
12860.7,9499.9
12473.2,9355.1
12531.5,9258.1
12100.3,9598.8
11850.6,11107.5
14233.4,3667.8
13912.2,4143.1
14105.1,4195.1
10097.6,8807.1
10217.1,8840.7
10472.6,8733.5
10083.7,9010
9949.2,9082.2
10189.3,9285.6
9738,9403.2
9869.6,9570.6
10566.4,13344.1
11476.7,12370.3
11404,12353
11356.8,12404.3
9120.5,13014.5
6856.3,13361.1
5352.1,11742.3
14145.1,4316.2
13959.8,4327.1
14036.3,4451.9
9736.5,7345.6
6404.2,11983.1
7062.5,11420.4
7638.7,10793.7
7299.3,10674
4680.7,6323.9
4847.7,5912.8
5513,5617.8
4750,5078
11251.4,3719.5
11090.1,3333.6
10978.9,2920.9
10866.9,3054.2
11040.1,3150.2
10034,4459.5
11867.6,5193.2
8193.2,4346.5
8051.8,4131.8
8252.6,3542.2
8486.4,3368.7
8905.6,2990.5
8786.3,2774.7
8629.8,3003.6
8557.6,3008.7
8263.7,3340.7
5369.9,9296.5
5166.2,9499.5
5374.9,9499.1
5130.5,9822.7
13184.7,9742.4
13333.9,9444.4
13969.4,4691.2
9950.3,5212.3
6676,3590.6
6812.3,4090.9
3307.3,8703
3118.6,8764.8
5354.4,9113.6
5230.6,8969.1
9686.4,9750.2
10438.5,8789.7
2344.9,7842.5
2275.5,7912.7
2360,7884.8
2501.4,7897.2
2537.9,7901.7
1536.1,7443.9
6121.2,7082.8
1885.8,4365.7
2488.6,3945.9
2483.7,4040.1
10555.6,1437.5
2759.1,2934.1
10772,1500.4
3122,3373.5
2048.7,3305.3
1524.7,3217.5
10806,3227.2
11461.3,4043.8
12381.2,4039.4
10556.7,4432.9
8046.1,4592
5978.2,4532.3
8742.6,5496.1
15112.6,6432.7
11932.3,6664.9
10444.8,6526.2
3110.9,6879.2
10745.9,7607.1
11195.7,8091.4
3180.5,7971.5
2401.9,8327.5
2375.4,8422.7
2481.1,8409.3
4783.6,8719.6
5418.1,8924.5
13182.5,10093.8
12908.7,10232.2
12556.6,10878.3
2677.7,11302.8
13553.1,12129.8
13382.6,12371.9
