"","photo","group","successes","failures"
"1","t1_1","abiotic",1,99
"2","t1_1","macro",17,83
"3","t1_1","non-reef",9,91
"4","t1_1","plob",62,38
"5","t1_1","turf",5,95
"6","t1_1",NA,6,94
"7","t1_10","macro",25,75
"8","t1_10","non-reef",6,94
"9","t1_10","plob",57,43
"10","t1_10","turf",12,88
"11","t1_11","macro",9,91
"12","t1_11","non-reef",8,92
"13","t1_11","plob",83,17
"14","t1_12","macro",42,58
"15","t1_12","non-reef",2,98
"16","t1_12","plob",55,45
"17","t1_12","turf",1,99
"18","t1_13","macro",29,71
"19","t1_13","non-reef",4,96
"20","t1_13","plob",66,34
"21","t1_13",NA,1,99
"22","t1_14","macro",15,85
"23","t1_14","non-reef",3,97
"24","t1_14","plob",81,19
"25","t1_14","turf",1,99
"26","t1_15","abiotic",11,89
"27","t1_15","macro",17,83
"28","t1_15","non-reef",4,96
"29","t1_15","plob",67,33
"30","t1_15","turf",1,99
"31","t1_2","macro",21,79
"32","t1_2","non-reef",2,98
"33","t1_2","plob",75,25
"34","t1_2","turf",1,99
"35","t1_2","poci",1,99
"36","t1_3","macro",10,90
"37","t1_3","non-reef",14,86
"38","t1_3","plob",60,40
"39","t1_3","turf",11,89
"40","t1_3",NA,5,95
"41","t1_4","macro",13,87
"42","t1_4","non-reef",12,88
"43","t1_4","plob",75,25
"44","t1_5","macro",14,86
"45","t1_5","non-reef",4,96
"46","t1_5","plob",65,35
"47","t1_5","turf",11,89
"48","t1_5","poci",5,95
"49","t1_5",NA,1,99
"50","t1_6","macro",28,72
"51","t1_6","non-reef",5,95
"52","t1_6","plob",63,37
"53","t1_6","turf",4,96
"54","t1_7","macro",33,67
"55","t1_7","non-reef",3,97
"56","t1_7","plob",37,63
"57","t1_7","turf",25,75
"58","t1_7","poci",2,98
"59","t1_8","macro",32,68
"60","t1_8","non-reef",6,94
"61","t1_8","plob",48,52
"62","t1_8","turf",13,87
"63","t1_8",NA,1,99
"64","t1_9","macro",24,76
"65","t1_9","non-reef",4,96
"66","t1_9","plob",51,49
"67","t1_9","turf",17,83
"68","t1_9","poci",4,96
"69","t2_1","macro",19,81
"70","t2_1","non-reef",5,95
"71","t2_1","plob",76,24
"72","t2_10","macro",29,71
"73","t2_10","non-reef",5,95
"74","t2_10","plob",62,38
"75","t2_10","turf",1,99
"76","t2_10","poci",2,98
"77","t2_10","biotic",1,99
"78","t2_11","macro",22,78
"79","t2_11","non-reef",7,93
"80","t2_11","plob",58,42
"81","t2_11","turf",13,87
"82","t2_12","abiotic",1,99
"83","t2_12","macro",14,86
"84","t2_12","non-reef",15,85
"85","t2_12","plob",68,32
"86","t2_12","turf",2,98
"87","t2_13","abiotic",7,93
"88","t2_13","macro",16,84
"89","t2_13","non-reef",6,94
"90","t2_13","plob",68,32
"91","t2_13","turf",1,99
"92","t2_13","poci",2,98
"93","t2_14","macro",16,84
"94","t2_14","non-reef",4,96
"95","t2_14","plob",74,26
"96","t2_14","turf",5,95
"97","t2_14",NA,1,99
"98","t2_15","macro",3,97
"99","t2_15","non-reef",13,87
"100","t2_15","plob",72,28
"101","t2_15","turf",8,92
"102","t2_15","poci",3,97
"103","t2_15",NA,1,99
"104","t2_2","macro",7,93
"105","t2_2","non-reef",3,97
"106","t2_2","plob",90,10
"107","t2_3","macro",16,84
"108","t2_3","non-reef",2,98
"109","t2_3","plob",82,18
"110","t2_4","macro",9,91
"111","t2_4","non-reef",13,87
"112","t2_4","plob",70,30
"113","t2_4","turf",6,94
"114","t2_4",NA,2,98
"115","t2_5","macro",29,71
"116","t2_5","non-reef",3,97
"117","t2_5","plob",57,43
"118","t2_5","turf",10,90
"119","t2_5",NA,1,99
"120","t2_6","macro",25,75
"121","t2_6","non-reef",5,95
"122","t2_6","plob",69,31
"123","t2_6","turf",1,99
"124","t2_7","macro",30,70
"125","t2_7","non-reef",6,94
"126","t2_7","plob",61,39
"127","t2_7","turf",3,97
"128","t2_8","macro",19,81
"129","t2_8","non-reef",4,96
"130","t2_8","plob",58,42
"131","t2_8","turf",13,87
"132","t2_8","biotic",2,98
"133","t2_8",NA,4,96
"134","t2_9","macro",48,52
"135","t2_9","non-reef",11,89
"136","t2_9","plob",21,79
"137","t2_9","turf",15,85
"138","t2_9","poci",1,99
"139","t2_9",NA,4,96
"140","t3_1","abiotic",20,80
"141","t3_1","macro",19,81
"142","t3_1","non-reef",2,98
"143","t3_1","plob",54,46
"144","t3_1","turf",5,95
"145","t3_10","macro",6,94
"146","t3_10","non-reef",5,95
"147","t3_10","plob",75,25
"148","t3_10","turf",1,99
"149","t3_10",NA,13,87
"150","t3_11","macro",6,94
"151","t3_11","non-reef",2,98
"152","t3_11","plob",85,15
"153","t3_11","turf",7,93
"154","t3_12","macro",8,92
"155","t3_12","non-reef",4,96
"156","t3_12","plob",85,15
"157","t3_12","turf",2,98
"158","t3_12","poci",1,99
"159","t3_13","macro",12,88
"160","t3_13","non-reef",5,95
"161","t3_13","plob",82,18
"162","t3_13","turf",1,99
"163","t3_14","macro",14,86
"164","t3_14","non-reef",4,96
"165","t3_14","plob",81,19
"166","t3_14","turf",1,99
"167","t3_15","macro",9,91
"168","t3_15","non-reef",7,93
"169","t3_15","plob",82,18
"170","t3_15","turf",2,98
"171","t3_2","abiotic",25,75
"172","t3_2","macro",26,74
"173","t3_2","non-reef",3,97
"174","t3_2","plob",46,54
"175","t3_3","abiotic",1,99
"176","t3_3","macro",40,60
"177","t3_3","non-reef",3,97
"178","t3_3","plob",46,54
"179","t3_3",NA,10,90
"180","t3_4","abiotic",4,96
"181","t3_4","macro",17,83
"182","t3_4","non-reef",3,97
"183","t3_4","plob",31,69
"184","t3_4","turf",43,57
"185","t3_4","poci",2,98
"186","t3_5","abiotic",1,99
"187","t3_5","macro",28,72
"188","t3_5","non-reef",4,96
"189","t3_5","plob",50,50
"190","t3_5","turf",14,86
"191","t3_5","poci",3,97
"192","t3_6","macro",15,85
"193","t3_6","plob",53,47
"194","t3_6","turf",25,75
"195","t3_6","poci",6,94
"196","t3_6","biotic",1,99
"197","t3_7","abiotic",2,98
"198","t3_7","macro",12,88
"199","t3_7","non-reef",4,96
"200","t3_7","plob",82,18
"201","t3_8","abiotic",4,96
"202","t3_8","macro",12,88
"203","t3_8","non-reef",3,97
"204","t3_8","plob",42,58
"205","t3_8","turf",37,63
"206","t3_8",NA,2,98
"207","t3_9","macro",14,86
"208","t3_9","non-reef",7,93
"209","t3_9","plob",71,29
"210","t3_9","turf",5,95
"211","t3_9",NA,3,97
"212","t4_1","macro",14,86
"213","t4_1","non-reef",2,98
"214","t4_1","plob",82,18
"215","t4_1","poci",2,98
"216","t4_10","macro",30,70
"217","t4_10","non-reef",2,98
"218","t4_10","plob",68,32
"219","t4_11","macro",9,91
"220","t4_11","non-reef",2,98
"221","t4_11","plob",87,13
"222","t4_11","turf",1,99
"223","t4_11",NA,1,99
"224","t4_12","macro",21,79
"225","t4_12","non-reef",4,96
"226","t4_12","plob",69,31
"227","t4_12","turf",5,95
"228","t4_12",NA,1,99
"229","t4_13","abiotic",3,97
"230","t4_13","macro",14,86
"231","t4_13","plob",80,20
"232","t4_13","turf",1,99
"233","t4_13",NA,2,98
"234","t4_14","abiotic",7,93
"235","t4_14","macro",16,84
"236","t4_14","non-reef",2,98
"237","t4_14","plob",67,33
"238","t4_14","turf",8,92
"239","t4_15","abiotic",55,45
"240","t4_15","macro",15,85
"241","t4_15","non-reef",2,98
"242","t4_15","plob",3,97
"243","t4_15","turf",4,96
"244","t4_15",NA,21,79
"245","t4_2","macro",20,80
"246","t4_2","non-reef",1,99
"247","t4_2","plob",79,21
"248","t4_3","macro",16,84
"249","t4_3","non-reef",3,97
"250","t4_3","plob",81,19
"251","t4_4","macro",17,83
"252","t4_4","non-reef",4,96
"253","t4_4","plob",79,21
"254","t4_5","abiotic",6,94
"255","t4_5","macro",19,81
"256","t4_5","non-reef",4,96
"257","t4_5","plob",64,36
"258","t4_5","poci",2,98
"259","t4_5","biotic",1,99
"260","t4_5",NA,4,96
"261","t4_6","macro",25,75
"262","t4_6","plob",75,25
"263","t4_7","abiotic",7,93
"264","t4_7","macro",20,80
"265","t4_7","non-reef",2,98
"266","t4_7","plob",65,35
"267","t4_7",NA,6,94
"268","t4_8","macro",15,85
"269","t4_8","non-reef",3,97
"270","t4_8","plob",76,24
"271","t4_8","poci",1,99
"272","t4_8",NA,5,95
"273","t4_9","macro",28,72
"274","t4_9","non-reef",3,97
"275","t4_9","plob",63,37
"276","t4_9","turf",1,99
"277","t4_9","poci",1,99
"278","t4_9",NA,4,96
