layer,level,class,id,plot_id,percentage_inside,Site,cover,clumpy,pd,pland
1,class,1,NA,1,99.99391446,ana,coral,0.992040707,2.000121718,1.238353818
1,class,1,NA,2,99.89351896,ana,coral,0.990401091,8.008527563,6.009120047
1,class,1,NA,3,99.99391446,ana,coral,0.995174274,4.000243437,3.218911865
1,class,1,NA,4,99.99391446,ana,coral,0.995263018,3.000182577,3.67172917
1,class,1,NA,5,99.89351896,ana,coral,0.997965772,1.001065945,1.014428278
1,class,1,NA,7,99.99391446,ana,coral,0.991441416,2.000121718,0.541401017
1,class,1,NA,8,99.99391446,ana,coral,0.99695573,1.000060859,0.659478962
1,class,1,NA,9,99.89351896,ana,coral,0.998412736,1.001065945,1.797316563
1,class,1,NA,11,100.094512,ana,coral,0.993246041,2.997167319,5.325523198
1,class,1,NA,14,100.094512,ana,coral,0.995872884,1.998111546,0.960323707
1,class,1,NA,17,100.094512,ana,coral,0.993023981,1.998111546,1.81076063
1,class,1,NA,18,100.094512,ana,coral,0.999053762,0.999055773,2.928397005
1,class,1,NA,21,99.99391446,ana,coral,1,1.000060859,4.04E-04
1,class,1,NA,23,99.99391446,ana,coral,0.992028602,2.000121718,1.151689252
1,class,1,NA,24,99.99391446,ana,coral,0.989833826,3.000182577,1.110781153
1,class,1,NA,25,99.89351896,ana,coral,0.995978842,1.001065945,1.039301133
1,class,1,NA,40,99.99391446,ana,coral,0.998193787,1.000060859,0.513118874
1,class,1,NA,42,99.99401546,ana,coral,0.998174718,1.000059849,1.903689301
1,class,1,NA,49,99.99401546,ana,coral,0.999064343,1.000059849,1.157647534
1,class,1,NA,50,100.094512,ana,coral,0.996595116,0.999055773,0.453371274
1,class,1,NA,57,99.99391446,ana,coral,0.998070606,1.000060859,1.311180335
1,class,1,NA,63,100.094512,ana,coral,0.994515031,0.999055773,0.675062057
1,class,1,NA,64,100.094512,ana,coral,0.991311375,2.997167319,2.395309883
1,class,1,NA,73,99.99391446,ana,coral,0.995422515,1.000060859,1.058560197
1,class,1,NA,76,99.89351896,ana,coral,0.99829014,2.002131891,1.147386834
1,class,1,NA,82,99.89351896,ana,coral,0.992255691,3.003197836,0.965693659
1,class,1,NA,84,99.99391446,ana,coral,0.99770165,1.000060859,1.280170986
1,class,1,NA,93,100.094512,ana,coral,0.997965594,0.999055773,0.961433674
1,class,1,NA,100,100.094512,ana,coral,0.993353885,2.997167319,2.459587092
1,class,1,NA,103,99.99391446,ana,coral,0.997028192,1.000060859,0.433322829
1,class,1,NA,104,99.99391446,ana,coral,0.996661864,1.000060859,0.817555938
1,class,1,NA,105,99.89351896,ana,coral,0.997583501,1.001065945,1.282974227
1,class,1,NA,106,99.89351896,ana,coral,0.991245789,2.002131891,1.723203543
1,class,1,NA,108,99.99391446,ana,coral,0.990321503,3.000182577,1.880459464
1,class,1,NA,109,99.89351896,ana,coral,0.991220515,3.003197836,2.75229265
1,class,1,NA,110,99.99391446,ana,coral,0.993405732,1.000060859,0.757355377
1,class,1,NA,111,99.99391446,ana,coral,0.992866368,4.000243437,4.3743384
1,class,1,NA,112,99.89351896,ana,coral,0.997507753,1.001065945,2.363123464
1,class,1,NA,115,99.89351896,ana,coral,0.992930917,3.003197836,3.819196587
1,class,1,NA,118,99.99391446,ana,coral,0.984651964,2.000121718,0.081917206
1,class,1,NA,121,100.094512,ana,coral,0.993123052,1.998111546,1.829630078
1,class,1,NA,122,99.99401546,ana,coral,0.995450683,2.000119698,2.921845408
1,class,1,NA,125,99.99401546,ana,coral,0.9619812,1.000059849,0.018686397
1,class,1,NA,126,99.99401546,ana,coral,0.995417282,2.000119698,1.832276963
1,class,1,NA,127,100.094512,ana,coral,0.994717757,1.998111546,1.793303869
1,class,1,NA,129,99.99401546,ana,coral,0.997756193,1.000059849,1.218757102
1,class,1,NA,130,100.094512,ana,coral,0.985655815,0.999055773,0.101814292
1,class,1,NA,131,99.99391446,ana,coral,0.995978493,1.000060859,1.038156651
1,class,1,NA,132,99.89351896,ana,coral,0.992133269,1.001065945,0.426074032
1,class,1,NA,136,99.89351896,ana,coral,0.991987369,2.002131891,0.797650223
1,class,1,NA,137,99.99391446,ana,coral,0.992333369,2.000121718,0.812707571
1,class,1,NA,140,99.99391446,ana,coral,0.994836907,1.000060859,0.56837006
1,class,1,NA,142,99.89351896,ana,coral,0.992279275,1.001065945,0.27451139
1,class,1,NA,143,99.99391446,ana,coral,0.995851659,2.000121718,2.526504408
1,class,1,NA,144,99.99391446,ana,coral,0.996049831,2.000121718,0.456352573
1,class,1,NA,145,99.89351896,ana,coral,0.992445807,3.003197836,2.755730362
1,class,1,NA,147,99.99391446,ana,coral,0.997758309,1.000060859,0.711901934
1,class,1,NA,161,99.99391446,ana,coral,0.996427175,2.000121718,3.841826057
1,class,1,NA,162,99.89351896,ana,coral,0.99482893,2.002131891,1.480945977
1,class,1,NA,171,99.99391446,ana,coral,0.997906917,1.000060859,1.48178226
1,class,1,NA,172,99.89351896,ana,coral,0.99024678,2.002131891,1.090057936
1,class,1,NA,173,99.99391446,ana,coral,0.66666229,1.000060859,0.001313099
1,class,1,NA,174,99.99391446,ana,coral,0.997249089,1.000060859,1.674807883
1,class,1,NA,175,99.89351896,ana,coral,0.995518788,1.001065945,0.425770705
1,class,1,NA,179,99.89351896,ana,coral,0.998499342,1.001065945,1.308655956
1,class,1,NA,186,99.99401546,ana,coral,0.995219799,2.000119698,2.900532815
1,class,1,NA,189,99.99401546,ana,coral,0.994776074,2.000119698,3.328602813
1,class,1,NA,191,99.99391446,ana,coral,0.994927141,1.000060859,0.173733162
1,class,1,NA,192,99.89351896,ana,coral,0.995697557,3.003197836,4.863755397
1,class,1,NA,193,99.99391446,ana,coral,0.996529862,1.000060859,0.845939088
1,class,1,NA,196,99.89351896,ana,coral,0.99572058,1.001065945,0.553977129
1,class,1,NA,197,99.99391446,ana,coral,0.997319129,2.000121718,0.980279266
1,class,1,NA,198,99.99391446,ana,coral,0.998101932,2.000121718,3.636376492
1,class,1,NA,201,100.094512,ana,coral,0.996400651,0.999055773,0.571532361
1,class,1,NA,202,99.99401546,ana,coral,0.998969065,1.000059849,1.049973486
1,class,1,NA,204,100.094512,ana,coral,0.997020034,0.999055773,0.655788985
