location,depth,transect,photo,group,successes,failures
north,dp,t1,t1_1,abiotic,1,99
north,dp,t1,t1_1,biotic,0,100
north,dp,t1,t1_1,macro,17,83
north,dp,t1,t1_1,non-reef,15,85
north,dp,t1,t1_1,plob,62,38
north,dp,t1,t1_1,poci,5,95
north,dp,t1,t1_1,turf,0,100
north,dp,t1,t1_10,abiotic,0,100
north,dp,t1,t1_10,biotic,0,100
north,dp,t1,t1_10,macro,25,75
north,dp,t1,t1_10,non-reef,6,94
north,dp,t1,t1_10,plob,57,43
north,dp,t1,t1_10,poci,0,100
north,dp,t1,t1_10,turf,12,88
north,dp,t1,t1_11,abiotic,0,100
north,dp,t1,t1_11,biotic,0,100
north,dp,t1,t1_11,macro,9,91
north,dp,t1,t1_11,non-reef,8,92
north,dp,t1,t1_11,plob,83,17
north,dp,t1,t1_11,poci,0,100
north,dp,t1,t1_11,turf,0,100
north,dp,t1,t1_12,abiotic,0,100
north,dp,t1,t1_12,biotic,0,100
north,dp,t1,t1_12,macro,42,58
north,dp,t1,t1_12,non-reef,2,98
north,dp,t1,t1_12,plob,55,45
north,dp,t1,t1_12,poci,0,100
north,dp,t1,t1_12,turf,1,99
north,dp,t1,t1_13,abiotic,0,100
north,dp,t1,t1_13,biotic,0,100
north,dp,t1,t1_13,macro,29,71
north,dp,t1,t1_13,non-reef,5,95
north,dp,t1,t1_13,plob,66,34
north,dp,t1,t1_13,poci,0,100
north,dp,t1,t1_13,turf,0,100
north,dp,t1,t1_14,abiotic,0,100
north,dp,t1,t1_14,biotic,0,100
north,dp,t1,t1_14,macro,15,85
north,dp,t1,t1_14,non-reef,3,97
north,dp,t1,t1_14,plob,81,19
north,dp,t1,t1_14,poci,0,100
north,dp,t1,t1_14,turf,1,99
north,dp,t1,t1_15,abiotic,11,89
north,dp,t1,t1_15,biotic,0,100
north,dp,t1,t1_15,macro,17,83
north,dp,t1,t1_15,non-reef,4,96
north,dp,t1,t1_15,plob,67,33
north,dp,t1,t1_15,poci,0,100
north,dp,t1,t1_15,turf,1,99
north,dp,t1,t1_2,abiotic,0,100
north,dp,t1,t1_2,biotic,0,100
north,dp,t1,t1_2,macro,21,79
north,dp,t1,t1_2,non-reef,2,98
north,dp,t1,t1_2,plob,75,25
north,dp,t1,t1_2,poci,1,99
north,dp,t1,t1_2,turf,0,100
north,dp,t1,t1_3,abiotic,0,100
north,dp,t1,t1_3,biotic,0,100
north,dp,t1,t1_3,macro,10,90
north,dp,t1,t1_3,non-reef,19,81
north,dp,t1,t1_3,plob,60,40
north,dp,t1,t1_3,poci,0,100
north,dp,t1,t1_3,turf,11,89
north,dp,t1,t1_4,abiotic,0,100
north,dp,t1,t1_4,biotic,0,100
north,dp,t1,t1_4,macro,13,87
north,dp,t1,t1_4,non-reef,12,88
north,dp,t1,t1_4,plob,75,25
north,dp,t1,t1_4,poci,0,100
north,dp,t1,t1_4,turf,0,100
north,dp,t1,t1_5,abiotic,0,100
north,dp,t1,t1_5,biotic,0,100
north,dp,t1,t1_5,macro,14,86
north,dp,t1,t1_5,non-reef,5,95
north,dp,t1,t1_5,plob,65,35
north,dp,t1,t1_5,poci,0,100
north,dp,t1,t1_5,turf,11,89
north,dp,t1,t1_6,abiotic,0,100
north,dp,t1,t1_6,biotic,0,100
north,dp,t1,t1_6,macro,28,72
north,dp,t1,t1_6,non-reef,5,95
north,dp,t1,t1_6,plob,63,37
north,dp,t1,t1_6,poci,0,100
north,dp,t1,t1_6,turf,4,96
north,dp,t1,t1_7,abiotic,0,100
north,dp,t1,t1_7,biotic,0,100
north,dp,t1,t1_7,macro,33,67
north,dp,t1,t1_7,non-reef,3,97
north,dp,t1,t1_7,plob,37,63
north,dp,t1,t1_7,poci,2,98
north,dp,t1,t1_7,turf,25,75
north,dp,t1,t1_8,abiotic,0,100
north,dp,t1,t1_8,biotic,0,100
north,dp,t1,t1_8,macro,32,68
north,dp,t1,t1_8,non-reef,7,93
north,dp,t1,t1_8,plob,48,52
north,dp,t1,t1_8,poci,13,87
north,dp,t1,t1_8,turf,0,100
