location,depth,transect,photo,group,successes,failures,,group
north,dp,t1,t1_1,abiotic,1,99,,abiotic
north,dp,t1,t1_1,biotic,,,,biotic
north,dp,t1,t1_1,macro,17,83,,macro
north,dp,t1,t1_1,non-reef,15,85,,non-reef
north,dp,t1,t1_1,plob,62,38,,plob
north,dp,t1,t1_1,poci,5,95,,poci
north,dp,t1,t1_1,turf,,,,turf
north,dp,t1,t1_10,abiotic,,,,abiotic
north,dp,t1,t1_10,biotic,,,,biotic
north,dp,t1,t1_10,macro,25,75,,macro
north,dp,t1,t1_10,non-reef,6,94,,non-reef
north,dp,t1,t1_10,plob,57,43,,plob
north,dp,t1,t1_10,poci,,,,poci
north,dp,t1,t1_10,turf,12,88,,turf
north,dp,t1,t1_11,abiotic,,,,abiotic
north,dp,t1,t1_11,biotic,,,,biotic
north,dp,t1,t1_11,macro,9,91,,macro
north,dp,t1,t1_11,non-reef,8,92,,non-reef
north,dp,t1,t1_11,plob,83,17,,plob
north,dp,t1,t1_11,poci,,,,poci
north,dp,t1,t1_11,turf,,,,turf
north,dp,t1,t1_12,abiotic,,,,abiotic
north,dp,t1,t1_12,biotic,,,,biotic
north,dp,t1,t1_12,macro,42,58,,macro
north,dp,t1,t1_12,non-reef,2,98,,non-reef
north,dp,t1,t1_12,plob,55,45,,plob
north,dp,t1,t1_12,poci,,,,poci
north,dp,t1,t1_12,turf,1,99,,turf
north,dp,t1,t1_13,abiotic,,,,abiotic
north,dp,t1,t1_13,biotic,,,,biotic
north,dp,t1,t1_13,macro,29,71,,macro
north,dp,t1,t1_13,non-reef,5,95,,non-reef
north,dp,t1,t1_13,plob,66,34,,plob
north,dp,t1,t1_13,poci,,,,poci
north,dp,t1,t1_13,turf,,,,turf
north,dp,t1,t1_14,abiotic,,,,abiotic
north,dp,t1,t1_14,biotic,,,,biotic
north,dp,t1,t1_14,macro,15,85,,macro
north,dp,t1,t1_14,non-reef,3,97,,non-reef
north,dp,t1,t1_14,plob,81,19,,plob
north,dp,t1,t1_14,poci,,,,poci
north,dp,t1,t1_14,turf,1,99,,turf
north,dp,t1,t1_15,abiotic,11,89,,abiotic
north,dp,t1,t1_15,biotic,,,,biotic
north,dp,t1,t1_15,macro,17,83,,macro
north,dp,t1,t1_15,non-reef,4,96,,non-reef
north,dp,t1,t1_15,plob,67,33,,plob
north,dp,t1,t1_15,poci,,,,poci
north,dp,t1,t1_15,turf,1,99,,turf
north,dp,t1,t1_2,abiotic,,,,abiotic
north,dp,t1,t1_2,biotic,,,,biotic
north,dp,t1,t1_2,macro,21,79,,macro
north,dp,t1,t1_2,non-reef,2,98,,non-reef
north,dp,t1,t1_2,plob,75,25,,plob
north,dp,t1,t1_2,poci,1,99,,poci
north,dp,t1,t1_2,turf,0,100,,turf
north,dp,t1,t1_3,abiotic,0,100,,abiotic
north,dp,t1,t1_3,biotic,0,100,,biotic
north,dp,t1,t1_3,macro,10,90,,macro
north,dp,t1,t1_3,non-reef,19,81,,non-reef
north,dp,t1,t1_3,plob,60,40,,plob
north,dp,t1,t1_3,poci,0,100,,poci
north,dp,t1,t1_3,turf,11,89,,turf
north,dp,t1,t1_4,abiotic,,,,abiotic
north,dp,t1,t1_4,biotic,,,,biotic
north,dp,t1,t1_4,macro,13,87,,macro
north,dp,t1,t1_4,non-reef,12,88,,non-reef
north,dp,t1,t1_4,plob,75,25,,plob
north,dp,t1,t1_4,poci,,,,poci
north,dp,t1,t1_4,turf,0,100,,turf
north,dp,t1,t1_5,abiotic,,,,abiotic
north,dp,t1,t1_5,biotic,,,,biotic
north,dp,t1,t1_5,macro,14,86,,macro
north,dp,t1,t1_5,non-reef,5,95,,non-reef
north,dp,t1,t1_5,plob,65,35,,plob
north,dp,t1,t1_5,poci,,,,poci
north,dp,t1,t1_5,turf,11,89,,turf
north,dp,t1,t1_6,abiotic,,,,abiotic
north,dp,t1,t1_6,biotic,,,,biotic
north,dp,t1,t1_6,macro,28,72,,macro
north,dp,t1,t1_6,non-reef,5,95,,non-reef
north,dp,t1,t1_6,plob,63,37,,plob
north,dp,t1,t1_6,poci,,,,poci
north,dp,t1,t1_6,turf,4,96,,turf
north,dp,t1,t1_7,abiotic,,,,abiotic
north,dp,t1,t1_7,biotic,,,,biotic
north,dp,t1,t1_7,macro,33,67,,macro
north,dp,t1,t1_7,non-reef,3,97,,non-reef
north,dp,t1,t1_7,plob,37,63,,plob
north,dp,t1,t1_7,poci,2,98,,poci
north,dp,t1,t1_7,turf,25,75,,turf
