location,depth,transect,photo,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11,pt12,pt13,pt14,pt15,pt16,pt17,pt18,pt19,pt20,pt21,pt22,pt23,pt24,pt25,pt26,pt27,pt28,pt29,pt30,pt31,pt32,pt33,pt34,pt35,pt36,pt37,pt38,pt39,pt40,pt41,pt42,pt43,pt44,pt45,pt46,pt47,pt48,pt49,pt50,pt51,pt52,pt53,pt54,pt55,pt56,pt57,pt58,pt59,pt60,pt61,pt62,pt63,pt64,pt65,pt66,pt67,pt68,pt69,pt70,pt71,pt72,pt73,pt74,pt75,pt76,pt77,pt78,pt79,pt80,pt81,pt82,pt83,pt84,pt85,pt86,pt87,pt88,pt89,pt90,pt91,pt92,pt93,pt94,pt95,pt96,pt97,pt98,pt99,pt100
ana,dp,one,t1_1,PLOB,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,PLOB,PLOB,MACRO_UNK,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,MACRO_UNK,SHAD,SHAD,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,EAM,EAM,WAND,PLOB,PLOB,PLOB,SOBT,SOBT,TURF,CYANO,TURF,LVAR,LVAR,SOBT,SHAD,PLOB,SOBT,CYANO,WAND,CYANO,CYANO,CYANO,PLOB,PLOB,PLOB,PLOB,LVAR,PLOB,PLOB,EAM,PLOB,CYANO,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,MACRO_UNK,PLOB,SHAD,PLOB,PLOB,SPR,PLOB,PLOB,PLOB,MACRO_UNK,MACRO_UNK,MACRO_UNK,PLOB,PLOB,PLOB,PLOB
ana,dp,one,t1_2,PLOB,PLOB,PLOB,PLOB,PLOB,LVAR,LVAR,PLOB,PLOB,PLOB,MACRO_UNK,PLOB,LVAR,HALI,HALI,LVAR,PLOB,PLOB,PLOB,PLOB,LVAR,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SOBT,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,SOBT,SOBT,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,MACRO_UNK,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,PLOB,PVER,MACRO_UNK,SHAD,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB
ana,dp,one,t1_3,SHAD,TURF,TURF,TURF,TURF,TURF,TURF,SHAD,SHAD,SHAD,SHAD,LVAR,CCA,CCA,CYANO,CYANO,SHAD,PLOB,PLOB,SHAD,SHAD,TURF,TURF,TURF,CYANO,EAM,SHAD,PLOB,SHAD,HALI,LVAR,LVAR,LVAR,LVAR,LVAR,MACRO_UNK,PLOB,MACRO_UNK,HALI,SHAD,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,WAND,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,TAPE,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
ana,dp,one,t1_4,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,WAND,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,WAND,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,PLOB,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,PLOB,MACRO_UNK,MACRO_UNK,TAPE,PLOB,TAPE,PLOB,PLOB,TAPE,TAPE,MACRO_UNK,PLOB,PLOB,PLOB,MACRO_UNK,MACRO_UNK,MACRO_UNK,PLOB,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,PLOB,MACRO_UNK,MACRO_UNK,MACRO_UNK,PLOB
ana,dp,one,t1_5,PLOB,PLOB,PLOB,PLOB,LVAR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,EAM,TURF,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,LVAR,LVAR,HALI,CCA,HALI,PLOB,PLOB,PLOB,PLOB,LVAR,HALI,TURF,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,EAM,MACRO_UNK,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,MACRO_UNK,PLOB,PLOB,PLOB,MACRO_UNK,PVER,TAPE,PLOB,TURF,TURF,EAM,TURF,PVER,PVER,PVER,PVER,MACRO_UNK,PLOB
ana,dp,one,t1_6,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,LVAR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,PLOB,PLOB,LVAR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,LVAR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,PLOB,PLOB,LVAR,PLOB,MACRO_UNK,PLOB,LVAR,LVAR,TURF,LVAR,PLOB,PLOB,PLOB,LVAR,LVAR,PLOB,PLOB,MACRO_UNK,MACRO_UNK,PLOB,PLOB,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SOBT,PLOB,MACRO_UNK,MACRO_UNK,MACRO_UNK,MACRO_UNK,PLOB,LVAR,UNK,SOBT,SOBT,PLOB,PLOB,LVAR,TURF,TURF,SHAD,UNK,UNK,MACRO_UNK,MACRO_UNK,PLOB,MACRO_UNK,MACRO_UNK,PLOB,TURF
ana,dp,one,t1_7,MACRO_UNK,PLOB,TURF,TURF,TURF,TURF,HALI,HALI,TURF,TURF,TURF,TURF,TURF,TURF,TURF,TURF,TURF,TURF,TURF,TURF,TURF,TURF,TURF,TURF,TURF,TURF,TURF,MACRO_UNK,TURF,MACRO_UNK,PLOB,PLOB,MACRO_UNK,MACRO_UNK,MACRO_UNK,PLOB,PLOB,PLOB,MACRO_UNK,MACRO_UNK,HALI,PLOB,MACRO_UNK,SHAD,MACRO_UNK,PLOB,LVAR,WAND,PLOB,PLOB,PVER,MACRO_UNK,MACRO_UNK,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,SOBT,LVAR,PVER,LVAR,MACRO_UNK,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,MACRO_UNK,PLOB,HALI,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,MACRO_UNK,PLOB,PLOB,MACRO_UNK,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,HALI,MACRO_UNK,MACRO_UNK,PLOB,PLOB,PLOB,SHAD,MACRO_UNK,PLOB,PLOB
ana,dp,one,t1_8,HALI,TURF,TURF,TURF,TURF,TURF,PLOB,HALI,PLOB,MACRO_UNK,HALI,MACRO_UNK,MACRO_UNK,TURF,TURF,TURF,TURF,CYANO,TURF,TURF,MACRO_UNK,HALI,PLOB,MACRO_UNK,MACRO_UNK,PLOB,MACRO_UNK,PLOB,MACRO_UNK,PLOB,HALI,PLOB,PLOB,MACRO_UNK,MACRO_UNK,MACRO_UNK,PLOB,PLOB,MACRO_UNK,MACRO_UNK,MACRO_UNK,PLOB,PLOB,HALI,HALI,HALI,HALI,HALI,WAND,MACRO_UNK,PLOB,PLOB,PLOB,MACRO_UNK,CPOC,PLOB,PLOB,MACRO_UNK,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,PLOB,CPOC,PLOB,PLOB,HALI,PLOB,MACRO_UNK,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,TURF,PLOB,PLOB,PLOB,PLOB,TAPE,PLOB,TAPE,PLOB,TAPE,TAPE,PLOB,TAPE,PLOB
ana,dp,one,t1_9,PLOB,EAM,EAM,HALI,SHAD,SHAD,TURF,HALI,EAM,EAM,PLOB,PLOB,LVAR,HALI,HALI,LVAR,HALI,EAM,EAM,EAM,PLOB,PLOB,PLOB,HALI,PLOB,LVAR,EAM,EAM,EAM,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,WAND,EAM,EAM,HALI,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,LVAR,LVAR,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,SHAD,HALI,TURF,TURF,PLOB,HALI,PLOB,PLOB,PLOB,HALI,PLOB,LVAR,MACRO_UNK,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,LVAR,LVAR,LVAR
ana,dp,one,t1_10,PLOB,PLOB,PLOB,PLOB,HALI,TURF,PLOB,PLOB,PLOB,PLOB,HALI,HALI,HALI,EAM,TURF,TURF,MACRO_UNK,PLOB,PLOB,PLOB,HALI,LVAR,SOBT,TURF,LVAR,LVAR,LVAR,TURF,TURF,HALI,PLOB,LVAR,MACRO_UNK,TURF,PLOB,PLOB,PLOB,WAND,WAND,MACRO_UNK,MACRO_UNK,SOBT,PLOB,SHAD,EAM,PLOB,MACRO_UNK,SHAD,PLOB,PLOB,PLOB,PLOB,SOBT,PLOB,SHAD,PLOB,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,TURF,EAM,HALI,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,LVAR,MACRO_UNK,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,MACRO_UNK,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
