location ,depth,transect,photo,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11,pt12,pt13,pt14,pt15,pt16,pt17,pt18,pt19,pt20,pt21,pt22,pt23,pt24,pt25,pt26,pt27,pt28,pt29,pt30,pt31,pt32,pt33,pt34,pt35,pt36,pt37,pt38,pt39,pt40,pt41,pt42,pt43,pt44,pt45,pt46,pt47,pt48,pt49,pt50,pt51,pt52,pt53,pt54,pt55,pt56,pt57,pt58,pt59,pt60,pt61,pt62,pt63,pt64,pt65,pt66,pt67,pt68,pt69,pt70,pt71,pt72,pt73,pt74,pt75,pt76,pt77,pt78,pt79,pt80,pt81,pt82,pt83,pt84,pt85,pt86,pt87,pt88,pt89,pt90,pt91,pt92,pt93,pt94,pt95,pt96,pt97,pt98,pt99,pt100
ana,md,one,t1_1,UNK,PVER,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,MACRO_UNK,TURF,PVER,PVER,UNK,EAM,EAM,UNK,PLOB,UNK,HALI,HALI,PLOB,PLOB,TURF,PLOB,EAM,SHAD,PLOB,UNK,SHAD,HALI,PLOB,PLOB,PLOB,EAM,WAND,EAM,EAM,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,HALI,TURF,HALI,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,EAM,HALI,HALI,SHAD,PLOB,PLOB,PLOB,PLOB,TURF,EAM,TURF,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,PLOB,UNK,UNK,SHAD,SHAD,PLOB,PLOB,SHAD,SHAD,SHAD,SHAD,SHAD,UNK,UNK,UNK,UNK,SHAD,PLOB,PLOB,SHAD
ana,md,one,t1_2,SHAD,PLOB,SHAD,SHAD,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,SHAD,SHAD,PLOB,CALC,CALC,CALC,CALC,TAPE,PLOB,PLOB,SHAD,PLOB,TURF,PLOB,PLOB,CALC,CALC,UNK,PLOB,PLOB,SHAD,SHAD,TAPE,PLOB,SHAD,SHAD,SHAD,PLOB,SHAD,HALI,PLOB,TURF,SHAD,UNK,SHAD,SHAD,PLOB,SHAD,SHAD,SHAD,SHAD,UNK,SHAD,SHAD,PMEA,PMEA,PMEA,UNK,SHAD,SHAD,SHAD,SHAD,UNK,PMEA,PMEA,PMEA,SHAD,PMEA,PVER,SHAD,SHAD,PVER,SHAD,PVER,SHAD,PMEA,PMEA,PMEA,PVER,SHAD,SHAD,PVER,PVER,SHAD,PVER,SHAD,SHAD,PMEA
ana,md,one,t1_3,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,TURF,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,CALC,CALC,PLOB,TURF,UNK,PLOB,PLOB,TURF,PLOB,TURF,CALC,TURF,PLOB,TURF,TURF,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,SHAD,TURF,TURF,TURF,TURF,SHAD,TURF,TURF,PLOB,UNK,PLOB,HALI,SHAD,HALI,HALI,HALI,TURF,SHAD,PLOB,HALI,HALI,PLOB,UNK,UNK,HALI,HALI,SHAD,PLOB,SHAD,CALC,UNK,UNK,PLOB,SHAD,SHAD,PLOB,TURF,PLOB,SHAD,SHAD,SHAD,SHAD,PLOB,PLOB,EAM,EAM,UNK,UNK
ana,md,one,t1_4,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,HALI,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,HALI,HALI,PLOB,PLOB,PLOB,PLOB,HALI,HALI,PLOB,PLOB,SHAD,SHAD,HALI,PLOB,MACRO_UNK,PLOB,HALI,PLOB,EAM,SHAD,SHAD,SHAD,PLOB,EAM,PLOB,PLOB,TURF,PLOB,PLOB,HALI,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,SHAD,SHAD,UNK,SHAD,SHAD,SHAD,SHAD
ana,md,one,t1_5,PLOB,PLOB,MACRO_UNK,MACRO_UNK,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,EAM,HALI,MACRO_UNK,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,SHAD,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,HALI,PLOB,PLOB,WAND,PLOB,TAPE,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,SHAD,PLOB,SHAD,PLOB,PLOB,SHAD,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,SHAD,PLOB,PLOB,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB
ana,md,one,t1_6,MACRO_UNK,PLOB,PLOB,HALI,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,MACRO_UNK,HALI,PLOB,PLOB,PLOB,PLOB,HALI,SHAD,PLOB,PLOB,HALI,PLOB,MACRO_UNK,PLOB,PLOB,WAND,PLOB,PLOB,SHAD,PLOB,PLOB,SHAD,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,SHAD,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,SHAD,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,SHAD,PLOB,SHAD,PLOB,HALI
ana,md,one,t1_7,PLOB,SHAD,PLOB,SHAD,PLOB,PLOB,PLOB,SHAD,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,CALC,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,HALI,PLOB,PLOB,UNK,UNK,PLOB,PLOB,UNK,PLOB,HALI,EAM,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,SHAD,PLOB,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD
ana,md,one,t1_8,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,TAPE,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,LVAR,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
ana,md,one,t1_9,HALI,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,CVAU,WAND,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,SHAD,SHAD,SHAD,SHAD,SHAD,PLOB,TAPE,PLOB,TAPE,TAPE,PLOB,UNK,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,SHAD,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
ana,md,one,t1_10,PLOB,PLOB,PLOB,HALI,HALI,HALI,HALI,HALI,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,WAND,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,EAM,PLOB,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,TAPE,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,SHAD,SHAD,SHAD,PLOB
