plot_id,class,Site,cover,level,layer,id,percentage_inside,pland,NA
1,1,ana,bare,class,1,NA,99.99391446,42.86582952,NA
1,1,man,bare,class,NA,NA,NA,0,NA
1,255,vhu,bare,class,1,NA,100.0311061,26.15563132,NA
2,1,ana,bare,class,1,NA,99.89351896,32.21934623,NA
2,1,man,bare,class,NA,NA,NA,0,NA
2,255,vhu,bare,class,1,NA,99.91145171,36.83143892,NA
3,1,ana,bare,class,1,NA,99.99391446,42.59654311,NA
3,1,man,bare,class,NA,NA,NA,0,NA
3,255,vhu,bare,class,NA,NA,NA,0,NA
4,1,ana,bare,class,1,NA,99.99391446,36.04973213,NA
4,1,man,bare,class,NA,NA,NA,0,NA
4,255,vhu,bare,class,NA,NA,NA,0,NA
5,1,ana,bare,class,1,NA,99.99391446,5.323305294,NA
5,1,man,bare,class,NA,NA,NA,0,NA
5,255,vhu,bare,class,1,NA,100.0311061,3.285247686,NA
6,1,ana,bare,class,NA,NA,NA,0,NA
6,1,man,bare,class,NA,NA,NA,0,NA
6,255,vhu,bare,class,1,NA,99.91145171,34.25680376,NA
7,1,ana,bare,class,1,NA,99.99391446,12.10324194,NA
7,1,man,bare,class,NA,NA,NA,0,NA
7,255,vhu,bare,class,1,NA,100.0311061,25.87012578,NA
8,1,ana,bare,class,1,NA,99.99391446,3.71001107,NA
8,1,man,bare,class,1,NA,99.94930406,19.03666726,NA
8,255,vhu,bare,class,1,NA,100.0311061,34.36337851,NA
9,1,ana,bare,class,1,NA,99.89351896,8.58983044,NA
9,1,man,bare,class,1,NA,100.0900777,79.2315255,NA
9,255,vhu,bare,class,1,NA,99.91145171,31.90347449,NA
10,1,ana,bare,class,NA,NA,NA,0,NA
10,1,man,bare,class,1,NA,100.0900777,87.20785091,NA
10,255,vhu,bare,class,1,NA,100.0311061,52.27344354,NA
11,1,ana,bare,class,1,NA,100.094512,37.04294565,NA
11,1,man,bare,class,NA,NA,NA,0,NA
11,255,vhu,bare,class,1,NA,100.0311061,29.25407558,NA
12,1,ana,bare,class,1,NA,99.99401546,3.233352693,NA
12,1,man,bare,class,NA,NA,NA,0,NA
12,255,vhu,bare,class,1,NA,99.91145171,34.43465165,NA
13,1,ana,bare,class,1,NA,100.094512,0.971524288,NA
13,1,man,bare,class,NA,NA,NA,0,NA
13,255,vhu,bare,class,1,NA,100.0311061,0.437068447,NA
14,1,ana,bare,class,NA,NA,NA,0,NA
14,1,man,bare,class,NA,NA,NA,0,NA
14,255,vhu,bare,class,1,NA,100.0311061,22.31713606,NA
15,1,ana,bare,class,NA,NA,NA,0,NA
15,1,man,bare,class,NA,NA,NA,0,NA
15,255,vhu,bare,class,1,NA,100.0311061,31.88723032,NA
16,1,ana,bare,class,1,NA,99.99401546,0.706951845,NA
16,1,man,bare,class,NA,NA,NA,0,NA
16,255,vhu,bare,class,1,NA,99.91145171,45.34160422,NA
17,1,ana,bare,class,1,NA,100.094512,37.8920708,NA
17,1,man,bare,class,NA,NA,NA,0,NA
17,255,vhu,bare,class,1,NA,100.0311061,66.25089534,NA
18,1,ana,bare,class,1,NA,100.094512,20.48626667,NA
18,1,man,bare,class,NA,NA,NA,0,NA
18,255,vhu,bare,class,1,NA,100.0311061,67.59275707,NA
19,1,ana,bare,class,1,NA,99.99401546,0.213731976,NA
19,1,man,bare,class,NA,NA,NA,0,NA
19,255,vhu,bare,class,1,NA,99.91145171,52.19147334,NA
20,1,ana,bare,class,NA,NA,NA,0,NA
20,1,man,bare,class,1,NA,99.94930406,44.03478536,NA
20,255,vhu,bare,class,1,NA,100.0311061,35.90221471,NA
21,1,ana,bare,class,NA,NA,NA,0,NA
21,1,man,bare,class,NA,NA,NA,0,NA
21,255,vhu,bare,class,1,NA,100.0311061,44.70088531,NA
22,1,ana,bare,class,NA,NA,NA,0,NA
22,1,man,bare,class,NA,NA,NA,0,NA
22,255,vhu,bare,class,1,NA,99.91145171,25.74420022,NA
23,1,ana,bare,class,NA,NA,NA,0,NA
23,1,man,bare,class,NA,NA,NA,0,NA
23,255,vhu,bare,class,1,NA,100.0311061,31.43655273,NA
24,1,ana,bare,class,NA,NA,NA,0,NA
24,1,man,bare,class,NA,NA,NA,0,NA
24,255,vhu,bare,class,1,NA,100.0311061,38.96341289,NA
25,1,ana,bare,class,NA,NA,NA,0,NA
25,1,man,bare,class,NA,NA,NA,0,NA
25,255,vhu,bare,class,1,NA,100.0311061,47.47285334,NA
26,1,ana,bare,class,NA,NA,NA,0,NA
26,1,man,bare,class,NA,NA,NA,0,NA
26,255,vhu,bare,class,1,NA,99.91145171,37.92348238,NA
27,1,ana,bare,class,NA,NA,NA,0,NA
27,1,man,bare,class,NA,NA,NA,0,NA
27,255,vhu,bare,class,1,NA,100.0311061,52.66223534,NA
28,1,ana,bare,class,NA,NA,NA,0,NA
28,1,man,bare,class,1,NA,99.94930406,0.969473663,NA
28,255,vhu,bare,class,1,NA,100.0311061,61.46591983,NA
29,1,ana,bare,class,1,NA,99.89351896,13.3880671,NA
29,1,man,bare,class,1,NA,100.0900777,38.85931544,NA
29,255,vhu,bare,class,1,NA,99.91145171,39.74427194,NA
30,1,ana,bare,class,1,NA,99.99391446,18.6892439,NA
30,1,man,bare,class,1,NA,100.0900777,42.47024357,NA
30,255,vhu,bare,class,1,NA,100.0311061,64.08704123,NA
31,1,ana,bare,class,NA,NA,NA,0,NA
31,1,man,bare,class,NA,NA,NA,0,NA
31,255,vhu,bare,class,1,NA,100.0311061,26.4250924,NA
32,1,ana,bare,class,NA,NA,NA,0,NA
32,1,man,bare,class,NA,NA,NA,0,NA
32,255,vhu,bare,class,1,NA,99.91145171,25.83699667,NA
33,1,ana,bare,class,NA,NA,NA,0,NA
33,1,man,bare,class,NA,NA,NA,0,NA
33,255,vhu,bare,class,1,NA,100.0311061,27.48961407,NA
34,1,ana,bare,class,NA,NA,NA,0,NA
34,1,man,bare,class,NA,NA,NA,0,NA
34,255,vhu,bare,class,1,NA,100.0311061,45.57029482,NA
35,1,ana,bare,class,NA,NA,NA,0,NA
35,1,man,bare,class,NA,NA,NA,0,NA
35,255,vhu,bare,class,1,NA,100.0311061,40.52201816,NA
36,1,ana,bare,class,NA,NA,NA,0,NA
36,1,man,bare,class,NA,NA,NA,0,NA
36,255,vhu,bare,class,1,NA,99.91145171,43.50790634,NA
37,1,ana,bare,class,NA,NA,NA,0,NA
37,1,man,bare,class,NA,NA,NA,0,NA
37,255,vhu,bare,class,1,NA,100.0311061,59.70346389,NA
38,1,ana,bare,class,NA,NA,NA,0,NA
38,1,man,bare,class,NA,NA,NA,0,NA
38,255,vhu,bare,class,1,NA,100.0311061,70.75838753,NA
39,1,ana,bare,class,1,NA,99.89351896,0.239628727,NA
39,1,man,bare,class,1,NA,99.94930406,0.102216676,NA
