year,month,day,sst_min,sst_max,sst,dhw
1985,1,1,24.11,24.21,24.14,0
1985,1,2,24.17,24.26,24.2,0
1985,1,3,24.28,24.34,24.3,0
1985,1,4,24.37,24.45,24.43,0
1985,1,5,24.51,24.57,24.53,0
1985,1,6,25.21,25.34,25.26,0
1985,1,7,25.03,25.2,25.18,0
1985,1,8,25.73,25.9,25.9,0
1985,1,9,26,26.2,26.18,0
1985,1,10,26.15,26.34,26.32,0
1985,1,11,26.05,26.26,26.24,0
1985,1,12,25.66,25.89,25.87,0
1985,1,13,25.52,25.76,25.75,0
1985,1,14,25.4,25.63,25.62,0
1985,1,15,25.62,25.89,25.86,0
1985,1,16,25.88,26.02,26,0
1985,1,17,25.84,25.97,25.88,0
1985,1,18,25.78,25.87,25.83,0
1985,1,19,25.66,25.76,25.71,0
1985,1,20,25.77,25.89,25.85,0
1985,1,21,25.74,25.84,25.81,0
1985,1,22,25.63,25.72,25.72,0
1985,1,23,25.46,25.54,25.54,0
1985,1,24,25.33,25.4,25.4,0
1985,1,25,25.39,25.45,25.45,0
1985,1,26,25.41,25.47,25.47,0
1985,1,27,25.93,25.97,25.94,0
1985,1,28,25.78,25.85,25.78,0
1985,1,29,25.96,26.05,25.97,0
1985,1,30,26.14,26.29,26.21,0
1985,1,31,26.48,26.66,26.57,0
1985,2,1,25.65,25.85,25.81,0
1985,2,2,25.44,25.64,25.6,0
1985,2,3,25.3,25.47,25.43,0
1985,2,4,24.65,24.87,24.82,0
1985,2,5,24.53,24.7,24.63,0
1985,2,6,24.25,24.42,24.37,0
1985,2,7,24.31,24.43,24.38,0
1985,2,8,24.19,24.35,24.26,0
1985,2,9,24.28,24.44,24.36,0
1985,2,10,24.37,24.53,24.45,0
1985,2,11,24.55,24.7,24.65,0
1985,2,12,24.69,24.85,24.83,0
1985,2,13,24.88,25.01,24.94,0
1985,2,14,24.79,24.91,24.83,0
1985,2,15,24.81,24.96,24.92,0
1985,2,16,24.94,25.1,25.01,0
1985,2,17,25,25.17,25.08,0
1985,2,18,25.1,25.26,25.2,0
1985,2,19,24.92,25.05,25.02,0
1985,2,20,25,25.13,25.11,0
1985,2,21,25.06,25.19,25.15,0
1985,2,22,25.1,25.23,25.2,0
1985,2,23,25,25.16,25.16,0
1985,2,24,24.68,24.81,24.78,0
1985,2,25,24.27,24.4,24.37,0
1985,2,26,24.28,24.42,24.37,0
1985,2,27,24.3,24.47,24.45,0
1985,2,28,24.29,24.47,24.4,0
1985,3,1,24.28,24.49,24.42,0
1985,3,2,24.44,24.65,24.55,0
1985,3,3,24.55,24.75,24.69,0
1985,3,4,24.6,24.81,24.74,0
1985,3,5,24.68,24.85,24.78,0
1985,3,6,24.64,24.77,24.71,0
1985,3,7,24.77,24.88,24.85,0
1985,3,8,24.84,24.95,24.88,0
1985,3,9,24.94,25.02,25.01,0
1985,3,10,24.93,25.02,24.96,0
1985,3,11,25.06,25.12,25.07,0
1985,3,12,25.01,25.07,25.02,0
1985,3,13,24.76,24.82,24.78,0
1985,3,14,24.67,24.76,24.72,0
1985,3,15,24.55,24.66,24.61,0
1985,3,16,24.69,24.81,24.73,0
1985,3,17,24.93,25,24.95,0
1985,3,18,25.05,25.11,25.05,0
1985,3,19,25.15,25.19,25.16,0
1985,3,20,25.18,25.23,25.21,0
1985,3,21,25.19,25.25,25.21,0
1985,3,22,24.98,25,24.98,0
1985,3,23,24.9,24.94,24.92,0
1985,3,24,24.87,24.96,24.88,0
1985,3,25,24.87,24.96,24.88,0.8514
1985,3,26,24.73,24.83,24.74,0.8514
1985,3,27,24.71,24.81,24.78,0.8514
1985,3,28,24.92,25.02,24.96,0.8514
1985,3,29,25,25.11,25.04,0.8514
1985,3,30,25.09,25.19,25.16,0.8514
1985,3,31,25.17,25.26,25.22,0.8514
1985,4,1,25.19,25.25,25.22,0.8514
1985,4,2,25.16,25.19,25.17,0.8514
1985,4,3,25.08,25.14,25.13,0.7029
1985,4,4,25.1,25.15,25.15,0.5343
1985,4,5,25.06,25.13,25.13,0.3771
1985,4,6,24.96,25.06,25.02,0.3771
1985,4,7,24.81,24.92,24.88,0.3771
1985,4,8,24.73,24.84,24.79,0.3771
1985,4,9,24.7,24.8,24.74,0.3771
1985,4,10,24.68,24.8,24.73,0.3771
1985,4,11,24.58,24.69,24.64,0.3771
1985,4,12,24.33,24.47,24.46,0.3771
1985,4,13,24.09,24.22,24.19,0.3771
1985,4,14,24.04,24.17,24.13,0.3771
1985,4,15,23.95,24.09,24.08,0.3771
1985,4,16,23.87,24,23.98,0.3771
1985,4,17,23.75,23.88,23.86,0.3771
1985,4,18,23.72,23.86,23.86,0.3771
1985,4,19,23.7,23.85,23.81,0.3771
1985,4,20,23.65,23.88,23.8,0.3771
1985,4,21,23.98,24.21,24.19,0.3771
1985,4,22,24.08,24.34,24.25,0.3771
1985,4,23,24.36,24.6,24.49,0.3771
1985,4,24,23.93,24.17,24.09,0.2143
1985,4,25,23.83,24.09,24.05,0
1985,4,26,23.61,23.88,23.84,0
1985,4,27,23.23,23.47,23.46,0
1985,4,28,23.07,23.32,23.21,0
1985,4,29,23.33,23.59,23.58,0
1985,4,30,23.29,23.54,23.53,0
1985,5,1,23.16,23.43,23.38,0
1985,5,2,23.15,23.4,23.36,0
1985,5,3,23.18,23.42,23.34,0
1985,5,4,23.23,23.45,23.41,0
1985,5,5,23.27,23.51,23.47,0
1985,5,6,23.11,23.3,23.29,0
1985,5,7,23.05,23.24,23.23,0
