YYYY MM DD SST_MIN SST_MAX SST 		SSTA	     90th_HS   DHW 		 BAA_7day_max
1985 01 01 24.1100 24.2100 24.1400      0.4219       0.0000    0.0000            0
1985 01 02 24.1700 24.2600 24.2000      0.4232       0.0000    0.0000            0
1985 01 03 24.2800 24.3400 24.3000      0.4706       0.0000    0.0000            0
1985 01 04 24.3700 24.4500 24.4300      0.5423       0.0000    0.0000            0
1985 01 05 24.5100 24.5700 24.5300      0.5839       0.0000    0.0000            0
1985 01 06 25.2100 25.3400 25.2600      1.2555       0.2100    0.0000            0
1985 01 07 25.0300 25.2000 25.1800      1.0319       0.0400    0.0000            0
1985 01 08 25.7300 25.9000 25.9000      1.6865       0.7500    0.0000            0
1985 01 09 26.0000 26.2000 26.1800      1.9165       1.0400    0.0000            0
1985 01 10 26.1500 26.3400 26.3200      1.9987       1.1800    0.0000            0
1985 01 11 26.0500 26.2600 26.2400      1.8610       1.1000    0.0000            0
1985 01 12 25.6600 25.8900 25.8700      1.4232       0.7200    0.0000            0
1985 01 13 25.5200 25.7600 25.7500      1.2455       0.6000    0.0000            0
1985 01 14 25.4000 25.6300 25.6200      1.0577       0.4700    0.0000            0
1985 01 15 25.6200 25.8900 25.8600      1.2500       0.7200    0.0000            0
1985 01 16 25.8800 26.0200 26.0000      1.3829       0.8700    0.0000            0
1985 01 17 25.8400 25.9700 25.8800      1.3065       0.8200    0.0000            0
1985 01 18 25.7800 25.8700 25.8300      1.2297       0.7600    0.0000            0
1985 01 19 25.6600 25.7600 25.7100      1.1129       0.6600    0.0000            0
1985 01 20 25.7700 25.8900 25.8500      1.2361       0.8000    0.0000            0
1985 01 21 25.7400 25.8400 25.8100      1.1794       0.7600    0.0000            0
1985 01 22 25.6300 25.7200 25.7200      1.0526       0.6500    0.0000            0
1985 01 23 25.4600 25.5400 25.5400      0.8558       0.4700    0.0000            0
1985 01 24 25.3300 25.4000 25.4000      0.6990       0.3300    0.0000            0
1985 01 25 25.3900 25.4500 25.4500      0.7323       0.3800    0.0000            0
1985 01 26 25.4100 25.4700 25.4700      0.7355       0.4000    0.0000            0
1985 01 27 25.9300 25.9700 25.9400      1.1987       0.8800    0.0000            0
1985 01 28 25.7800 25.8500 25.7800      1.0319       0.7300    0.0000            0
1985 01 29 25.9600 26.0500 25.9700      1.2052       0.9200    0.0000            0
1985 01 30 26.1400 26.2900 26.2100      1.4084       1.1400    0.0000            0
1985 01 31 26.4800 26.6600 26.5700      1.7516       1.5000    0.0000            0
1985 02 01 25.6500 25.8500 25.8100      0.9239       0.6800    0.0000            0
1985 02 02 25.4400 25.6400 25.6000      0.6965       0.4700    0.0000            0
1985 02 03 25.3000 25.4700 25.4300      0.5090       0.3000    0.0000            0
1985 02 04 24.6500 24.8700 24.8200     -0.1055       0.0000    0.0000            0
1985 02 05 24.5300 24.7000 24.6300     -0.2623       0.0000    0.0000            0
1985 02 06 24.2500 24.4200 24.3700     -0.5590       0.0000    0.0000            0
1985 02 07 24.3100 24.4300 24.3800     -0.5658       0.0000    0.0000            0
1985 02 08 24.1900 24.3500 24.2600     -0.6826       0.0000    0.0000            0
1985 02 09 24.2800 24.4400 24.3600     -0.5994       0.0000    0.0000            0
1985 02 10 24.3700 24.5300 24.4500     -0.5261       0.0000    0.0000            0
1985 02 11 24.5500 24.7000 24.6500     -0.3629       0.0000    0.0000            0
1985 02 12 24.6900 24.8500 24.8300     -0.2587       0.0000    0.0000            0
1985 02 13 24.8800 25.0100 24.9400     -0.0965       0.0000    0.0000            0
1985 02 14 24.7900 24.9100 24.8300     -0.2132       0.0000    0.0000            0
1985 02 15 24.8100 24.9600 24.9200     -0.2000       0.0000    0.0000            0
