location,depth,transect,photo,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11,pt12,pt13,pt14,pt15,pt16,pt17,pt18,pt19,pt20,pt21,pt22,pt23,pt24,pt25,pt26,pt27,pt28,pt29,pt30,pt31,pt32,pt33,pt34,pt35,pt36,pt37,pt38,pt39,pt40,pt41,pt42,pt43,pt44,pt45,pt46,pt47,pt48,pt49,pt50,pt51,pt52,pt53,pt54,pt55,pt56,pt57,pt58,pt59,pt60,pt61,pt62,pt63,pt64,pt65,pt66,pt67,pt68,pt69,pt70,pt71,pt72,pt73,pt74,pt75,pt76,pt77,pt78,pt79,pt80,pt81,pt82,pt83,pt84,pt85,pt86,pt87,pt88,pt89,pt90,pt91,pt92,pt93,pt94,pt95,pt96,pt97,pt98,pt99,pt100
man,dp,one,t1_1,SPR,MACRO_UNK,SPR,SPR,SPR,SPR,SPR,SPR,SPR,PVER,MACRO_UNK,SPR,MACRO_UNK,SPR,SPR,SPR,MACRO_UNK,MACRO_UNK,MACRO_UNK,MACRO_UNK,MACRO_UNK,MACRO_UNK,SPR,SPR,SPR,SPR,SPR,PLOB,MACRO_UNK,WAND,MACRO_UNK,MACRO_UNK,MACRO_UNK,SPR,SPR,SPR,SPR,PLOB,PLOB,PLOB,SPR,MACRO_UNK,PLOB,SPR,SPR,SPR,PVER,PLOB,MACRO_UNK,SPR,PVER,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,PLOB,SPR,TURF,PVER,PVER,PLOB,SPR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SPR,LVAR,SPR,PVER,SPR,SPR,SPR,PLOB,PLOB,LVAR,SHAD,SPR,UNK,PVER,LVAR,LVAR,PLOB,TURF,PLOB,SPR,SHAD,SPR,SPR,SPR,PVER,SPR,SPR,TURF,UNK,TAPE
man,dp,one,t1_2,PVER,TURF,TURF,SHAD,TURF,PLOB,SPR,PLOB,PLOB,SPR,MACRO_UNK,TURF,PVER,PVER,SPR,SPR,SPR,SPR,PVER,HALI,PVER,HALI,PLOB,SPR,TURF,SPR,SPR,SPR,PVER,SPR,SPR,SPR,SPR,SPR,SPR,MACRO_UNK,MACRO_UNK,MACRO_UNK,SPR,SPR,SPR,SPR,PVER,PVER,PVER,PLOB,MACRO_UNK,SPR,PVER,PVER,SPR,PVER,PVER,SPR,SPR,EAM,EAM,SPR,PVER,PVER,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,TURF,PLOB,TURF,PVER,PVER,SPR,SPR,SPR,PLOB,MACRO_UNK,SPR,SPR,SPR,SPR,SPR,SPR,PLOB,SPR,PLOB,SPR,TURF,SPR,SPR,TURF,PLOB,PLOB,PLOB,SPR,SPR,SPR,PLOB,PLOB
man,dp,one,t1_3,EAM,MACRO_UNK,SPR,SPR,PLOB,SPR,LVAR,SPR,SPR,PVER,EAM,PVER,PVER,PVER,MACRO_UNK,SPR,SPR,TURF,SPR,SPR,UNK,PVER,PVER,SHAD,EAM,SPR,SPR,WAND,SPR,SPR,PVER,SPR,SPR,TURF,LVAR,EAM,SPR,SPR,SPR,SPR,UNK,PVER,PVER,SPR,PVER,PVER,PVER,PVER,SPR,SPR,SPR,SPR,SPR,LVAR,LVAR,TURF,SPR,SPR,SPR,SPR,SPR,SPR,SPR,EAM,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,PLOB,SPR,TURF,EAM,SPR,SPR,LVAR,PVER,SPR,SPR,SPR,TURF,SPR,TURF,SPR,SPR,TAPE,PVER,PVER,TAPE,PLOB,SPR,MACRO_UNK,TAPE,TAPE,TAPE
man,dp,one,t1_4,EAM,SPR,EAM,EAM,EAM,SPR,TURF,EAM,SPR,SPR,SPR,SPR,SPR,EAM,EAM,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,PVER,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,PVER,PVER,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,PVER,PVER,EAM,EAM,EAM,EAM,EAM,SPR,EAM,EAM,PVER,SPR,PLOB,PLOB,SPR,SPR,SPR,SPR,SPR,SPR
man,dp,one,t1_5,SPR,EAM,PVER,PVER,SPR,SPR,SPR,SPR,SPR,SPR,SPR,TURF,EAM,PVER,EAM,EAM,PVER,SPR,SPR,SPR,PVER,SPR,EAM,EAM,EAM,LVAR,SPR,SPR,SPR,PVER,SPR,SPR,PLOB,LVAR,LVAR,WAND,HALI,TURF,SPR,SPR,SPR,SPR,PLOB,PLOB,PVER,PVER,PVER,LVAR,LVAR,SPR,SPR,EAM,EAM,PLOB,PLOB,EAM,LVAR,SPR,LVAR,SPR,SPR,SPR,SPR,SPR,PLOB,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,PLOB,LVAR,HALI,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,LVAR,TAPE,TAPE,SPR,SPR,HALI,SPON,LVAR,PVER,TURF,PVER,PVER,SPR
man,dp,one,t1_6,PLOB,PLOB,SPR,SPR,PVER,LVAR,LVAR,HALI,TURF,SPR,PLOB,PLOB,PLOB,SPR,SPR,SPR,SPR,SPR,SPR,SPR,PLOB,PLOB,PLOB,SPR,SPR,SPR,SPR,SPR,PVER,PVER,SPR,SPR,SPR,SPR,SPR,SPR,WAND,SPR,SPR,PVER,SPR,PVER,PVER,SPR,SPR,SPR,SPR,SPR,SPR,SPR,HALI,PVER,HALI,SPR,LVAR,SPR,EAM,LVAR,SPR,SPR,LVAR,SPR,PLOB,SPR,LVAR,EAM,EAM,EAM,SPR,SPR,TURF,MACRO_UNK,EAM,SPR,SPR,SPR,SPR,SPR,SPR,SPR,MACRO_UNK,LVAR,TURF,TURF,SFLA,SPR,SPR,SPR,EAM,SPR,UNK,LVAR,LVAR,TAPE,SFLA,TAPE,SPR,SPR,SPR,SPR
man,dp,one,t1_7,SPR,SPR,TURF,SPR,PLOB,SPR,SPR,SPR,SPR,SPR,SPR,TURF,TURF,TURF,SPR,SPR,SPR,SPR,SPR,WAND,SPR,SPR,TURF,SPR,SPR,SPR,SPR,EAM,EAM,EAM,EAM,EAM,SPR,SPR,SPR,SPR,EAM,EAM,SPR,SPR,EAM,EAM,SPR,PVER,PVER,PVER,PLOB,PLOB,MACRO_UNK,MACRO_UNK,SPR,SPR,SPR,SPR,PVER,SPR,PLOB,SPR,MACRO_UNK,EAM,SPR,PVER,PVER,PVER,PVER,SPR,SPR,EAM,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,PVER,SPR,SPR,SPR,SPR,PVER,TURF,SPR,SPR,PLOB,EAM,SPR,SPR,EAM,SPR,EAM,TURF,SPR,SPR,PLOB
man,dp,one,t1_8,EAM,UNK,EAM,PLOB,PLOB,PLOB,PLOB,EAM,PVER,LVAR,TURF,TURF,TURF,MACRO_UNK,LVAR,LVAR,LVAR,LVAR,PVER,PVER,EAM,SPR,MACRO_UNK,MACRO_UNK,MACRO_UNK,MACRO_UNK,EAM,EAM,SPR,MACRO_UNK,SFLA,SPR,EAM,SPON,SPR,MACRO_UNK,TURF,SPR,SPR,SPR,MACRO_UNK,SPR,LVAR,SPR,TURF,SPR,MACRO_UNK,PVER,PVER,PVER,LVAR,LVAR,TURF,SPR,PLOB,PLOB,TURF,TURF,EAM,EAM,EAM,LVAR,EAM,SPR,SPR,MACRO_UNK,MACRO_UNK,PVER,PVER,SPR,LVAR,TAPE,LVAR,EAM,TURF,SPR,LVAR,PVER,PVER,SPR,LVAR,LVAR,SFLA,MACRO_UNK,MACRO_UNK,LVAR,SFLA,EAM,SFLA,PVER,LVAR,LVAR,SFLA,MACRO_UNK,SPR,SFLA,SFLA,EAM,EAM,EAM
man,dp,one,t1_9,SHAD,PVER,LVAR,LVAR,LVAR,UNK,TURF,TURF,TURF,PVER,UNK,MACRO_UNK,PVER,LVAR,SPR,UNK,HALI,HALI,LVAR,SPR,SHAD,SHAD,PVER,MACRO_UNK,SPR,TURF,SFLA,SFLA,SPR,SPR,HALI,UNK,PVER,SPR,SPR,UNK,TURF,SFLA,SFLA,SPR,SPR,PVER,SPR,TURF,PVER,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,TURF,PVER,TURF,PLOB,PLOB,SPR,SPR,PLOB,SPR,PVER,MACRO_UNK,MACRO_UNK,SPR,PLOB,SFLA,EAM,EAM,PLOB,PLOB,PVER,PVER,MACRO_UNK,TAPE,MACRO_UNK,TAPE,SPR,SPR,PLOB,UNK,PVER,PLOB,PLOB,SPR,SPR,PVER,PVER,PVER,UNK,TURF,TURF,PLOB,PLOB,PLOB,PVER,PVER,PVER,PVER
man,dp,one,t1_10,SPR,EAM,EAM,EAM,SPR,HALI,HALI,SPR,HALI,SPR,EAM,EAM,EAM,PVER,PVER,SPR,PLOB,SPR,SPR,PVER,SPR,SPR,SPR,TURF,SFLA,LVAR,SPR,SPR,LVAR,SPR,SPR,SPR,SPR,EAM,PLOB,PLOB,PLOB,LVAR,EAM,WAND,SPR,SPR,PVER,PVER,EAM,PVER,PVER,SPR,SPR,SPR,PLOB,SPR,SPR,SPR,TURF,PVER,PVER,PVER,SPR,SPR,EAM,PVER,EAM,TAPE,SPR,SPR,EAM,PVER,SPR,SPR,MACRO_UNK,MACRO_UNK,SPR,SPR,SPR,SPR,SPR,PVER,PVER,SPR,EAM,SPR,EAM,SPR,SPR,SPR,SPR,EAM,SPR,SPR,LVAR,SPR,LVAR,LVAR,PVER,SPR,SPR,SPR,SPR,SPR
