location,depth,transect,photo,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11,pt12,pt13,pt14,pt15,pt16,pt17,pt18,pt19,pt20,pt21,pt22,pt23,pt24,pt25,pt26,pt27,pt28,pt29,pt30,pt31,pt32,pt33,pt34,pt35,pt36,pt37,pt38,pt39,pt40,pt41,pt42,pt43,pt44,pt45,pt46,pt47,pt48,pt49,pt50,pt51,pt52,pt53,pt54,pt55,pt56,pt57,pt58,pt59,pt60,pt61,pt62,pt63,pt64,pt65,pt66,pt67,pt68,pt69,pt70,pt71,pt72,pt73,pt74,pt75,pt76,pt77,pt78,pt79,pt80,pt81,pt82,pt83,pt84,pt85,pt86,pt87,pt88,pt89,pt90,pt91,pt92,pt93,pt94,pt95,pt96,pt97,pt98,pt99,pt100
man,md,one,t1_1,UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,TURF,PLOB,PLOB,UNK,PLOB,PLOB,EAM,SHAD,PLOB,PLOB,EAM,PLOB,EAM,UNK,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,O,O,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,EAM,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,PLOB,TAPE,PLOB,TAPE,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
man,md,one,t1_2,PLOB,PLOB,PLOB,PLOB,EAM,CALC,PLOB,PLOB,PLOB,PLOB,SHAD,HALI,EAM,PLOB,EAM,PLOB,PLOB,PLOB,WAND,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,O,PLOB,SHAD,PLOB,PVER,PLOB,PLOB,PLOB,CYANO,CYANO,O,PLOB,PLOB,PLOB,O,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PVER,EAM,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,CYANO,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,SHAD,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB
man,md,one,t1_3,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,WAND,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,TURF,SHAD,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,PLOB,LVAR,LVAR,PVER,TAPE,SHAD,SHAD,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,SHAD,SHAD,PLOB,PLOB,SHAD,PLOB,EAM,PLOB,CALC,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,SHAD,PLOB,PLOB,PLOB,SHAD,SHAD,SHAD,PLOB
man,md,one,t1_4,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,MACRO_UNK,EAM,WAND,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,TURF,TURF,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,PLOB,PLOB,SHAD,PLOB,PLOB,TURF,PLOB,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,PLOB,LVAR,PLOB,PLOB,HALI,PLOB,HALI,PLOB,PLOB,PLOB,UNK,SHAD,SHAD,SHAD,PLOB,PLOB,PLOB,UNK,TURF,UNK,SHAD,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
man,md,one,t1_5,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,UNK,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PVER,PVER,PVER,PLOB,MACRO_UNK,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB
man,md,one,t1_6,SHAD,SHAD,PLOB,PLOB,SHAD,CALC,EAM,CALC,EAM,EAM,PLOB,SHAD,SHAD,PLOB,PLOB,EAM,CALC,CCA,EAM,EAM,PLOB,PLOB,SHAD,SHAD,PLOB,PLOB,CCA,CCA,EAM,EAM,HALI,HALI,PLOB,PLOB,HALI,EAM,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
man,md,one,t1_7,SHAD,PLOB,SHAD,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PLOB,EAM,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,SHAD,PLOB,EAM,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,WAND,PLOB,PLOB,PLOB,PLOB,SPR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,SPR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,UNK,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PVER,PLOB,TAPE,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
man,md,one,t1_8,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,PVER,PVER,PLOB,PLOB,PLOB,PLOB,SHAD,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,WAND,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,SPR,PLOB,HALI,LVAR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,SHAD,PLOB,PLOB,PLOB,PLOB,CYANO,PLOB,PLOB,PLOB,PLOB,CALC,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
man,md,one,t1_9,PLOB,PLOB,EAM,PVER,PVER,SHAD,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,HALI,HALI,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,HALI,EAM,PLOB,SHAD,HALI,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,PVER,PVER,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,EAM,HALI,SHAD,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
man,md,one,t1_10,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,WAND,LVAR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,TAPE,PLOB,PLOB,PLOB,PLOB,TAPE,PLOB,TAPE,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB
