location,depth,transect,photo,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11,pt12,pt13,pt14,pt15,pt16,pt17,pt18,pt19,pt20,pt21,pt22,pt23,pt24,pt25,pt26,pt27,pt28,pt29,pt30,pt31,pt32,pt33,pt34,pt35,pt36,pt37,pt38,pt39,pt40,pt41,pt42,pt43,pt44,pt45,pt46,pt47,pt48,pt49,pt50,pt51,pt52,pt53,pt54,pt55,pt56,pt57,pt58,pt59,pt60,pt61,pt62,pt63,pt64,pt65,pt66,pt67,pt68,pt69,pt70,pt71,pt72,pt73,pt74,pt75,pt76,pt77,pt78,pt79,pt80,pt81,pt82,pt83,pt84,pt85,pt86,pt87,pt88,pt89,pt90,pt91,pt92,pt93,pt94,pt95,pt96,pt97,pt98,pt99,pt100
mtt,dp,one,t1_1,UNK,UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PVER,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,HALI,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,O,TURF,PLOB,PLOB,PLOB,EAM,PLOB,PVER,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,TURF,TURF,PVER,PVER,PLOB,PLOB,PLOB,PVER,PVER,PLOB,MACRO_UNK,PLOB,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PVER,PVER,PLOB,TAPE,CALC,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,TURF,PLOB,PLOB,O,CALC,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,O,O,O
mtt,dp,one,t1_2,PLOB,PLOB,SHAD,PLOB,HALI,SHAD,PLOB,PLOB,PLOB,WAND,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,TURF,WAND,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,WAND,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,TURF,PVER,PVER,PLOB,PVER,PVER,PVER,PVER,MACRO_UNK,WAND,HALI,HALI,PLOB,PVER,PLOB,PLOB,PVER,PVER,PVER,PLOB,TURF,TURF,TURF,SPR,SPR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,TAPE,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,SHAD,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
mtt,dp,one,t1_3,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PLOB,PLOB,PLOB,PVER,PVER,PVER,PLOB,PVER,PVER,PLOB,PLOB,PLOB,PVER,PVER,PVER,PVER,PLOB,PLOB,PLOB,PLOB,WAND,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,PLOB,PLOB,TURF,PLOB,TURF,PLOB,PLOB,PLOB,SHAD,PVER,PLOB,PVER,HALI,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PVER,PVER,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,PLOB,MACRO_UNK,PLOB,TURF,PLOB,HALI,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB
mtt,dp,one,t1_4,CALC,CALC,MACRO_UNK,PLOB,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,SPR,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,MACRO_UNK,PLOB,TAPE,PVER,PLOB,PLOB,CALC,HALI,CALC,PLOB,PLOB,CALC,CALC,MACRO_UNK,PLOB,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
mtt,dp,one,t1_5,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,MACRO_UNK,PVER,SPR,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,SHAD,PVER,PVER,SHAD,PLOB,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,O,O,CALC,EAM,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PLOB,EAM,SPR,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,EAM,PVER,EAM,TAPE,PLOB,PLOB,TURF,EAM,PLOB,PLOB,PLOB,EAM,EAM,TAPE,PLOB,LVAR,MACRO_UNK,EAM,PLOB,PLOB,PLOB,PVER,EAM,UNK,PLOB,PLOB,UNK,UNK,PLOB,PLOB,SHAD,PVER,PVER,PLOB,PLOB,PLOB
mtt,dp,one,t1_6,O,TURF,TURF,EAM,PVER,PVER,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,O,MACRO_UNK,EAM,LVAR,PVER,PLOB,PLOB,PLOB,PLOB,EAM,O,PLOB,PLOB,PLOB,TURF,PLOB,PLOB,PLOB,PLOB,TURF,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PVER,PLOB,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,HALI,DCRE,PLOB,PLOB,EAM,PLOB,HALI,PLOB,PLOB,MACRO_UNK,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
mtt,dp,one,t1_7,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,WAND,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,MACRO_UNK,PLOB,HALI,PLOB,PLOB,PLOB,SPR,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,TURF,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,MACRO_UNK,PLOB,SHAD,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
mtt,dp,one,t1_8,PLOB,SHAD,PLOB,PLOB,SPR,SPR,PLOB,PLOB,PLOB,PLOB,EAM,SHAD,SPR,EAM,PLOB,SPR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,WAND,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD
mtt,dp,one,t1_9,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,SPR,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SPR,SPR,EAM,EAM,EAM,PLOB,EAM,PLOB,PLOB,PLOB,O,EAM,EAM,EAM,EAM,WAND,O,PLOB,EAM,PLOB,O,O,EAM,EAM,EAM,O,O,PLOB,PLOB,PLOB,UNK,UNK,PLOB,PLOB,PLOB,TURF,EAM,PLOB,PLOB,TAPE,EAM,PLOB,PLOB,PLOB,PLOB,TURF,PLOB,SHAD,EAM,TURF,PLOB,TURF,TURF,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,MACRO_UNK,PVER,TURF,TURF,O,PLOB,PLOB,SHAD,UNK,PLOB,PLOB,PLOB,TURF,TURF,MACRO_UNK,PLOB
mtt,dp,one,t1_10,PLOB,TURF,PLOB,PVER,HALI,PLOB,PLOB,PLOB,PLOB,TURF,PLOB,PVER,PVER,PVER,PVER,PVER,O,TURF,TURF,TURF,PLOB,PVER,PVER,PVER,PVER,PVER,O,O,O,TURF,MACRO_UNK,PLOB,MACRO_UNK,PLOB,MACRO_UNK,MACRO_UNK,TURF,O,TURF,TURF,HALI,MACRO_UNK,SFLA,PLOB,PLOB,PLOB,MACRO_UNK,SFLA,SFLA,SFLA,PLOB,HALI,MACRO_UNK,MACRO_UNK,PLOB,TURF,MACRO_UNK,MACRO_UNK,PLOB,MACRO_UNK,PLOB,PLOB,PLOB,PLOB,TAPE,TURF,TURF,PLOB,PLOB,TAPE,PLOB,PLOB,PLOB,PLOB,TURF,EAM,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SFLA,PLOB,PLOB,PLOB,PLOB,SPR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SPR,SPR,SPR
