location,depth,transect,photo,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11,pt12,pt13,pt14,pt15,pt16,pt17,pt18,pt19,pt20,pt21,pt22,pt23,pt24,pt25,pt26,pt27,pt28,pt29,pt30,pt31,pt32,pt33,pt34,pt35,pt36,pt37,pt38,pt39,pt40,pt41,pt42,pt43,pt44,pt45,pt46,pt47,pt48,pt49,pt50,pt51,pt52,pt53,pt54,pt55,pt56,pt57,pt58,pt59,pt60,pt61,pt62,pt63,pt64,pt65,pt66,pt67,pt68,pt69,pt70,pt71,pt72,pt73,pt74,pt75,pt76,pt77,pt78,pt79,pt80,pt81,pt82,pt83,pt84,pt85,pt86,pt87,pt88,pt89,pt90,pt91,pt92,pt93,pt94,pt95,pt96,pt97,pt98,pt99,pt100
mtt,md,one,t1_1,PLOB,PLOB,HALI,PVER,PVER,PVER,PVER,PVER,PVER,CCA,PLOB,PLOB,PVER,PVER,PVER,PLOB,PLOB,PLOB,TURF,CCA,PVER,PLOB,PLOB,PVER,PVER,UNK,UNK,EAM,SHAD,EAM,EAM,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,EAM,PLOB,PLOB,TAPE,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,EAM,HALI,PLOB
mtt,md,one,t1_2,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,EAM,SHAD,TAPE,PLOB,PLOB,TAPE,PLOB,PLOB,TAPE,PLOB,PLOB,PLOB,PVER,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,CALC,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,CALC,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
mtt,md,one,t1_3,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,TURF,PVER,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,CALC,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,CALC,PLOB,PVER,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
mtt,md,one,t1_4,SHAD,PVER,PVER,PVER,PVER,PVER,SHAD,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,TURF,PLOB,PVER,PLOB,PLOB,CALC,CALC,UNK,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
mtt,md,one,t1_5,PLOB,EAM,SHAD,EAM,SHAD,PLOB,PLOB,CALC,PLOB,PLOB,PLOB,PLOB,CALC,CALC,CALC,PLOB,PLOB,PLOB,PVER,PVER,PVER,PLOB,EAM,O,EAM,PVER,EAM,PLOB,PVER,PVER,PVER,PLOB,EAM,PLOB,PLOB,PLOB,SPR,PLOB,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,CALC,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,TURF,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,O,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
mtt,md,one,t1_6,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,CALC,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,EAM,EAM,PLOB,PLOB,PLOB,PLOB,TURF,PLOB,PVER,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,CALC,PVER,PVER,EAM,PLOB,PLOB,PLOB,EAM,EAM,EAM,EAM,PVER,PVER,PVER,CCA,CALC,PLOB,O,CALC,PLOB,PLOB,PLOB,PLIG,EAM,PLOB,EAM,PLOB,CALC,PLOB,PLOB,PLOB,PLOB,PLIG,PLIG,PLIG,PLOB,PLOB,O,PLOB,PLOB,PLOB,PLOB,PLOB,O,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB
mtt,md,one,t1_7,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PVER,PVER,PLOB,PLOB,EAM,PLOB,PLOB,PLIG,EAM,PLOB,PVER,PVER,PVER,PVER,EAM,PVER,PVER,EAM,EAM,SHAD,PVER,PVER,EAM,PVER,PVER,PVER,PVER,PVER,CCA,EAM,PLOB,PLOB,PLOB,PLIG,PLIG,PLOB,PLOB,CALC,UNK,EAM,PLOB,EAM,PLOB,PVER,PLOB,PLOB,EAM,PVER,PVER,PVER,EAM,EAM,EAM,EAM,PLOB,EAM,EAM,SHAD,SHAD,PVER,PVER,PVER,O,O,O,O,O,PLOB,PLOB,PLOB,PVER,O,O,EAM,PVER,EAM,O,PLOB,SHAD,SHAD,PLOB,PLOB,PVER,PVER,PVER,PVER,PLOB
mtt,md,one,t1_8,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,CCA,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,CALC,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,O,O,PLOB,PLOB,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB
mtt,md,one,t1_9,EAM,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,CALC,EAM,CALC,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,O,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,PVER,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,CALC,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,EAM,PVER,PLOB,PLOB,PLOB,PLOB,O,PLOB,PLOB,PLOB,PLOB,EAM,TAPE,PLOB,PLOB,PLOB,O,O,PLOB,TAPE,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
mtt,md,one,t1_10,PLOB,SHAD,SHAD,SHAD,PLOB,PLOB,EAM,PLOB,CALC,CALC,EAM,PLOB,PLOB,PLOB,PLOB,EAM,EAM,EAM,PLOB,O,PVER,PVER,SHAD,PLOB,PLOB,PLOB,PLOB,TURF,PVER,PVER,SHAD,PVER,PVER,PVER,PLOB,PLOB,EAM,PLOB,PVER,PLOB,SHAD,PVER,PVER,EAM,EAM,PLOB,PLOB,PLOB,EAM,PVER,PVER,PVER,EAM,EAM,EAM,EAM,PLOB,PLOB,EAM,PLOB,SHAD,PVER,PVER,PLOB,PVER,PVER,O,EAM,EAM,PLOB,SHAD,SHAD,EAM,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PVER,PVER,EAM,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PVER,PVER
