location,depth,transect,photo,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11,pt12,pt13,pt14,pt15,pt16,pt17,pt18,pt19,pt20,pt21,pt22,pt23,pt24,pt25,pt26,pt27,pt28,pt29,pt30,pt31,pt32,pt33,pt34,pt35,pt36,pt37,pt38,pt39,pt40,pt41,pt42,pt43,pt44,pt45,pt46,pt47,pt48,pt49,pt50,pt51,pt52,pt53,pt54,pt55,pt56,pt57,pt58,pt59,pt60,pt61,pt62,pt63,pt64,pt65,pt66,pt67,pt68,pt69,pt70,pt71,pt72,pt73,pt74,pt75,pt76,pt77,pt78,pt79,pt80,pt81,pt82,pt83,pt84,pt85,pt86,pt87,pt88,pt89,pt90,pt91,pt92,pt93,pt94,pt95,pt96,pt97,pt98,pt99,pt100
mtt,sh,one,t1_1,TURF,CCA,CCA,PLOB,PVER,PVER,CALC,UNK,UNK,BASA,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,CCA,O,PVER,PVER,TURF,PLOB,PLOB,CCA,O,CCA,CCA,PLOB,PVER,PVER,CCA,CCA,CYANO,CCA,CCA,EAM,WAND,CCA,PVER,PVER,CCA,CCA,CCA,CCA,O,O,EAM,PLOB,O,O,PVER,PVER,PVER,PLOB,CCA,PLOB,CYANO,CYANO,TAPE,PVER,PVER,CCA,CCA,PLOB,PLOB,WAND,WAND,CYANO,PVER,PVER,CCA,CCA,PVER,PLOB,EAM,CYANO,SHAD,EAM,PVER,PVER,PVER,EAM,PLOB,PVER,SHAD,SHAD,EAM,CALC,SHAD,PLIG,PVER,EAM,SHAD,CYANO,CYANO,EAM,CALC,CALC
mtt,sh,one,t1_2,PVER,PVER,PLOB,CCA,CCA,CCA,CCA,PVER,PVER,WAND,PVER,PVER,CYANO,CCA,O,O,CCA,PVER,PVER,PVER,O,CCA,CCA,CCA,O,CALC,CYANO,WAND,CYANO,CYANO,CALC,CYANO,CYANO,CCA,CCA,EAM,CCA,CYANO,CCA,CCA,CALC,CCA,CCA,CCA,CCA,O,O,CYANO,CCA,CCA,CCA,CCA,EAM,PVER,PVER,PVER,PVER,O,CYANO,CYANO,CCA,CCA,CCA,CCA,PVER,CCA,CCA,O,O,CCA,CCA,CCA,CCA,CCA,CCA,CCA,CCA,CCA,SPON,CCA,CCA,CALC,SHAD,CCA,CCA,CALC,EAM,EAM,EAM,EAM,EAM,CCA,UNK,PVER,PVER,PVER,EAM,EAM,PVER,PVER
mtt,sh,one,t1_3,PLOB,PLOB,PLOB,PLOB,O,CALC,CALC,PVER,PVER,PVER,PLOB,PLOB,PLOB,EAM,EAM,CALC,PVER,PVER,PVER,PVER,PVER,PVER,CCA,PVER,PVER,PVER,O,PLOB,PLOB,PLOB,PLOB,CCA,CCA,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,EAM,PVER,PVER,PVER,CCA,CCA,CCA,CCA,O,HALI,EAM,CCA,PLIG,PLIG,CCA,CCA,CCA,CCA,CYANO,PVER,SHAD,SHAD,PVER,SHAD,CCA,CCA,CCA,CCA,EAM,PVER,SHAD,O,PVER,PVER,PVER,CCA,CYANO,CCA,CCA,O,O,CCA,CCA,CCA,TAPE,CCA,TAPE,CCA,EAM,O,O,O,CCA,CCA,CCA,CCA,CCA,CCA,CCA
mtt,sh,one,t1_4,PLOB,PVER,PVER,PLOB,PVER,PVER,PVER,PVER,CCA,PVER,PLOB,PLOB,PVER,PVER,PLOB,CCA,CCA,CCA,CCA,CYANO,PLOB,CCA,PLOB,PLOB,EAM,CYANO,CYANO,PVER,PLIG,PLIG,PLIG,PVER,PVER,PVER,PVER,PVER,CCA,CCA,EAM,EAM,CALC,CALC,EAM,PVER,PVER,PVER,PVER,PDAN,PVER,PDAN,SHAD,CYANO,O,CCA,PVER,EAM,EAM,PVER,PDAN,PVER,PVER,CCA,O,O,EAM,O,O,CCA,O,CCA,CYANO,CCA,O,CALC,PLOB,O,O,O,O,EAM,CCA,CCA,CCA,CCA,EAM,EAM,CCA,EAM,EAM,CCA,SHAD,SHAD,CCA,TAPE,CCA,CCA,CCA,PVER,TAPE,CCA
mtt,sh,one,t1_5,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,EAM,EAM,PLOB,PVER,PVER,PVER,PLOB,PLOB,PLOB,WAND,PVER,PLIG,PLIG,PLIG,PVER,PVER,PVER,CCA,PVER,CCA,PLOB,PLIG,PLIG,CCA,CCA,EAM,PVER,CCA,PVER,EAM,PLOB,CCA,EAM,CCA,PLOB,CCA,EAM,PVER,PVER,PVER,PVER,SHAD,EAM,PVER,PVER,PVER,CYANO,CYANO,PVER,PLOB,CCA,PVER,PVER,PVER,PVER,EAM,EAM,PLOB,EAM,PLOB,PLOB,PVER,PVER,PVER,EAM,EAM,PLOB,PLOB,PLOB,EAM,PLOB,CCA,CCA,CCA,CCA,CCA,CCA,PVER,PVER,PVER,PVER,CCA,PVER,SHAD,CCA,PLOB,CCA,PVER,PVER,PVER,PVER
mtt,sh,one,t1_6,PLOB,PVER,PLOB,EAM,CCA,CALC,CALC,PVER,PVER,WAND,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PVER,PVER,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PVER,PLOB,SHAD,PLOB,PLOB,PLOB,SHAD,PVER,PVER,PLOB,PVER,PVER,PVER,SHAD,SHAD,HALI,SHAD,PLOB,PVER,PVER,PVER,PVER,PVER,PVER,PLOB,PLOB,SHAD,PLOB,PLOB,SHAD,EAM,PLOB,EAM,PLOB,PLOB,PLOB,SHAD,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,EAM,EAM,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
mtt,sh,one,t1_7,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,O,EAM,EAM,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,O,O,EAM,CALC,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,WAND,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,CCA,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
mtt,sh,one,t1_8,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PLOB,PLOB,EAM,WAND,PLOB,PLOB,PLOB,PLOB,EAM,EAM,PLOB,PLOB,EAM,EAM,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,O,O,EAM,PLOB,PLOB,PLOB,SPR,SPR,PVER,PVER,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PVER,PLOB,PLOB,SPR,SPR,PLOB,PLOB,PLOB,SPR,PLOB,PVER,CCA,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,CCA,PLOB,CCA,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
mtt,sh,one,t1_9,CALC,CALC,PLOB,PVER,CALC,CALC,CALC,PLOB,PLOB,PLOB,EAM,EAM,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,WAND,PLOB,CALC,CALC,CYANO,CYANO,EAM,EAM,WAND,PLOB,PLOB,PLOB,PLOB,EAM,EAM,EAM,EAM,EAM,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,PVER,PVER,EAM,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PVER,EAM,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,PVER,PVER,PLOB,EAM,PLOB,EAM,PLOB,PLOB,PVER,PVER,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER
mtt,sh,one,t1_10,PVER,PLOB,PLOB,PVER,PLOB,PLOB,O,PVER,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,PVER,PLOB,PLOB,MACRO_UNK,EAM,PVER,EAM,PVER,PVER,PLOB,PLOB,SPON,PVER,PVER,PLOB,PLOB,PLOB,PVER,PVER,PVER,PVER,PVER,PVER,PVER,WAND,CALC,PVER,O,PVER,EAM,PVER,PVER,EAM,PLOB,SHAD,EAM,O,PVER,PVER,PVER,PVER,SHAD,PVER,EAM,EAM,EAM,PLOB,PVER,PVER,SHAD,PVER,PVER,EAM,EAM,EAM,EAM,EAM,PVER,PVER,PVER,PVER,PVER,EAM,EAM,EAM,EAM,EAM,TURF,TURF,SHAD,HALI,CALC,CCA,SHAD,CCA,CCA,EAM
