location,reef,depth,transect,photo,group,successes,failures
north,ana,dp,one,t1_1,abiotic,1,99
north,ana,dp,one,t1_1,biotic,0,100
north,ana,dp,one,t1_1,macro,17,83
north,ana,dp,one,t1_1,non-reef,15,85
north,ana,dp,one,t1_1,plob,62,38
north,ana,dp,one,t1_1,poci,5,95
north,ana,dp,one,t1_1,turf,0,100
north,ana,dp,one,t1_10,abiotic,0,100
north,ana,dp,one,t1_10,biotic,0,100
north,ana,dp,one,t1_10,macro,25,75
north,ana,dp,one,t1_10,non-reef,6,94
north,ana,dp,one,t1_10,plob,57,43
north,ana,dp,one,t1_10,poci,0,100
north,ana,dp,one,t1_10,turf,12,88
north,ana,dp,one,t1_11,abiotic,0,100
north,ana,dp,one,t1_11,biotic,0,100
north,ana,dp,one,t1_11,macro,9,91
north,ana,dp,one,t1_11,non-reef,8,92
north,ana,dp,one,t1_11,plob,83,17
north,ana,dp,one,t1_11,poci,0,100
north,ana,dp,one,t1_11,turf,0,100
north,ana,dp,one,t1_12,abiotic,0,100
north,ana,dp,one,t1_12,biotic,0,100
north,ana,dp,one,t1_12,macro,42,58
north,ana,dp,one,t1_12,non-reef,2,98
north,ana,dp,one,t1_12,plob,55,45
north,ana,dp,one,t1_12,poci,0,100
north,ana,dp,one,t1_12,turf,1,99
north,ana,dp,one,t1_13,abiotic,0,100
north,ana,dp,one,t1_13,biotic,0,100
north,ana,dp,one,t1_13,macro,29,71
north,ana,dp,one,t1_13,non-reef,5,95
north,ana,dp,one,t1_13,plob,66,34
north,ana,dp,one,t1_13,poci,0,100
north,ana,dp,one,t1_13,turf,0,100
north,ana,dp,one,t1_14,abiotic,0,100
north,ana,dp,one,t1_14,biotic,0,100
north,ana,dp,one,t1_14,macro,15,85
north,ana,dp,one,t1_14,non-reef,3,97
north,ana,dp,one,t1_14,plob,81,19
north,ana,dp,one,t1_14,poci,0,100
north,ana,dp,one,t1_14,turf,1,99
north,ana,dp,one,t1_15,abiotic,11,89
north,ana,dp,one,t1_15,biotic,0,100
north,ana,dp,one,t1_15,macro,17,83
north,ana,dp,one,t1_15,non-reef,4,96
north,ana,dp,one,t1_15,plob,67,33
north,ana,dp,one,t1_15,poci,0,100
north,ana,dp,one,t1_15,turf,1,99
north,ana,dp,one,t1_2,abiotic,0,100
north,ana,dp,one,t1_2,biotic,0,100
north,ana,dp,one,t1_2,macro,21,79
north,ana,dp,one,t1_2,non-reef,2,98
north,ana,dp,one,t1_2,plob,75,25
north,ana,dp,one,t1_2,poci,1,99
north,ana,dp,one,t1_2,turf,0,100
north,ana,dp,one,t1_3,abiotic,0,100
north,ana,dp,one,t1_3,biotic,0,100
north,ana,dp,one,t1_3,macro,10,90
north,ana,dp,one,t1_3,non-reef,19,81
north,ana,dp,one,t1_3,plob,60,40
north,ana,dp,one,t1_3,poci,0,100
north,ana,dp,one,t1_3,turf,11,89
north,ana,dp,one,t1_4,abiotic,0,100
north,ana,dp,one,t1_4,biotic,0,100
north,ana,dp,one,t1_4,macro,13,87
north,ana,dp,one,t1_4,non-reef,12,88
north,ana,dp,one,t1_4,plob,75,25
north,ana,dp,one,t1_4,poci,0,100
north,ana,dp,one,t1_4,turf,0,100
north,ana,dp,one,t1_5,abiotic,0,100
north,ana,dp,one,t1_5,biotic,0,100
north,ana,dp,one,t1_5,macro,14,86
north,ana,dp,one,t1_5,non-reef,5,95
north,ana,dp,one,t1_5,plob,65,35
north,ana,dp,one,t1_5,poci,0,100
north,ana,dp,one,t1_5,turf,11,89
north,ana,dp,one,t1_6,abiotic,0,100
north,ana,dp,one,t1_6,biotic,0,100
north,ana,dp,one,t1_6,macro,28,72
north,ana,dp,one,t1_6,non-reef,5,95
north,ana,dp,one,t1_6,plob,63,37
north,ana,dp,one,t1_6,poci,0,100
north,ana,dp,one,t1_6,turf,4,96
north,ana,dp,one,t1_7,abiotic,0,100
north,ana,dp,one,t1_7,biotic,0,100
north,ana,dp,one,t1_7,macro,33,67
north,ana,dp,one,t1_7,non-reef,3,97
north,ana,dp,one,t1_7,plob,37,63
north,ana,dp,one,t1_7,poci,2,98
north,ana,dp,one,t1_7,turf,25,75
north,ana,dp,one,t1_8,abiotic,0,100
north,ana,dp,one,t1_8,biotic,0,100
north,ana,dp,one,t1_8,macro,32,68
north,ana,dp,one,t1_8,non-reef,7,93
north,ana,dp,one,t1_8,plob,48,52
north,ana,dp,one,t1_8,poci,13,87
north,ana,dp,one,t1_8,turf,0,100
north,ana,dp,one,t1_9,abiotic,0,100
north,ana,dp,one,t1_9,biotic,0,100
north,ana,dp,one,t1_9,macro,24,76
north,ana,dp,one,t1_9,non-reef,4,96
north,ana,dp,one,t1_9,plob,51,49
north,ana,dp,one,t1_9,poci,4,96
north,ana,dp,one,t1_9,turf,17,83
north,ana,dp,two,t2_1,abiotic,0,100
north,ana,dp,two,t2_1,biotic,0,100
north,ana,dp,two,t2_1,macro,19,81
north,ana,dp,two,t2_1,non-reef,5,95
north,ana,dp,two,t2_1,plob,76,24
north,ana,dp,two,t2_1,poci,0,100
north,ana,dp,two,t2_1,turf,0,100
north,ana,dp,two,t2_10,abiotic,0,100
north,ana,dp,two,t2_10,biotic,1,99
north,ana,dp,two,t2_10,macro,29,71
north,ana,dp,two,t2_10,non-reef,5,95
north,ana,dp,two,t2_10,plob,62,38
north,ana,dp,two,t2_10,poci,2,98
north,ana,dp,two,t2_10,turf,1,99
north,ana,dp,two,t2_11,abiotic,0,100
north,ana,dp,two,t2_11,biotic,0,100
north,ana,dp,two,t2_11,macro,22,78
north,ana,dp,two,t2_11,non-reef,7,93
north,ana,dp,two,t2_11,plob,58,42
north,ana,dp,two,t2_11,poci,0,100
north,ana,dp,two,t2_11,turf,13,87
north,ana,dp,two,t2_12,abiotic,1,99
north,ana,dp,two,t2_12,biotic,0,100
north,ana,dp,two,t2_12,macro,14,86
north,ana,dp,two,t2_12,non-reef,15,85
north,ana,dp,two,t2_12,plob,68,32
north,ana,dp,two,t2_12,poci,0,100
north,ana,dp,two,t2_12,turf,2,98
north,ana,dp,two,t2_13,abiotic,7,93
north,ana,dp,two,t2_13,biotic,0,100
north,ana,dp,two,t2_13,macro,16,84
north,ana,dp,two,t2_13,non-reef,6,94
north,ana,dp,two,t2_13,plob,68,32
north,ana,dp,two,t2_13,poci,2,98
north,ana,dp,two,t2_13,turf,1,99
north,ana,dp,two,t2_14,abiotic,0,100
north,ana,dp,two,t2_14,biotic,0,100
north,ana,dp,two,t2_14,macro,16,84
north,ana,dp,two,t2_14,non-reef,5,95
north,ana,dp,two,t2_14,plob,74,26
north,ana,dp,two,t2_14,poci,0,100
north,ana,dp,two,t2_14,turf,5,95
north,ana,dp,two,t2_15,abiotic,0,100
north,ana,dp,two,t2_15,biotic,0,100
north,ana,dp,two,t2_15,macro,3,97
north,ana,dp,two,t2_15,non-reef,14,86
north,ana,dp,two,t2_15,plob,72,28
north,ana,dp,two,t2_15,poci,3,97
north,ana,dp,two,t2_15,turf,8,92
north,ana,dp,two,t2_2,abiotic,0,100
north,ana,dp,two,t2_2,biotic,0,100
north,ana,dp,two,t2_2,macro,7,93
north,ana,dp,two,t2_2,non-reef,3,97
north,ana,dp,two,t2_2,plob,90,10
north,ana,dp,two,t2_2,poci,0,100
north,ana,dp,two,t2_2,turf,0,100
north,ana,dp,two,t2_3,abiotic,0,100
north,ana,dp,two,t2_3,biotic,0,100
north,ana,dp,two,t2_3,macro,16,84
north,ana,dp,two,t2_3,non-reef,2,98
north,ana,dp,two,t2_3,plob,82,18
north,ana,dp,two,t2_3,poci,0,100
north,ana,dp,two,t2_3,turf,0,100
north,ana,dp,two,t2_4,abiotic,0,100
north,ana,dp,two,t2_4,biotic,0,100
north,ana,dp,two,t2_4,macro,9,91
north,ana,dp,two,t2_4,non-reef,15,85
north,ana,dp,two,t2_4,plob,70,30
north,ana,dp,two,t2_4,poci,0,100
north,ana,dp,two,t2_4,turf,6,94
north,ana,dp,two,t2_5,abiotic,0,100
north,ana,dp,two,t2_5,biotic,0,100
north,ana,dp,two,t2_5,macro,29,71
north,ana,dp,two,t2_5,non-reef,4,96
north,ana,dp,two,t2_5,plob,57,43
north,ana,dp,two,t2_5,poci,0,100
north,ana,dp,two,t2_5,turf,10,90
north,ana,dp,two,t2_6,abiotic,0,100
north,ana,dp,two,t2_6,biotic,0,100
north,ana,dp,two,t2_6,macro,25,75
north,ana,dp,two,t2_6,non-reef,5,95
north,ana,dp,two,t2_6,plob,69,31
north,ana,dp,two,t2_6,poci,0,100
north,ana,dp,two,t2_6,turf,1,99
north,ana,dp,two,t2_7,abiotic,0,100
north,ana,dp,two,t2_7,biotic,0,100
north,ana,dp,two,t2_7,macro,30,70
north,ana,dp,two,t2_7,non-reef,6,94
north,ana,dp,two,t2_7,plob,61,39
north,ana,dp,two,t2_7,poci,0,100
north,ana,dp,two,t2_7,turf,3,97
north,ana,dp,two,t2_8,abiotic,0,100
north,ana,dp,two,t2_8,biotic,2,98
north,ana,dp,two,t2_8,macro,19,81
north,ana,dp,two,t2_8,non-reef,8,92
north,ana,dp,two,t2_8,plob,58,42
north,ana,dp,two,t2_8,poci,0,100
north,ana,dp,two,t2_8,turf,13,87
north,ana,dp,two,t2_9,abiotic,0,100
north,ana,dp,two,t2_9,biotic,0,100
north,ana,dp,two,t2_9,macro,48,52
north,ana,dp,two,t2_9,non-reef,15,85
north,ana,dp,two,t2_9,plob,21,79
north,ana,dp,two,t2_9,poci,1,99
north,ana,dp,two,t2_9,turf,15,85
north,ana,dp,three,t3_1,abiotic,20,80
north,ana,dp,three,t3_1,biotic,0,100
north,ana,dp,three,t3_1,macro,19,81
north,ana,dp,three,t3_1,non-reef,2,98
north,ana,dp,three,t3_1,plob,54,46
north,ana,dp,three,t3_1,poci,0,100
north,ana,dp,three,t3_1,turf,5,95
north,ana,dp,three,t3_10,abiotic,0,100
north,ana,dp,three,t3_10,biotic,0,100
north,ana,dp,three,t3_10,macro,6,94
north,ana,dp,three,t3_10,non-reef,18,85
north,ana,dp,three,t3_10,plob,75,25
north,ana,dp,three,t3_10,poci,0,100
north,ana,dp,three,t3_10,turf,1,99
north,ana,dp,three,t3_11,abiotic,0,100
north,ana,dp,three,t3_11,biotic,0,100
north,ana,dp,three,t3_11,macro,6,94
north,ana,dp,three,t3_11,non-reef,2,98
north,ana,dp,three,t3_11,plob,85,15
north,ana,dp,three,t3_11,poci,0,100
north,ana,dp,three,t3_11,turf,7,93
north,ana,dp,three,t3_12,abiotic,0,100
north,ana,dp,three,t3_12,biotic,0,100
north,ana,dp,three,t3_12,macro,8,92
north,ana,dp,three,t3_12,non-reef,4,96
north,ana,dp,three,t3_12,plob,85,15
north,ana,dp,three,t3_12,poci,1,99
north,ana,dp,three,t3_12,turf,2,98
north,ana,dp,three,t3_13,abiotic,0,100
north,ana,dp,three,t3_13,biotic,0,100
north,ana,dp,three,t3_13,macro,12,88
north,ana,dp,three,t3_13,non-reef,5,95
north,ana,dp,three,t3_13,plob,82,18
north,ana,dp,three,t3_13,poci,0,100
north,ana,dp,three,t3_13,turf,1,99
north,ana,dp,three,t3_14,abiotic,0,100
north,ana,dp,three,t3_14,biotic,0,100
north,ana,dp,three,t3_14,macro,14,86
north,ana,dp,three,t3_14,non-reef,4,96
north,ana,dp,three,t3_14,plob,81,19
north,ana,dp,three,t3_14,poci,0,100
north,ana,dp,three,t3_14,turf,1,99
north,ana,dp,three,t3_15,abiotic,0,100
north,ana,dp,three,t3_15,biotic,0,100
north,ana,dp,three,t3_15,macro,9,91
north,ana,dp,three,t3_15,non-reef,7,93
north,ana,dp,three,t3_15,plob,82,18
north,ana,dp,three,t3_15,poci,0,100
north,ana,dp,three,t3_15,turf,2,98
north,ana,dp,three,t3_2,abiotic,25,75
north,ana,dp,three,t3_2,biotic,0,100
north,ana,dp,three,t3_2,macro,26,74
north,ana,dp,three,t3_2,non-reef,3,97
north,ana,dp,three,t3_2,plob,46,54
north,ana,dp,three,t3_2,poci,0,100
north,ana,dp,three,t3_2,turf,0,100
north,ana,dp,three,t3_3,abiotic,1,99
north,ana,dp,three,t3_3,biotic,0,100
north,ana,dp,three,t3_3,macro,40,60
north,ana,dp,three,t3_3,non-reef,13,87
north,ana,dp,three,t3_3,plob,46,54
north,ana,dp,three,t3_3,poci,0,100
north,ana,dp,three,t3_3,turf,0,100
north,ana,dp,three,t3_4,abiotic,4,96
north,ana,dp,three,t3_4,biotic,0,100
north,ana,dp,three,t3_4,macro,17,83
north,ana,dp,three,t3_4,non-reef,3,97
north,ana,dp,three,t3_4,plob,31,69
north,ana,dp,three,t3_4,poci,2,98
north,ana,dp,three,t3_4,turf,43,57
north,ana,dp,three,t3_5,abiotic,1,99
north,ana,dp,three,t3_5,biotic,0,100
north,ana,dp,three,t3_5,macro,28,72
north,ana,dp,three,t3_5,non-reef,4,96
north,ana,dp,three,t3_5,plob,50,50
north,ana,dp,three,t3_5,poci,3,97
north,ana,dp,three,t3_5,turf,14,86
north,ana,dp,three,t3_6,abiotic,0,100
north,ana,dp,three,t3_6,biotic,1,99
north,ana,dp,three,t3_6,macro,15,85
north,ana,dp,three,t3_6,non-reef,53,47
north,ana,dp,three,t3_6,plob,0,100
north,ana,dp,three,t3_6,poci,6,94
north,ana,dp,three,t3_6,turf,25,75
north,ana,dp,three,t3_7,abiotic,2,98
north,ana,dp,three,t3_7,biotic,0,100
north,ana,dp,three,t3_7,macro,12,88
north,ana,dp,three,t3_7,non-reef,4,96
north,ana,dp,three,t3_7,plob,82,18
north,ana,dp,three,t3_7,poci,0,100
north,ana,dp,three,t3_7,turf,0,100
north,ana,dp,three,t3_8,abiotic,4,96
north,ana,dp,three,t3_8,biotic,0,100
north,ana,dp,three,t3_8,macro,12,88
north,ana,dp,three,t3_8,non-reef,5,95
north,ana,dp,three,t3_8,plob,42,58
north,ana,dp,three,t3_8,poci,0,100
north,ana,dp,three,t3_8,turf,37,63
north,ana,dp,three,t3_9,abiotic,0,100
north,ana,dp,three,t3_9,biotic,0,100
north,ana,dp,three,t3_9,macro,14,86
north,ana,dp,three,t3_9,non-reef,10,90
north,ana,dp,three,t3_9,plob,71,29
north,ana,dp,three,t3_9,poci,5,95
north,ana,dp,three,t3_9,turf,0,100
