location,reef,depth,transect,photo,group,,successes,failures
north,ana,sh,one,t1_1,abiotic,abiotic,0,100
north,ana,sh,one,t1_1,biotic,biotic,0,100
north,ana,sh,one,t1_1,macro,macro,2,98
north,ana,sh,one,t1_1,non-reef,non-reef,12,88
north,ana,sh,one,t1_1,plob,plob,85,15
north,ana,sh,one,t1_1,poci,poci,0,100
north,ana,sh,one,t1_1,turf,turf,1,99
north,ana,sh,one,t1_10,abiotic,abiotic,0,100
north,ana,sh,one,t1_10,biotic,biotic,0,100
north,ana,sh,one,t1_10,macro,macro,13,87
north,ana,sh,one,t1_10,non-reef,non-reef,2,98
north,ana,sh,one,t1_10,plob,plob,81,19
north,ana,sh,one,t1_10,poci,poci,0,100
north,ana,sh,one,t1_10,turf,turf,4,96
north,ana,sh,one,t1_11,abiotic,abiotic,0,100
north,ana,sh,one,t1_11,biotic,biotic,0,100
north,ana,sh,one,t1_11,macro,macro,8,92
north,ana,sh,one,t1_11,non-reef,non-reef,4,96
north,ana,sh,one,t1_11,plob,plob,81,19
north,ana,sh,one,t1_11,poci,poci,0,100
north,ana,sh,one,t1_11,turf,turf,7,93
north,ana,sh,one,t1_12,abiotic,abiotic,0,100
north,ana,sh,one,t1_12,biotic,biotic,0,100
north,ana,sh,one,t1_12,macro,macro,12,88
north,ana,sh,one,t1_12,non-reef,non-reef,5,95
north,ana,sh,one,t1_12,plob,plob,56,44
north,ana,sh,one,t1_12,poci,poci,0,100
north,ana,sh,one,t1_12,turf,turf,27,73
north,ana,sh,one,t1_13,abiotic,abiotic,0,100
north,ana,sh,one,t1_13,biotic,biotic,0,100
north,ana,sh,one,t1_13,macro,macro,15,85
north,ana,sh,one,t1_13,non-reef,non-reef,7,93
north,ana,sh,one,t1_13,plob,plob,68,32
north,ana,sh,one,t1_13,poci,poci,0,100
north,ana,sh,one,t1_13,turf,turf,10,90
north,ana,sh,one,t1_14,abiotic,abiotic,0,100
north,ana,sh,one,t1_14,biotic,biotic,0,100
north,ana,sh,one,t1_14,macro,macro,2,98
north,ana,sh,one,t1_14,non-reef,non-reef,4,96
north,ana,sh,one,t1_14,plob,plob,93,7
north,ana,sh,one,t1_14,poci,poci,0,100
north,ana,sh,one,t1_14,turf,turf,1,99
north,ana,sh,one,t1_15,abiotic,abiotic,33,67
north,ana,sh,one,t1_15,biotic,biotic,0,100
north,ana,sh,one,t1_15,macro,macro,1,99
north,ana,sh,one,t1_15,non-reef,non-reef,4,96
north,ana,sh,one,t1_15,plob,plob,57,43
north,ana,sh,one,t1_15,poci,poci,0,100
