location,depth,transect,point,metric,group,status
north,sh,one,1,0,PLOB,PB
north,sh,one,2,20,PLOB,PB
north,sh,one,3,40,PLOB,PB
north,sh,one,4,60,MA,HAL
north,sh,one,5,80,TURF,na
north,sh,one,6,100,TURF,na
north,sh,one,7,120,TURF,na
north,sh,one,8,140,PLOB,PB
north,sh,one,9,160,PLOB,PB
north,sh,one,10,180,PLOB,PB
north,sh,one,11,200,PLOB,PB
north,sh,one,12,220,PLOB,PB
north,sh,one,13,240,PLOB,PB
north,sh,one,14,260,TURF,na
north,sh,one,15,280,PLOB,P
north,sh,one,16,300,PLOB,PB
north,sh,one,17,320,PLOB,PB
north,sh,one,18,340,PLOB,PB
north,sh,one,19,360,SAND,na
north,sh,one,20,380,MA,HAL
north,sh,one,21,400,PLOB,PB
north,sh,one,22,420,PLOB,PB
north,sh,one,23,440,SAND,na
north,sh,one,24,460,PLOB,P
north,sh,one,25,480,MA,HAL
north,sh,one,26,500,PLOB,PB
north,sh,one,27,520,PLOB,PB
north,sh,one,28,540,SAND,na
north,sh,one,29,560,SAND,na
north,sh,one,30,580,SAND,na
north,sh,one,31,600,DC,OM
north,sh,one,32,620,DC,OM
north,sh,one,33,640,PLOB,PB
north,sh,one,34,660,PLOB,PB
north,sh,one,35,680,PLOB,PB
north,sh,one,36,700,SAND,na
north,sh,one,37,720,SAND,na
north,sh,one,38,740,PLOB,PB
north,sh,one,39,760,PLOB,PB
north,sh,one,40,780,PLOB,H
north,sh,one,41,800,PLOB,H
north,sh,one,42,820,PLOB,H
north,sh,one,43,840,PLOB,PB
north,sh,one,44,860,SAND,na
north,sh,one,45,880,SAND,na
north,sh,one,46,900,PLOB,P
north,sh,one,47,920,PLOB,P
north,sh,one,48,940,PLOB,P
north,sh,one,49,960,PLOB,H
north,sh,one,50,980,SAND,na
north,sh,one,51,1000,PLOB,H
north,sh,one,52,1020,PLOB,H
north,sh,one,53,1040,PLOB,H
north,sh,one,54,1060,SAND,na
north,sh,one,55,1080,PLOB,P
