location,reef,depth,transect,photo,group,successes,failures
west,man,dp,one,t1_1,abiotic,40,60
west,man,dp,one,t1_1,biotic,0,100
west,man,dp,one,t1_1,macro,21,79
west,man,dp,one,t1_1,non-reef,6,94
west,man,dp,one,t1_1,plob,22,78
west,man,dp,one,t1_1,poci,8,92
west,man,dp,one,t1_1,turf,3,97
west,man,dp,one,t1_10,abiotic,49,51
west,man,dp,one,t1_10,biotic,0,100
west,man,dp,one,t1_10,macro,11,89
west,man,dp,one,t1_10,non-reef,3,97
west,man,dp,one,t1_10,plob,5,95
west,man,dp,one,t1_10,poci,15,85
west,man,dp,one,t1_10,turf,17,83
west,man,dp,one,t1_11,abiotic,74,26
west,man,dp,one,t1_11,biotic,0,100
west,man,dp,one,t1_11,macro,13,87
west,man,dp,one,t1_11,non-reef,2,98
west,man,dp,one,t1_11,plob,0,100
west,man,dp,one,t1_11,poci,2,98
west,man,dp,one,t1_11,turf,9,91
west,man,dp,one,t1_12,abiotic,58,42
west,man,dp,one,t1_12,biotic,0,100
west,man,dp,one,t1_12,macro,6,94
west,man,dp,one,t1_12,non-reef,5,95
west,man,dp,one,t1_12,plob,2,98
west,man,dp,one,t1_12,poci,4,96
west,man,dp,one,t1_12,turf,25,75
west,man,dp,one,t1_13,abiotic,66,34
west,man,dp,one,t1_13,biotic,0,100
west,man,dp,one,t1_13,macro,3,97
west,man,dp,one,t1_13,non-reef,2,98
west,man,dp,one,t1_13,plob,5,95
west,man,dp,one,t1_13,poci,12,88
west,man,dp,one,t1_13,turf,12,88
west,man,dp,one,t1_14,abiotic,52,48
west,man,dp,one,t1_14,biotic,0,100
west,man,dp,one,t1_14,macro,7,93
west,man,dp,one,t1_14,non-reef,3,97
west,man,dp,one,t1_14,plob,3,97
west,man,dp,one,t1_14,poci,13,87
west,man,dp,one,t1_14,turf,22,78
west,man,dp,one,t1_15,abiotic,80,20
west,man,dp,one,t1_15,biotic,0,100
west,man,dp,one,t1_15,macro,2,98
west,man,dp,one,t1_15,non-reef,3,97
west,man,dp,one,t1_15,plob,0,100
west,man,dp,one,t1_15,poci,2,98
west,man,dp,one,t1_15,turf,13,87
west,man,dp,one,t1_2,abiotic,49,51
west,man,dp,one,t1_2,biotic,0,100
west,man,dp,one,t1_2,macro,8,92
west,man,dp,one,t1_2,non-reef,1,99
west,man,dp,one,t1_2,plob,14,86
west,man,dp,one,t1_2,poci,17,83
west,man,dp,one,t1_2,turf,11,89
west,man,dp,one,t1_3,abiotic,52,48
west,man,dp,one,t1_3,biotic,0,100
west,man,dp,one,t1_3,macro,8,92
west,man,dp,one,t1_3,non-reef,9,91
west,man,dp,one,t1_3,plob,3,97
west,man,dp,one,t1_3,poci,16,84
west,man,dp,one,t1_3,turf,12,88
west,man,dp,one,t1_4,abiotic,77,23
west,man,dp,one,t1_4,biotic,0,100
west,man,dp,one,t1_4,macro,0,100
west,man,dp,one,t1_4,non-reef,0,100
west,man,dp,one,t1_4,plob,2,98
west,man,dp,one,t1_4,poci,6,94
west,man,dp,one,t1_4,turf,15,85
west,man,dp,one,t1_5,abiotic,51,49
west,man,dp,one,t1_5,biotic,0,100
west,man,dp,one,t1_5,macro,13,87
west,man,dp,one,t1_5,non-reef,4,96
west,man,dp,one,t1_5,plob,7,93
west,man,dp,one,t1_5,poci,12,88
west,man,dp,one,t1_5,turf,13,87
west,man,dp,one,t1_6,abiotic,54,46
west,man,dp,one,t1_6,biotic,0,100
west,man,dp,one,t1_6,macro,14,86
west,man,dp,one,t1_6,non-reef,6,94
west,man,dp,one,t1_6,plob,9,91
west,man,dp,one,t1_6,poci,7,93
west,man,dp,one,t1_6,turf,10,90
west,man,dp,one,t1_7,abiotic,59,41
west,man,dp,one,t1_7,biotic,0,100
west,man,dp,one,t1_7,macro,3,97
west,man,dp,one,t1_7,non-reef,1,99
west,man,dp,one,t1_7,plob,6,94
west,man,dp,one,t1_7,poci,10,90
west,man,dp,one,t1_7,turf,21,79
west,man,dp,one,t1_8,abiotic,17,83
west,man,dp,one,t1_8,biotic,0,100
west,man,dp,one,t1_8,macro,31,69
west,man,dp,one,t1_8,non-reef,10,90
west,man,dp,one,t1_8,plob,6,94
west,man,dp,one,t1_8,poci,11,89
west,man,dp,one,t1_8,turf,25,75
west,man,dp,one,t1_9,abiotic,26,74
west,man,dp,one,t1_9,biotic,0,100
west,man,dp,one,t1_9,macro,14,86
west,man,dp,one,t1_9,non-reef,17,83
west,man,dp,one,t1_9,plob,12,88
west,man,dp,one,t1_9,poci,19,81
west,man,dp,one,t1_9,turf,12,88
west,man,dp,two,t2_1,abiotic,67,33
west,man,dp,two,t2_1,biotic,0,100
west,man,dp,two,t2_1,macro,1,99
west,man,dp,two,t2_1,non-reef,1,99
west,man,dp,two,t2_1,plob,5,95
west,man,dp,two,t2_1,poci,10,90
west,man,dp,two,t2_1,turf,16,84
