location,reef,depth,transect,photo,group,successes,failures
west,mtt,dp,t1,t1_1,abiotic,NA,NA
west,mtt,dp,t1,t1_1,biotic,5,95
west,mtt,dp,t1,t1_1,macro,7,93
west,mtt,dp,t1,t1_1,non-reef,5,95
west,mtt,dp,t1,t1_1,plob,64,36
west,mtt,dp,t1,t1_1,poci,14,86
west,mtt,dp,t1,t1_1,turf,5,95
west,mtt,dp,t1,t1_10,abiotic,4,96
west,mtt,dp,t1,t1_10,biotic,5,95
west,mtt,dp,t1,t1_10,macro,14,86
west,mtt,dp,t1,t1_10,NA,5,95
west,mtt,dp,t1,t1_10,non-reef,2,98
west,mtt,dp,t1,t1_10,plob,44,56
west,mtt,dp,t1,t1_10,poci,11,89
west,mtt,dp,t1,t1_10,turf,15,85
west,mtt,dp,t1,t1_11,abiotic,NA,NA
west,mtt,dp,t1,t1_11,biotic,3,97
west,mtt,dp,t1,t1_11,macro,6,94
west,mtt,dp,t1,t1_11,non-reef,11,89
west,mtt,dp,t1,t1_11,plob,74,26
west,mtt,dp,t1,t1_11,poci,3,97
west,mtt,dp,t1,t1_11,turf,3,97
west,mtt,dp,t1,t1_12,abiotic,NA,NA
west,mtt,dp,t1,t1_12,biotic,NA,NA
west,mtt,dp,t1,t1_12,macro,9,91
west,mtt,dp,t1,t1_12,NA,1,99
west,mtt,dp,t1,t1_12,non-reef,7,93
west,mtt,dp,t1,t1_12,plob,55,45
west,mtt,dp,t1,t1_12,poci,5,95
west,mtt,dp,t1,t1_12,turf,23,77
west,mtt,dp,t1,t1_13,abiotic,NA,NA
west,mtt,dp,t1,t1_13,biotic,NA,NA
west,mtt,dp,t1,t1_13,macro,5,95
west,mtt,dp,t1,t1_13,non-reef,3,97
west,mtt,dp,t1,t1_13,plob,70,30
west,mtt,dp,t1,t1_13,poci,5,95
west,mtt,dp,t1,t1_13,turf,17,83
west,mtt,dp,t1,t1_14,abiotic,NA,NA
west,mtt,dp,t1,t1_14,biotic,NA,NA
west,mtt,dp,t1,t1_14,macro,7,93
west,mtt,dp,t1,t1_14,non-reef,12,88
west,mtt,dp,t1,t1_14,plob,74,26
west,mtt,dp,t1,t1_14,poci,2,98
west,mtt,dp,t1,t1_14,turf,5,95
west,mtt,dp,t1,t1_15,abiotic,NA,NA
west,mtt,dp,t1,t1_15,biotic,NA,NA
west,mtt,dp,t1,t1_15,macro,2,98
west,mtt,dp,t1,t1_15,non-reef,9,91
west,mtt,dp,t1,t1_15,plob,70,30
west,mtt,dp,t1,t1_15,poci,2,98
west,mtt,dp,t1,t1_15,turf,17,83
west,mtt,dp,t1,t1_2,abiotic,2,98
west,mtt,dp,t1,t1_2,biotic,NA,NA
west,mtt,dp,t1,t1_2,macro,7,93
west,mtt,dp,t1,t1_2,non-reef,10,90
west,mtt,dp,t1,t1_2,plob,65,35
west,mtt,dp,t1,t1_2,poci,11,89
west,mtt,dp,t1,t1_2,turf,5,95
west,mtt,dp,t1,t1_3,abiotic,NA,NA
west,mtt,dp,t1,t1_3,biotic,NA,NA
west,mtt,dp,t1,t1_3,macro,6,94
west,mtt,dp,t1,t1_3,non-reef,6,94
