location,reef,depth,transect,photo,group,successes,failures
west,mtt,sh,t1,t1_1,abiotic,0,100
west,mtt,sh,t1,t1_1,biotic,6,94
west,mtt,sh,t1,t1_1,macro,4,96
west,mtt,sh,t1,t1_1,non-reef,39,61
west,mtt,sh,t1,t1_1,plob,17,83
west,mtt,sh,t1,t1_1,poci,23,77
west,mtt,sh,t1,t1_1,turf,11,89
west,mtt,sh,t1,t1_10,abiotic,0,100
west,mtt,sh,t1,t1_10,biotic,3,97
west,mtt,sh,t1,t1_10,macro,4,96
west,mtt,sh,t1,t1_10,non-reef,10,90
west,mtt,sh,t1,t1_10,plob,23,77
west,mtt,sh,t1,t1_10,poci,39,61
west,mtt,sh,t1,t1_10,turf,21,79
west,mtt,sh,t1,t1_11,abiotic,0,100
west,mtt,sh,t1,t1_11,biotic,0,100
west,mtt,sh,t1,t1_11,macro,4,96
west,mtt,sh,t1,t1_11,non-reef,1,99
west,mtt,sh,t1,t1_11,plob,56,44
west,mtt,sh,t1,t1_11,poci,27,73
west,mtt,sh,t1,t1_11,turf,12,88
west,mtt,sh,t1,t1_12,abiotic,0,100
west,mtt,sh,t1,t1_12,biotic,5,95
west,mtt,sh,t1,t1_12,macro,0,100
west,mtt,sh,t1,t1_12,non-reef,35,65
west,mtt,sh,t1,t1_12,plob,19,81
west,mtt,sh,t1,t1_12,poci,34,66
west,mtt,sh,t1,t1_12,turf,7,93
west,mtt,sh,t1,t1_13,abiotic,0,100
west,mtt,sh,t1,t1_13,biotic,4,96
west,mtt,sh,t1,t1_13,macro,1,99
west,mtt,sh,t1,t1_13,non-reef,9,91
west,mtt,sh,t1,t1_13,plob,37,63
west,mtt,sh,t1,t1_13,poci,25,75
west,mtt,sh,t1,t1_13,turf,24,76
west,mtt,sh,t1,t1_14,abiotic,0,100
west,mtt,sh,t1,t1_14,biotic,8,92
west,mtt,sh,t1,t1_14,macro,0,100
west,mtt,sh,t1,t1_14,non-reef,12,88
west,mtt,sh,t1,t1_14,plob,37,63
west,mtt,sh,t1,t1_14,poci,33,67
west,mtt,sh,t1,t1_14,turf,10,90
