plot_id,class,Site,cover,level,layer,id,percentage_inside,clumpy,pd,pland,NA
1,1,ana,coral,class,1,NA,99.99391446,0.992040707,2.000121718,1.238353818,NA
1,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
1,0,vhu,coral,class,1,NA,100.0311061,0.987304537,18.99409167,36.4182162,NA
2,1,ana,coral,class,1,NA,99.89351896,0.990401091,8.008527563,6.009120047,NA
2,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
2,0,vhu,coral,class,1,NA,99.91145171,0.987284375,20.01772535,23.9860877,NA
3,1,ana,coral,class,1,NA,99.99391446,0.995174274,4.000243437,3.218911865,NA
3,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
3,0,vhu,coral,class,1,NA,100.0311061,0.988894222,15.99502457,30.00114603,NA
4,1,ana,coral,class,1,NA,99.99391446,0.995263018,3.000182577,3.67172917,NA
4,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
4,0,vhu,coral,class,1,NA,100.0311061,0.987669768,18.99409167,28.62175171,NA
5,1,ana,coral,class,1,NA,99.89351896,0.997965772,1.001065945,1.014428278,NA
5,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
5,0,vhu,coral,class,1,NA,99.91145171,0.987620069,18.01595282,32.34909821,NA
6,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
6,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
6,0,vhu,coral,class,1,NA,99.91145171,0.985264768,24.02127042,43.04664922,NA
7,1,ana,coral,class,1,NA,99.99391446,0.991441416,2.000121718,0.541401017,NA
7,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
7,0,vhu,coral,class,1,NA,100.0311061,0.98517455,18.99409167,45.74750021,NA
8,1,ana,coral,class,1,NA,99.99391446,0.99695573,1.000060859,0.659478962,NA
8,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
8,0,vhu,coral,class,1,NA,100.0311061,0.988102059,14.99533553,26.45044839,NA
9,1,ana,coral,class,1,NA,99.89351896,0.998412736,1.001065945,1.797316563,NA
9,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
9,0,vhu,coral,class,1,NA,99.91145171,0.986816452,21.01861162,28.56653161,NA
10,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
10,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
10,0,vhu,coral,class,1,NA,100.0311061,0.987304212,19.99378071,30.51342291,NA
11,1,ana,coral,class,1,NA,100.094512,0.993246041,2.997167319,5.325523198,NA
11,0,man,coral,class,1,NA,99.94930406,0.992724864,1.000507217,0.419365702,NA
11,0,vhu,coral,class,1,NA,100.0311061,0.988350655,14.99533553,32.82998596,NA
12,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
12,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
12,0,vhu,coral,class,1,NA,99.91145171,0.986967689,21.01861162,37.83584926,NA
13,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
13,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
13,0,vhu,coral,class,1,NA,100.0311061,0.986935734,20.99346974,31.9776237,NA
14,1,ana,coral,class,1,NA,100.094512,0.995872884,1.998111546,0.960323707,NA
14,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
14,0,vhu,coral,class,1,NA,100.0311061,0.99007604,8.997201318,13.82173452,NA
15,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
15,0,man,coral,class,1,NA,99.94930406,0.997682319,1.000507217,1.625363998,NA
15,0,vhu,coral,class,1,NA,99.91145171,0.988286103,17.01506655,35.61318082,NA
16,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
16,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
16,0,vhu,coral,class,1,NA,99.91145171,0.988826115,18.01595282,32.80963821,NA
17,1,ana,coral,class,1,NA,100.094512,0.993023981,1.998111546,1.81076063,NA
17,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
17,0,vhu,coral,class,1,NA,100.0311061,0.989264458,14.99533553,27.14050368,NA
18,1,ana,coral,class,1,NA,100.094512,0.999053762,0.999055773,2.928397005,NA
18,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
18,0,vhu,coral,class,1,NA,100.0311061,0.989658254,12.99595746,28.96312638,NA
19,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
19,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
19,0,vhu,coral,class,1,NA,99.91145171,0.988952989,15.01329402,30.11610312,NA
20,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
20,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
20,0,vhu,coral,class,1,NA,100.0311061,0.988865055,14.99533553,33.7746039,NA
21,1,ana,coral,class,1,NA,99.99391446,1,1.000060859,4.04E-04,NA
21,0,man,coral,class,1,NA,100.0900777,0.99616953,0.999100033,0.55586217,NA
21,0,vhu,coral,class,1,NA,100.0311061,0.987456283,18.99409167,25.98215053,NA
22,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
22,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
22,0,vhu,coral,class,1,NA,99.91145171,0.986810052,19.01683909,37.51385851,NA
23,1,ana,coral,class,1,NA,99.99391446,0.992028602,2.000121718,1.151689252,NA
23,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
23,0,vhu,coral,class,1,NA,100.0311061,0.982703648,24.99222588,45.71512477,NA
24,1,ana,coral,class,1,NA,99.99391446,0.989833826,3.000182577,1.110781153,NA
24,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
24,0,vhu,coral,class,1,NA,100.0311061,0.986514961,16.9947136,21.46950119,NA
25,1,ana,coral,class,1,NA,99.89351896,0.995978842,1.001065945,1.039301133,NA
25,0,man,coral,class,1,NA,100.0900777,0.938092237,0.999100033,0.042926011,NA
25,0,vhu,coral,class,1,NA,99.91145171,0.985521263,23.02038416,35.25146115,NA
26,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
26,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
26,0,vhu,coral,class,1,NA,99.91145171,0.984213962,26.02304296,39.52755567,NA
27,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
27,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
