plot_id,class,Site,cover,level,layer,id,percentage_inside,pland,NA
1,1,ana,poci,class,1,NA,100.0,1.2,NA
1,0,man,poci,class,NA,NA,NA,0.0,NA
1,0,vhu,poci,class,1,NA,100.0,36.4,NA
2,1,ana,poci,class,1,NA,99.9,6.0,NA
2,0,man,poci,class,NA,NA,NA,0.0,NA
2,0,vhu,poci,class,1,NA,99.9,24.0,NA
3,1,ana,poci,class,1,NA,100.0,3.2,NA
3,0,man,poci,class,NA,NA,NA,0.0,NA
3,0,vhu,poci,class,1,NA,100.0,30.0,NA
4,1,ana,poci,class,1,NA,100.0,3.7,NA
4,0,man,poci,class,NA,NA,NA,0.0,NA
4,0,vhu,poci,class,1,NA,100.0,28.6,NA
5,1,ana,poci,class,1,NA,100.0,1.0,NA
5,0,man,poci,class,NA,NA,NA,0.0,NA
5,0,vhu,poci,class,1,NA,100.0,32.4,NA
6,1,ana,poci,class,NA,NA,NA,0.0,NA
6,0,man,poci,class,NA,NA,NA,0.0,NA
6,0,vhu,poci,class,1,NA,99.9,43.0,NA
7,1,ana,poci,class,1,NA,100.0,0.5,NA
7,0,man,poci,class,NA,NA,NA,0.0,NA
7,0,vhu,poci,class,1,NA,100.0,45.7,NA
8,1,ana,poci,class,1,NA,100.0,0.7,NA
8,0,man,poci,class,NA,NA,NA,0.0,NA
8,0,vhu,poci,class,1,NA,100.0,26.5,NA
9,1,ana,poci,class,1,NA,99.9,1.8,NA
9,0,man,poci,class,NA,NA,NA,0.0,NA
9,0,vhu,poci,class,1,NA,99.9,28.6,NA
10,1,ana,poci,class,NA,NA,NA,0.0,NA
10,0,man,poci,class,NA,NA,NA,0.0,NA
10,0,vhu,poci,class,1,NA,100.0,30.5,NA
11,1,ana,poci,class,1,NA,100.1,5.3,NA
11,0,man,poci,class,1,NA,99.9,0.4,NA
11,0,vhu,poci,class,1,NA,100.0,32.8,NA
12,1,ana,poci,class,NA,NA,NA,0.0,NA
12,0,man,poci,class,NA,NA,NA,0.0,NA
12,0,vhu,poci,class,1,NA,99.9,37.8,NA
13,1,ana,poci,class,NA,NA,NA,0.0,NA
13,0,man,poci,class,NA,NA,NA,0.0,NA
13,0,vhu,poci,class,1,NA,100.0,32.0,NA
14,1,ana,poci,class,1,NA,100.1,1.0,NA
14,0,man,poci,class,NA,NA,NA,0.0,NA
14,0,vhu,poci,class,1,NA,100.0,13.8,NA
15,1,ana,poci,class,NA,NA,NA,0.0,NA
15,0,man,poci,class,1,NA,99.9,1.6,NA
15,0,vhu,poci,class,1,NA,100.0,35.6,NA
16,1,ana,poci,class,NA,NA,NA,0.0,NA
16,0,man,poci,class,NA,NA,NA,0.0,NA
16,0,vhu,poci,class,1,NA,99.9,32.8,NA
17,1,ana,poci,class,1,NA,100.1,1.8,NA
17,0,man,poci,class,NA,NA,NA,0.0,NA
17,0,vhu,poci,class,1,NA,100.0,27.1,NA
18,1,ana,poci,class,1,NA,100.1,2.9,NA
18,0,man,poci,class,NA,NA,NA,0.0,NA
18,0,vhu,poci,class,1,NA,100.0,29.0,NA
19,1,ana,poci,class,NA,NA,NA,0.0,NA
19,0,man,poci,class,NA,NA,NA,0.0,NA
19,0,vhu,poci,class,1,NA,99.9,30.1,NA
20,1,ana,poci,class,NA,NA,NA,0.0,NA
20,0,man,poci,class,NA,NA,NA,0.0,NA
20,0,vhu,poci,class,1,NA,100.0,33.8,NA
21,1,ana,poci,class,1,NA,100.0,0.0,NA
21,0,man,poci,class,1,NA,100.1,0.6,NA
21,0,vhu,poci,class,1,NA,100.0,26.0,NA
22,1,ana,poci,class,NA,NA,NA,0.0,NA
22,0,man,poci,class,NA,NA,NA,0.0,NA
22,0,vhu,poci,class,1,NA,99.9,37.5,NA
23,1,ana,poci,class,1,NA,100.0,1.2,NA
23,0,man,poci,class,NA,NA,NA,0.0,NA
23,0,vhu,poci,class,1,NA,100.0,45.7,NA
24,1,ana,poci,class,1,NA,100.0,1.1,NA
24,0,man,poci,class,NA,NA,NA,0.0,NA
24,0,vhu,poci,class,1,NA,100.0,21.5,NA
25,1,ana,poci,class,1,NA,100.0,1.0,NA
25,0,man,poci,class,1,NA,100.1,0.0,NA
25,0,vhu,poci,class,1,NA,100.0,35.3,NA
26,1,ana,poci,class,NA,NA,NA,0.0,NA
26,0,man,poci,class,NA,NA,NA,0.0,NA
26,0,vhu,poci,class,1,NA,99.9,39.5,NA
27,1,ana,poci,class,NA,NA,NA,0.0,NA
27,0,man,poci,class,NA,NA,NA,0.0,NA
27,0,vhu,poci,class,1,NA,100.0,27.1,NA
28,1,ana,poci,class,NA,NA,NA,0.0,NA
28,0,man,poci,class,NA,NA,NA,0.0,NA
28,0,vhu,poci,class,1,NA,100.0,25.9,NA
29,1,ana,poci,class,NA,NA,NA,0.0,NA
29,0,man,poci,class,NA,NA,NA,0.0,NA
29,0,vhu,poci,class,1,NA,99.9,31.0,NA
30,1,ana,poci,class,NA,NA,NA,0.0,NA
30,0,man,poci,class,NA,NA,NA,0.0,NA
30,0,vhu,poci,class,1,NA,100.0,21.9,NA
31,1,ana,poci,class,NA,NA,NA,0.0,NA
31,0,man,poci,class,NA,NA,NA,0.0,NA
31,0,vhu,poci,class,1,NA,100.0,41.6,NA
32,1,ana,poci,class,NA,NA,NA,0.0,NA
32,0,man,poci,class,NA,NA,NA,0.0,NA
32,0,vhu,poci,class,1,NA,99.9,30.6,NA
33,1,ana,poci,class,NA,NA,NA,0.0,NA
33,0,man,poci,class,NA,NA,NA,0.0,NA
33,0,vhu,poci,class,1,NA,100.0,40.8,NA
34,1,ana,poci,class,NA,NA,NA,0.0,NA
34,0,man,poci,class,NA,NA,NA,0.0,NA
34,0,vhu,poci,class,1,NA,100.0,40.5,NA
35,1,ana,poci,class,NA,NA,NA,0.0,NA
35,0,man,poci,class,1,NA,99.9,2.2,NA
35,0,vhu,poci,class,1,NA,100.0,34.4,NA
36,1,ana,poci,class,NA,NA,NA,0.0,NA
36,0,man,poci,class,1,NA,99.9,4.0,NA
36,0,vhu,poci,class,1,NA,99.9,25.4,NA
37,1,ana,poci,class,NA,NA,NA,0.0,NA
37,0,man,poci,class,NA,NA,NA,0.0,NA
37,0,vhu,poci,class,1,NA,100.0,22.7,NA
38,1,ana,poci,class,NA,NA,NA,0.0,NA
38,0,man,poci,class,NA,NA,NA,0.0,NA
38,0,vhu,poci,class,1,NA,100.0,18.7,NA
39,1,ana,poci,class,NA,NA,NA,0.0,NA
39,0,man,poci,class,NA,NA,NA,0.0,NA
39,0,vhu,poci,class,1,NA,99.9,11.4,NA
40,1,ana,poci,class,1,NA,100.0,0.5,NA
40,0,man,poci,class,NA,NA,NA,0.0,NA
40,0,vhu,poci,class,1,NA,100.0,23.3,NA
41,1,ana,poci,class,NA,NA,NA,0.0,NA
41,0,man,poci,class,NA,NA,NA,0.0,NA
41,0,vhu,poci,class,1,NA,100.0,33.1,NA
42,1,ana,poci,class,1,NA,100.0,1.9,NA
42,0,man,poci,class,NA,NA,NA,0.0,NA
42,0,vhu,poci,class,1,NA,99.9,23.9,NA
43,1,ana,poci,class,NA,NA,NA,0.0,NA
43,0,man,poci,class,NA,NA,NA,0.0,NA
43,0,vhu,poci,class,1,NA,100.0,32.5,NA
44,1,ana,poci,class,NA,NA,NA,0.0,NA
44,0,man,poci,class,NA,NA,NA,0.0,NA
44,0,vhu,poci,class,1,NA,100.0,32.1,NA
