"","location","reef","depth","transect","photo","group","successes","failures"
"1","west","man","sh","one","t1_1","abiotic",0,100
"2","west","man","sh","one","t1_1","biotic",0,100
"3","west","man","sh","one","t1_1","macro",6,94
"4","west","man","sh","one","t1_1","non-reef",5,95
"5","west","man","sh","one","t1_1","plob",87,13
"6","west","man","sh","one","t1_1","poci",0,100
"7","west","man","sh","one","t1_1","turf",2,98
"8","west","man","sh","one","t1_10","abiotic",0,100
"9","west","man","sh","one","t1_10","biotic",0,100
"10","west","man","sh","one","t1_10","macro",3,97
"11","west","man","sh","one","t1_10","non-reef",4,96
"12","west","man","sh","one","t1_10","plob",91,9
"13","west","man","sh","one","t1_10","poci",0,100
"14","west","man","sh","one","t1_10","turf",2,98
"15","west","man","sh","one","t1_11","abiotic",0,100
"16","west","man","sh","one","t1_11","biotic",0,100
"17","west","man","sh","one","t1_11","macro",4,96
"18","west","man","sh","one","t1_11","non-reef",3,97
"19","west","man","sh","one","t1_11","plob",90,10
"20","west","man","sh","one","t1_11","poci",0,100
"21","west","man","sh","one","t1_11","turf",3,97
"22","west","man","sh","one","t1_12","abiotic",0,100
"23","west","man","sh","one","t1_12","biotic",0,100
"24","west","man","sh","one","t1_12","macro",3,97
"25","west","man","sh","one","t1_12","non-reef",7,93
"26","west","man","sh","one","t1_12","plob",76,24
"27","west","man","sh","one","t1_12","poci",4,96
"28","west","man","sh","one","t1_12","turf",10,90
"29","west","man","sh","one","t1_13","abiotic",1,99
"30","west","man","sh","one","t1_13","biotic",0,100
"31","west","man","sh","one","t1_13","macro",4,96
"32","west","man","sh","one","t1_13","non-reef",5,95
"33","west","man","sh","one","t1_13","plob",83,17
"34","west","man","sh","one","t1_13","poci",4,96
"35","west","man","sh","one","t1_13","turf",3,97
"36","west","man","sh","one","t1_14","abiotic",0,100
"37","west","man","sh","one","t1_14","biotic",0,100
"38","west","man","sh","one","t1_14","macro",0,100
"39","west","man","sh","one","t1_14","non-reef",6,94
"40","west","man","sh","one","t1_14","plob",89,11
"41","west","man","sh","one","t1_14","poci",1,99
"42","west","man","sh","one","t1_14","turf",4,96
"43","west","man","sh","one","t1_15","abiotic",0,100
"44","west","man","sh","one","t1_15","biotic",0,100
"45","west","man","sh","one","t1_15","macro",8,92
"46","west","man","sh","one","t1_15","non-reef",6,94
"47","west","man","sh","one","t1_15","plob",81,19
"48","west","man","sh","one","t1_15","poci",3,97
"49","west","man","sh","one","t1_15","turf",2,98
"50","west","man","sh","one","t1_2","abiotic",0,100
"51","west","man","sh","one","t1_2","biotic",0,100
"52","west","man","sh","one","t1_2","macro",10,90
"53","west","man","sh","one","t1_2","non-reef",10,90
"54","west","man","sh","one","t1_2","plob",80,20
"55","west","man","sh","one","t1_2","poci",0,100
"56","west","man","sh","one","t1_2","turf",0,100
"57","west","man","sh","one","t1_3","abiotic",0,100
"58","west","man","sh","one","t1_3","biotic",0,100
"59","west","man","sh","one","t1_3","macro",10,90
"60","west","man","sh","one","t1_3","non-reef",6,94
"61","west","man","sh","one","t1_3","plob",72,28
"62","west","man","sh","one","t1_3","poci",0,100
"63","west","man","sh","one","t1_3","turf",12,88
"64","west","man","sh","one","t1_4","abiotic",0,100
"65","west","man","sh","one","t1_4","biotic",0,100
"66","west","man","sh","one","t1_4","macro",1,99
"67","west","man","sh","one","t1_4","non-reef",5,95
"68","west","man","sh","one","t1_4","plob",88,12
"69","west","man","sh","one","t1_4","poci",2,98
"70","west","man","sh","one","t1_4","turf",4,96
"71","west","man","sh","one","t1_5","abiotic",0,100
"72","west","man","sh","one","t1_5","biotic",0,100
"73","west","man","sh","one","t1_5","macro",5,95
"74","west","man","sh","one","t1_5","non-reef",5,95
"75","west","man","sh","one","t1_5","plob",85,15
"76","west","man","sh","one","t1_5","poci",0,100
"77","west","man","sh","one","t1_5","turf",5,95
"78","west","man","sh","one","t1_6","abiotic",0,100
