location,reef,depth,transect,photo,group,successes,failures
se,vhu,dp,one,t1_1,abiotic,2,98
se,vhu,dp,one,t1_1,biotic,0,100
se,vhu,dp,one,t1_1,macro,3,97
se,vhu,dp,one,t1_1,non-reef,4,96
se,vhu,dp,one,t1_1,plob,91,9
se,vhu,dp,one,t1_1,poci,0,100
se,vhu,dp,one,t1_1,turf,0,100
se,vhu,dp,one,t1_10,abiotic,7,93
se,vhu,dp,one,t1_10,biotic,8,92
se,vhu,dp,one,t1_10,macro,10,90
se,vhu,dp,one,t1_10,non-reef,2,98
se,vhu,dp,one,t1_10,plob,27,73
se,vhu,dp,one,t1_10,poci,33,67
se,vhu,dp,one,t1_10,turf,13,87
se,vhu,dp,one,t1_11,abiotic,18,82
se,vhu,dp,one,t1_11,biotic,11,89
se,vhu,dp,one,t1_11,macro,7,93
se,vhu,dp,one,t1_11,non-reef,3,97
se,vhu,dp,one,t1_11,plob,11,89
se,vhu,dp,one,t1_11,poci,41,59
se,vhu,dp,one,t1_11,turf,9,91
se,vhu,dp,one,t1_12,abiotic,5,95
se,vhu,dp,one,t1_12,biotic,0,100
se,vhu,dp,one,t1_12,macro,23,77
se,vhu,dp,one,t1_12,non-reef,4,96
se,vhu,dp,one,t1_12,plob,33,67
se,vhu,dp,one,t1_12,poci,21,79
se,vhu,dp,one,t1_12,turf,14,86
se,vhu,dp,one,t1_13,abiotic,23,77
se,vhu,dp,one,t1_13,biotic,0,100
se,vhu,dp,one,t1_13,macro,57,43
se,vhu,dp,one,t1_13,non-reef,3,97
se,vhu,dp,one,t1_13,plob,5,95
se,vhu,dp,one,t1_13,poci,10,90
se,vhu,dp,one,t1_13,turf,2,98
se,vhu,dp,one,t1_14,abiotic,38,62
se,vhu,dp,one,t1_14,biotic,3,97
se,vhu,dp,one,t1_14,macro,0,100
se,vhu,dp,one,t1_14,non-reef,3,97
se,vhu,dp,one,t1_14,plob,19,81
se,vhu,dp,one,t1_14,poci,22,78
se,vhu,dp,one,t1_14,turf,15,85
se,vhu,dp,one,t1_15,abiotic,36,64
se,vhu,dp,one,t1_15,biotic,0,100
se,vhu,dp,one,t1_15,macro,1,99
se,vhu,dp,one,t1_15,non-reef,7,93
se,vhu,dp,one,t1_15,plob,28,72
se,vhu,dp,one,t1_15,poci,18,82
se,vhu,dp,one,t1_15,turf,10,90
se,vhu,dp,one,t1_2,abiotic,1,99
se,vhu,dp,one,t1_2,biotic,0,100
se,vhu,dp,one,t1_2,macro,0,100
se,vhu,dp,one,t1_2,non-reef,9,91
se,vhu,dp,one,t1_2,plob,89,11
se,vhu,dp,one,t1_2,poci,0,100
se,vhu,dp,one,t1_2,turf,1,99
se,vhu,dp,one,t1_3,abiotic,1,99
se,vhu,dp,one,t1_3,biotic,1,99
se,vhu,dp,one,t1_3,macro,4,96
