location,reef,depth,transect,photo,group,successes,failures
se,vhu,md,one,t1_1,abiotic,6,94
se,vhu,md,one,t1_1,biotic,5,95
se,vhu,md,one,t1_1,macro,10,90
se,vhu,md,one,t1_1,non-reef,6,94
se,vhu,md,one,t1_1,plob,32,68
se,vhu,md,one,t1_1,poci,33,67
se,vhu,md,one,t1_1,turf,8,92
se,vhu,md,one,t1_10,abiotic,1,99
se,vhu,md,one,t1_10,biotic,1,99
se,vhu,md,one,t1_10,macro,5,95
se,vhu,md,one,t1_10,non-reef,17,83
se,vhu,md,one,t1_10,plob,14,86
se,vhu,md,one,t1_10,poci,21,79
se,vhu,md,one,t1_10,turf,41,59
se,vhu,md,one,t1_11,abiotic,0,100
se,vhu,md,one,t1_11,biotic,6,94
se,vhu,md,one,t1_11,macro,8,92
se,vhu,md,one,t1_11,non-reef,23,77
se,vhu,md,one,t1_11,plob,8,92
se,vhu,md,one,t1_11,poci,29,71
se,vhu,md,one,t1_11,turf,26,74
se,vhu,md,one,t1_12,abiotic,1,99
se,vhu,md,one,t1_12,biotic,7,93
se,vhu,md,one,t1_12,macro,6,94
se,vhu,md,one,t1_12,non-reef,12,88
se,vhu,md,one,t1_12,plob,2,98
se,vhu,md,one,t1_12,poci,42,58
se,vhu,md,one,t1_12,turf,30,70
se,vhu,md,one,t1_13,abiotic,0,100
se,vhu,md,one,t1_13,biotic,6,94
se,vhu,md,one,t1_13,macro,11,89
se,vhu,md,one,t1_13,non-reef,13,87
se,vhu,md,one,t1_13,plob,24,76
se,vhu,md,one,t1_13,poci,35,65
se,vhu,md,one,t1_13,turf,11,89
se,vhu,md,one,t1_14,abiotic,0,100
se,vhu,md,one,t1_14,biotic,3,97
se,vhu,md,one,t1_14,macro,14,86
se,vhu,md,one,t1_14,non-reef,3,97
se,vhu,md,one,t1_14,plob,19,81
se,vhu,md,one,t1_14,poci,26,74
se,vhu,md,one,t1_14,turf,35,65
se,vhu,md,one,t1_15,abiotic,0,100
se,vhu,md,one,t1_15,biotic,8,92
se,vhu,md,one,t1_15,macro,2,98
se,vhu,md,one,t1_15,non-reef,4,96
se,vhu,md,one,t1_15,plob,22,78
se,vhu,md,one,t1_15,poci,32,68
se,vhu,md,one,t1_15,turf,32,68
se,vhu,md,one,t1_2,abiotic,2,98
se,vhu,md,one,t1_2,biotic,4,96
se,vhu,md,one,t1_2,macro,14,86
se,vhu,md,one,t1_2,non-reef,22,78
se,vhu,md,one,t1_2,plob,31,69
se,vhu,md,one,t1_2,poci,22,78
se,vhu,md,one,t1_2,turf,5,95
se,vhu,md,one,t1_3,abiotic,0,100
se,vhu,md,one,t1_3,biotic,3,97
se,vhu,md,one,t1_3,macro,4,96
se,vhu,md,one,t1_3,non-reef,8,92
se,vhu,md,one,t1_3,plob,20,80
se,vhu,md,one,t1_3,poci,38,62
se,vhu,md,one,t1_3,turf,27,73
se,vhu,md,one,t1_4,abiotic,0,100
se,vhu,md,one,t1_4,biotic,2,98
se,vhu,md,one,t1_4,macro,5,95
se,vhu,md,one,t1_4,non-reef,5,95
se,vhu,md,one,t1_4,plob,16,84
se,vhu,md,one,t1_4,poci,40,60
se,vhu,md,one,t1_4,turf,32,68
se,vhu,md,one,t1_5,abiotic,0,100
se,vhu,md,one,t1_5,biotic,5,95
se,vhu,md,one,t1_5,macro,6,94
se,vhu,md,one,t1_5,non-reef,9,91
se,vhu,md,one,t1_5,plob,9,91
se,vhu,md,one,t1_5,poci,52,48
se,vhu,md,one,t1_5,turf,19,81
se,vhu,md,one,t1_6,abiotic,0,100
se,vhu,md,one,t1_6,biotic,5,95
se,vhu,md,one,t1_6,macro,1,99
se,vhu,md,one,t1_6,non-reef,8,92
se,vhu,md,one,t1_6,plob,11,89
se,vhu,md,one,t1_6,poci,52,48
se,vhu,md,one,t1_6,turf,23,77
se,vhu,md,one,t1_7,abiotic,0,100
se,vhu,md,one,t1_7,biotic,1,99
se,vhu,md,one,t1_7,macro,3,97
se,vhu,md,one,t1_7,non-reef,7,93
se,vhu,md,one,t1_7,plob,14,86
se,vhu,md,one,t1_7,poci,47,53
se,vhu,md,one,t1_7,turf,28,72
se,vhu,md,one,t1_8,abiotic,0,100
se,vhu,md,one,t1_8,biotic,2,98
se,vhu,md,one,t1_8,macro,3,97
se,vhu,md,one,t1_8,non-reef,19,81
se,vhu,md,one,t1_8,plob,6,94
se,vhu,md,one,t1_8,poci,54,46
se,vhu,md,one,t1_8,turf,16,84
se,vhu,md,one,t1_9,abiotic,4,96
se,vhu,md,one,t1_9,biotic,2,98
se,vhu,md,one,t1_9,macro,3,97
se,vhu,md,one,t1_9,non-reef,8,92
se,vhu,md,one,t1_9,plob,14,86
se,vhu,md,one,t1_9,poci,51,49
se,vhu,md,one,t1_9,turf,18,82
se,vhu,md,two,t2_1,abiotic,0,100
se,vhu,md,two,t2_1,biotic,3,97
se,vhu,md,two,t2_1,macro,0,100
se,vhu,md,two,t2_1,non-reef,23,77
se,vhu,md,two,t2_1,plob,0,100
se,vhu,md,two,t2_1,poci,33,67
se,vhu,md,two,t2_1,turf,41,59
se,vhu,md,two,t2_10,abiotic,2,98
se,vhu,md,two,t2_10,biotic,3,97
se,vhu,md,two,t2_10,macro,4,96
se,vhu,md,two,t2_10,non-reef,8,92
se,vhu,md,two,t2_10,plob,17,83
se,vhu,md,two,t2_10,poci,21,79
se,vhu,md,two,t2_10,turf,45,55
se,vhu,md,two,t2_11,abiotic,1,99
se,vhu,md,two,t2_11,biotic,6,94
se,vhu,md,two,t2_11,macro,1,99
se,vhu,md,two,t2_11,non-reef,15,85
se,vhu,md,two,t2_11,plob,16,84
se,vhu,md,two,t2_11,poci,42,58
se,vhu,md,two,t2_11,turf,19,81
se,vhu,md,two,t2_12,abiotic,1,99
se,vhu,md,two,t2_12,biotic,4,96
se,vhu,md,two,t2_12,macro,6,94
se,vhu,md,two,t2_12,non-reef,7,93
se,vhu,md,two,t2_12,plob,5,95
se,vhu,md,two,t2_12,poci,45,55
se,vhu,md,two,t2_12,turf,32,68
se,vhu,md,two,t2_13,abiotic,0,100
se,vhu,md,two,t2_13,biotic,2,98
se,vhu,md,two,t2_13,macro,2,98
se,vhu,md,two,t2_13,non-reef,6,94
se,vhu,md,two,t2_13,plob,5,95
se,vhu,md,two,t2_13,poci,37,63
se,vhu,md,two,t2_13,turf,48,52
se,vhu,md,two,t2_14,abiotic,0,100
se,vhu,md,two,t2_14,biotic,8,92
se,vhu,md,two,t2_14,macro,4,96
se,vhu,md,two,t2_14,non-reef,11,91
se,vhu,md,two,t2_14,plob,14,86
se,vhu,md,two,t2_14,poci,33,67
se,vhu,md,two,t2_14,turf,30,70
se,vhu,md,two,t2_15,abiotic,1,99
se,vhu,md,two,t2_15,biotic,9,91
se,vhu,md,two,t2_15,macro,4,96
se,vhu,md,two,t2_15,non-reef,9,91
se,vhu,md,two,t2_15,plob,13,87
se,vhu,md,two,t2_15,poci,35,65
se,vhu,md,two,t2_15,turf,29,71
se,vhu,md,two,t2_2,abiotic,0,100
se,vhu,md,two,t2_2,biotic,4,96
se,vhu,md,two,t2_2,macro,3,97
se,vhu,md,two,t2_2,non-reef,11,89
se,vhu,md,two,t2_2,plob,3,97
se,vhu,md,two,t2_2,poci,30,70
se,vhu,md,two,t2_2,turf,49,51
se,vhu,md,two,t2_3,abiotic,0,100
se,vhu,md,two,t2_3,biotic,3,97
se,vhu,md,two,t2_3,macro,14,86
se,vhu,md,two,t2_3,non-reef,23,77
se,vhu,md,two,t2_3,plob,8,92
se,vhu,md,two,t2_3,poci,22,78
se,vhu,md,two,t2_3,turf,30,70
se,vhu,md,two,t2_4,abiotic,0,100
se,vhu,md,two,t2_4,biotic,3,97
se,vhu,md,two,t2_4,macro,0,100
se,vhu,md,two,t2_4,non-reef,46,55
se,vhu,md,two,t2_4,plob,3,97
se,vhu,md,two,t2_4,poci,33,67
se,vhu,md,two,t2_4,turf,15,85
se,vhu,md,two,t2_5,abiotic,0,100
se,vhu,md,two,t2_5,biotic,9,91
se,vhu,md,two,t2_5,macro,0,100
se,vhu,md,two,t2_5,non-reef,38,62
se,vhu,md,two,t2_5,plob,4,96
se,vhu,md,two,t2_5,poci,22,78
se,vhu,md,two,t2_5,turf,27,73
se,vhu,md,two,t2_6,abiotic,0,100
se,vhu,md,two,t2_6,biotic,7,93
se,vhu,md,two,t2_6,macro,1,99
se,vhu,md,two,t2_6,non-reef,49,51
se,vhu,md,two,t2_6,plob,3,97
se,vhu,md,two,t2_6,poci,28,72
se,vhu,md,two,t2_6,turf,12,88
se,vhu,md,two,t2_7,abiotic,0,100
se,vhu,md,two,t2_7,biotic,5,95
se,vhu,md,two,t2_7,macro,2,98
se,vhu,md,two,t2_7,non-reef,20,80
se,vhu,md,two,t2_7,plob,0,100
se,vhu,md,two,t2_7,poci,42,58
se,vhu,md,two,t2_7,turf,31,69
se,vhu,md,two,t2_8,abiotic,3,97
se,vhu,md,two,t2_8,biotic,5,95
se,vhu,md,two,t2_8,macro,2,98
se,vhu,md,two,t2_8,non-reef,23,77
se,vhu,md,two,t2_8,plob,11,89
se,vhu,md,two,t2_8,poci,40,60
se,vhu,md,two,t2_8,turf,16,84
se,vhu,md,two,t2_9,abiotic,23,77
se,vhu,md,two,t2_9,biotic,3,97
se,vhu,md,two,t2_9,macro,5,95
se,vhu,md,two,t2_9,non-reef,18,82
se,vhu,md,two,t2_9,plob,14,86
se,vhu,md,two,t2_9,poci,20,80
se,vhu,md,two,t2_9,turf,17,83
se,vhu,md,three,t3_1,abiotic,0,100
se,vhu,md,three,t3_1,biotic,1,99
se,vhu,md,three,t3_1,macro,21,79
se,vhu,md,three,t3_1,non-reef,26,74
