location,reef,depth,transect,photo,group,successes,failures
se,mnu,sh,one,t1_1,abiotic,1,99
se,mnu,sh,one,t1_1,biotic,6,94
se,mnu,sh,one,t1_1,macro,0,100
se,mnu,sh,one,t1_1,non-reef,38,62
se,mnu,sh,one,t1_1,plob,4,96
se,mnu,sh,one,t1_1,poci,35,65
se,mnu,sh,one,t1_1,turf,16,84
se,mnu,sh,one,t1_10,abiotic,2,98
se,mnu,sh,one,t1_10,biotic,2,98
se,mnu,sh,one,t1_10,macro,3,97
se,mnu,sh,one,t1_10,non-reef,32,68
se,mnu,sh,one,t1_10,plob,2,98
se,mnu,sh,one,t1_10,poci,26,74
se,mnu,sh,one,t1_10,turf,33,67
se,mnu,sh,one,t1_11,abiotic,2,98
se,mnu,sh,one,t1_11,biotic,0,100
se,mnu,sh,one,t1_11,macro,6,94
se,mnu,sh,one,t1_11,non-reef,42,58
se,mnu,sh,one,t1_11,plob,0,100
se,mnu,sh,one,t1_11,poci,32,68
se,mnu,sh,one,t1_11,turf,18,82
se,mnu,sh,one,t1_12,abiotic,0,100
se,mnu,sh,one,t1_12,biotic,4,96
se,mnu,sh,one,t1_12,macro,7,93
se,mnu,sh,one,t1_12,non-reef,32,68
se,mnu,sh,one,t1_12,plob,0,100
se,mnu,sh,one,t1_12,poci,30,70
se,mnu,sh,one,t1_12,turf,27,73
se,mnu,sh,one,t1_13,abiotic,1,99
se,mnu,sh,one,t1_13,biotic,2,98
se,mnu,sh,one,t1_13,macro,9,91
se,mnu,sh,one,t1_13,non-reef,31,69
se,mnu,sh,one,t1_13,plob,4,96
se,mnu,sh,one,t1_13,poci,39,61
se,mnu,sh,one,t1_13,turf,14,86
se,mnu,sh,one,t1_14,abiotic,21,79
se,mnu,sh,one,t1_14,biotic,0,100
se,mnu,sh,one,t1_14,macro,7,93
se,mnu,sh,one,t1_14,non-reef,6,94
se,mnu,sh,one,t1_14,plob,11,89
se,mnu,sh,one,t1_14,poci,8,92
se,mnu,sh,one,t1_14,turf,47,53
se,mnu,sh,one,t1_15,abiotic,5,95
se,mnu,sh,one,t1_15,biotic,2,98
se,mnu,sh,one,t1_15,macro,39,61
se,mnu,sh,one,t1_15,non-reef,20,80
se,mnu,sh,one,t1_15,plob,11,89
se,mnu,sh,one,t1_15,poci,14,86
se,mnu,sh,one,t1_15,turf,9,91
se,mnu,sh,one,t1_2,abiotic,0,100
se,mnu,sh,one,t1_2,biotic,8,92
se,mnu,sh,one,t1_2,macro,3,97
se,mnu,sh,one,t1_2,non-reef,48,52
se,mnu,sh,one,t1_2,plob,3,97
se,mnu,sh,one,t1_2,poci,22,78
se,mnu,sh,one,t1_2,turf,16,84
se,mnu,sh,one,t1_3,abiotic,17,83
se,mnu,sh,one,t1_3,biotic,7,93
se,mnu,sh,one,t1_3,macro,3,97
se,mnu,sh,one,t1_3,non-reef,38,62
se,mnu,sh,one,t1_3,plob,3,97
se,mnu,sh,one,t1_3,poci,29,71
se,mnu,sh,one,t1_3,turf,3,97
se,mnu,sh,one,t1_4,abiotic,5,95
se,mnu,sh,one,t1_4,biotic,4,96
se,mnu,sh,one,t1_4,macro,6,94
se,mnu,sh,one,t1_4,non-reef,52,48
se,mnu,sh,one,t1_4,plob,3,97
se,mnu,sh,one,t1_4,poci,24,76
se,mnu,sh,one,t1_4,turf,6,94
se,mnu,sh,one,t1_5,abiotic,0,100
se,mnu,sh,one,t1_5,biotic,3,97
se,mnu,sh,one,t1_5,macro,6,94
se,mnu,sh,one,t1_5,non-reef,38,62
se,mnu,sh,one,t1_5,plob,2,98
se,mnu,sh,one,t1_5,poci,41,59
se,mnu,sh,one,t1_5,turf,10,90
se,mnu,sh,one,t1_6,abiotic,4,96
se,mnu,sh,one,t1_6,biotic,1,99
se,mnu,sh,one,t1_6,macro,7,93
se,mnu,sh,one,t1_6,non-reef,45,55
se,mnu,sh,one,t1_6,plob,2,98
se,mnu,sh,one,t1_6,poci,22,78
se,mnu,sh,one,t1_6,turf,19,81
se,mnu,sh,one,t1_7,abiotic,7,93
se,mnu,sh,one,t1_7,biotic,5,95
se,mnu,sh,one,t1_7,macro,11,89
se,mnu,sh,one,t1_7,non-reef,46,54
se,mnu,sh,one,t1_7,plob,0,100
se,mnu,sh,one,t1_7,poci,19,81
se,mnu,sh,one,t1_7,turf,12,88
se,mnu,sh,one,t1_8,abiotic,10,90
se,mnu,sh,one,t1_8,biotic,4,96
se,mnu,sh,one,t1_8,macro,10,90
se,mnu,sh,one,t1_8,non-reef,40,60
se,mnu,sh,one,t1_8,plob,2,98
se,mnu,sh,one,t1_8,poci,23,77
se,mnu,sh,one,t1_8,turf,11,89
se,mnu,sh,one,t1_9,abiotic,8,92
se,mnu,sh,one,t1_9,biotic,0,100
se,mnu,sh,one,t1_9,macro,5,95
se,mnu,sh,one,t1_9,non-reef,24,76
se,mnu,sh,one,t1_9,plob,3,97
se,mnu,sh,one,t1_9,poci,25,75
se,mnu,sh,one,t1_9,turf,35,65
se,mnu,sh,two,t2_1,abiotic,1,99
se,mnu,sh,two,t2_1,biotic,6,94
se,mnu,sh,two,t2_1,macro,0,100
se,mnu,sh,two,t2_1,non-reef,53,47
se,mnu,sh,two,t2_1,plob,1,99
se,mnu,sh,two,t2_1,poci,25,75
se,mnu,sh,two,t2_1,turf,14,86
se,mnu,sh,two,t2_10,abiotic,0,100
se,mnu,sh,two,t2_10,biotic,7,93
se,mnu,sh,two,t2_10,macro,4,96
se,mnu,sh,two,t2_10,non-reef,37,63
se,mnu,sh,two,t2_10,plob,5,95
se,mnu,sh,two,t2_10,poci,32,68
se,mnu,sh,two,t2_10,turf,15,85
se,mnu,sh,two,t2_11,abiotic,6,94
se,mnu,sh,two,t2_11,biotic,3,97
se,mnu,sh,two,t2_11,macro,2,98
se,mnu,sh,two,t2_11,non-reef,53,47
se,mnu,sh,two,t2_11,plob,6,94
se,mnu,sh,two,t2_11,poci,19,81
se,mnu,sh,two,t2_11,turf,11,89
se,mnu,sh,two,t2_12,abiotic,4,96
se,mnu,sh,two,t2_12,biotic,14,86
se,mnu,sh,two,t2_12,macro,3,97
se,mnu,sh,two,t2_12,non-reef,37,63
se,mnu,sh,two,t2_12,plob,3,97
se,mnu,sh,two,t2_12,poci,8,92
se,mnu,sh,two,t2_12,turf,31,69
se,mnu,sh,two,t2_13,abiotic,0,100
se,mnu,sh,two,t2_13,biotic,7,93
se,mnu,sh,two,t2_13,macro,4,96
se,mnu,sh,two,t2_13,non-reef,25,75
se,mnu,sh,two,t2_13,plob,3,97
se,mnu,sh,two,t2_13,poci,20,80
se,mnu,sh,two,t2_13,turf,41,59
se,mnu,sh,two,t2_14,abiotic,3,97
se,mnu,sh,two,t2_14,biotic,4,96
se,mnu,sh,two,t2_14,macro,5,95
se,mnu,sh,two,t2_14,non-reef,17,83
se,mnu,sh,two,t2_14,plob,4,96
se,mnu,sh,two,t2_14,poci,15,85
se,mnu,sh,two,t2_14,turf,52,48
