location,depth,transect,group,,total_count,total_points,,,,location,depth,transect,group,,total_count,total_points,
north,dp,one,BARE,,0,126,,BARE,,north,dp,one,BARE,,0,126,"DC, ROCK"
north,dp,one,CCA,,0,126,,CCA,,north,dp,one,CCA,,0,126,
north,dp,one,DC,,0,126,,DC,,,,,,,,,
north,dp,one,FIL,,0,126,,FIL,,,,,,,,,
north,dp,one,MA,,5,126,,MA,,north,dp,one,MA,,5,126,
north,dp,one,PLOB,,104,126,,PLOB,,north,dp,one,PLOB,,104,126,
north,dp,one,POCI,,7,126,,POCI,,north,dp,one,POCI,,7,126,
north,dp,one,ROCK,,0,126,,ROCK,,,,,,,,,
north,dp,one,SAND,,10,126,,SAND,,north,dp,one,SAND,,10,126,
north,dp,one,SPONGE,,0,126,,SPONGE,,north,dp,one,SPONGE,,0,126,
north,dp,one,TURF,,0,126,,TURF,,north,dp,one,TURF,,0,126,FIL
,,,,,,,,,,,,,,,,,
north,dp,two,BARE,,0,126,,BARE,,north,dp,two,BARE,,0,126,"DC, ROCK"
north,dp,two,CCA,,0,126,,CCA,,north,dp,two,CCA,,0,126,
north,dp,two,DC,,0,126,,DC,,,,,,,,,
north,dp,two,FIL,,0,126,,FIL,,,,,,,,,
north,dp,two,MA,,7,126,,MA,,north,dp,two,MA,,7,126,
north,dp,two,PLOB,,113,126,,PLOB,,north,dp,two,PLOB,,113,126,
north,dp,two,POCI,,2,126,,POCI,,north,dp,two,POCI,,2,126,
north,dp,two,ROCK,,0,126,,ROCK,,,,,,,,,
north,dp,two,SAND,,1,126,,SAND,,north,dp,two,SAND,,1,126,
north,dp,two,SPONGE,,0,126,,SPONGE,,north,dp,two,SPONGE,,0,126,
north,dp,two,TURF,,3,126,,TURF,,north,dp,two,TURF,,3,126,FIL
,,,,,,,,,,,,,,,,,
north,sh,one,BARE,,0,126,,BARE,,north,sh,one,BARE,,8,126,"DC, ROCK"
north,sh,one,CCA,,0,126,,CCA,,north,sh,one,CCA,,0,126,
north,sh,one,DC,,8,126,,DC,,,,,,,,,
north,sh,one,FIL,,0,126,,FIL,,,,,,,,,
north,sh,one,MA,,6,126,,MA,,north,sh,one,MA,,6,126,
north,sh,one,PLOB,,83,126,,PLOB,,north,sh,one,PLOB,,83,126,
north,sh,one,POCI,,0,126,,POCI,,north,sh,one,POCI,,0,126,
north,sh,one,ROCK,,0,126,,ROCK,,,,,,,,,
north,sh,one,SAND,,24,126,,SAND,,north,sh,one,SAND,,24,126,
north,sh,one,SPONGE,,0,126,,SPONGE,,north,sh,one,SPONGE,,0,126,
north,sh,one,TURF,,5,126,,TURF,,north,sh,one,TURF,,5,126,FIL
,,,,,,,,,,,,,,,,,
