location,depth,transect,photo,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11,pt12,pt13,pt14,pt15,pt16,pt17,pt18,pt19,pt20,pt21,pt22,pt23,pt24,pt25,pt26,pt27,pt28,pt29,pt30,pt31,pt32,pt33,pt34,pt35,pt36,pt37,pt38,pt39,pt40,pt41,pt42,pt43,pt44,pt45,pt46,pt47,pt48,pt49,pt50,pt51,pt52,pt53,pt54,pt55,pt56,pt57,pt58,pt59,pt60,pt61,pt62,pt63,pt64,pt65,pt66,pt67,pt68,pt69,pt70,pt71,pt72,pt73,pt74,pt75,pt76,pt77,pt78,pt79,pt80,pt81,pt82,pt83,pt84,pt85,pt86,pt87,pt88,pt89,pt90,pt91,pt92,pt93,pt94,pt95,pt96,pt97,pt98,pt99,pt100
se,dp,one,t1_1,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,WAND,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,SHAD,PLOB,PLOB,PLOB,HALI,SPR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,CALC,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SPR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
se,dp,one,t1_2,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,TAPE,SHAD,SHAD,PLOB,PLOB,PLOB,TAPE,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SPR,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
se,dp,one,t1_3,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,WAND,WAND,UNK,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SPR,SHAD,SHAD,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,PLOB,PLOB,PLOB,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,CALC,CALC,PLOB,PLOB,HALI,PLOB,PLOB,PLOB,PVER,PLOB,O,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,SHAD,EAM,PVER,TAPE,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PVER,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,UNK,UNK,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,EAM,PLOB
se,dp,one,t1_4,PLOB,PLOB,PVER,PVER,PVER,SPR,SPR,SPR,EAM,SPR,PLOB,PLOB,PLOB,PVER,PVER,EAM,PLOB,PVER,PVER,SPR,PLOB,PLOB,PLOB,PLOB,EAM,PVER,UNK,PVER,SPR,SPR,PLOB,PLOB,PLOB,PLOB,PVER,SPR,PLOB,CALC,CALC,PLOB,PVER,PLOB,PLOB,PLOB,PVER,PLOB,PLOB,O,O,O,SPR,SPR,O,PLOB,PVER,PVER,SPR,O,SPR,SPR,SPR,PVER,O,PVER,PVER,SPR,SPR,SPR,SPR,SPR,PVER,PVER,PVER,PVER,EAM,EAM,SPR,SPR,CALC,SPR,SHAD,PVER,EAM,SPR,SPR,SPR,PVER,PVER,PVER,SPR,PLOB,PLOB,PLOB,PLOB,PLOB,EAM,SPR,SPR,SPR,SPR
se,dp,one,t1_5,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,EAM,EAM,PVER,CALC,EAM,SPR,SPR,SPR,SPR,SPR,PVER,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,PVER,PVER,PVER,SPR,SPR,PVER,SPR,SPR,SPR,SPR,SPR,PVER,EAM,PVER,PVER,PVER,SPR,SPR,SPR,SPR,PVER,PVER,PVER,EAM,SPR,SPR,PVER,PVER,SPR,PVER,PLOB,PVER,SPR,PVER,PLOB,SPR,PLOB,PLOB,SPR,EAM,PVER,PVER,EAM,PVER,O,PVER,O,EAM,PLOB,EAM,EAM,EAM,EAM,EAM,EAM,EAM,PVER,SPR,SPR,PVER,EAM,SPR,EAM,EAM,EAM,CALC
se,dp,one,t1_6,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,EAM,PVER,SPR,SPR,SPR,SPR,SPR,EAM,PVER,SPR,PVER,PVER,O,EAM,SPR,SPR,SPR,SPR,SPR,SPR,O,EAM,SPR,SPR,EAM,SPR,SPR,PVER,SPR,SPR,SPR,SPR,SPR,SPR,SPR,EAM,EAM,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,PVER,SPR,SPR,SPR,SPR,SPR,EAM,EAM,EAM,SPR,SPR,SPR,SPR,EAM,EAM,EAM,CALC,EAM,EAM,PVER,SPR,EAM,SPR,EAM,EAM,SPR,SPR,SPR,EAM,PLOB,EAM,EAM,EAM,EAM,EAM,EAM,SPR,SPR,SPR
se,dp,one,t1_7,UNK,EAM,CALC,PVER,PVER,PVER,EAM,SPR,PLOB,PLOB,PLOB,PLOB,PVER,SPR,PVER,PLOB,SPR,SPR,WAND,PVER,PLOB,SPR,PVER,PVER,SPR,SPR,SPR,WAND,SPR,EAM,SPR,PLOB,CALC,PVER,PVER,PVER,SHAD,PVER,SPR,PVER,PLOB,PLOB,PLOB,SPR,PVER,SPR,CALC,CALC,EAM,SPR,PLOB,PLOB,PLOB,PLOB,EAM,PVER,PVER,EAM,PVER,EAM,PLOB,PLOB,PLOB,PVER,EAM,PVER,PVER,SPR,SPR,SPR,PLOB,PLOB,PLOB,EAM,PLOB,PVER,SPR,SPR,SPR,SPR,CALC,CALC,PLOB,PLOB,SPR,SPR,SPR,CALC,CALC,SPR,PVER,PVER,PVER,HALI,CALC,PVER,PVER,EAM,PVER,SPR
se,dp,one,t1_8,PVER,PVER,EAM,EAM,SPR,EAM,PLOB,PLOB,PLOB,PVER,SPR,EAM,CALC,PVER,PVER,SPR,EAM,EAM,PVER,PVER,EAM,PLOB,PVER,PVER,PVER,PVER,EAM,PLOB,EAM,WAND,EAM,EAM,EAM,PVER,EAM,EAM,EAM,SHAD,PLOB,PLOB,EAM,EAM,EAM,PVER,EAM,EAM,SPR,PLOB,PLOB,SPR,PVER,UNK,SPR,SPR,PVER,CALC,PVER,PLOB,PLOB,PLOB,PVER,PVER,PVER,PVER,PVER,EAM,PVER,EAM,EAM,EAM,SHAD,PVER,PVER,SPR,SPR,EAM,PVER,SPR,TAPE,TAPE,PVER,PVER,EAM,EAM,SPR,EAM,SPR,SPR,SPR,SPR,O,EAM,EAM,SHAD,PVER,PVER,SPR,SPR,SPR,SPR
se,dp,one,t1_9,SPR,PVER,SPR,SPR,SPR,SPR,SPR,SPR,CALC,SPR,EAM,EAM,PVER,PVER,PVER,EAM,PVER,EAM,SPR,PLOB,CALC,EAM,SPR,PVER,PVER,PVER,EAM,EAM,EAM,EAM,SPR,SPR,PVER,PVER,PVER,SPR,SPR,EAM,CALC,SPR,CYANO,SPR,SPR,CALC,CALC,SPR,SPR,PVER,SPR,CALC,PLOB,PLOB,EAM,EAM,SPR,CALC,PVER,PVER,PVER,PVER,PVER,PVER,PVER,EAM,SPR,PVER,EAM,CALC,CALC,PLOB,SHAD,PLOB,PLOB,PLOB,PLOB,CALC,CALC,EAM,CALC,PLOB,PLOB,PLOB,PLOB,CALC,PLOB,PLOB,PVER,PVER,CALC,CALC,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,TAPE,PVER
se,dp,one,t1_10,PVER,PVER,PVER,PVER,PVER,EAM,PVER,PVER,PVER,PVER,EAM,PVER,PVER,EAM,PLOB,PLOB,SPR,SPR,CALC,CALC,PVER,HALI,PLOB,PLOB,PLOB,EAM,SPR,SPR,PVER,SPR,PVER,PVER,PVER,PVER,HALI,PLOB,PVER,PVER,PVER,PVER,PVER,PVER,PVER,TURF,SPR,EAM,PVER,PVER,PVER,EAM,PVER,EAM,PVER,PVER,PVER,EAM,PVER,EAM,PVER,PLOB,O,O,EAM,O,O,PLOB,PLOB,PLOB,PLOB,PLOB,CALC,TURF,CALC,CALC,PLOB,SPR,PLOB,PLOB,PLOB,PLOB,PLOB,CALC,CALC,O,O,TAPE,PLOB,TAPE,PLOB,PLOB,EAM,CALC,O,O,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB
