location,depth,transect,photo,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11,pt12,pt13,pt14,pt15,pt16,pt17,pt18,pt19,pt20,pt21,pt22,pt23,pt24,pt25,pt26,pt27,pt28,pt29,pt30,pt31,pt32,pt33,pt34,pt35,pt36,pt37,pt38,pt39,pt40,pt41,pt42,pt43,pt44,pt45,pt46,pt47,pt48,pt49,pt50,pt51,pt52,pt53,pt54,pt55,pt56,pt57,pt58,pt59,pt60,pt61,pt62,pt63,pt64,pt65,pt66,pt67,pt68,pt69,pt70,pt71,pt72,pt73,pt74,pt75,pt76,pt77,pt78,pt79,pt80,pt81,pt82,pt83,pt84,pt85,pt86,pt87,pt88,pt89,pt90,pt91,pt92,pt93,pt94,pt95,pt96,pt97,pt98,pt99,pt100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_1,PVER,PVER,PVER,PVER,PVER,CALC,PLOB,PLOB,PVER,PVER,UNK,EAM,O,PVER,PVER,PLOB,UNK,PVER,PLOB,PVER,PVER,UNK,PVER,CALC,PLOB,PVER,SPR,PLOB,PLOB,PLOB,CALC,PLOB,PLOB,PVER,PVER,PVER,CALC,PLOB,PLOB,CALC,SPR,PVER,PVER,PVER,PVER,PVER,O,PLOB,PLOB,CALC,PVER,PVER,PVER,PVER,PLOB,PLOB,O,PLOB,CALC,CALC,PVER,TAPE,PVER,PVER,PVER,O,PLOB,PLOB,CALC,CALC,TAPE,TAPE,EAM,EAM,EAM,PLOB,PLOB,PLOB,PLOB,O,EAM,EAM,PVER,EAM,EAM,SPR,PLOB,PLOB,PLOB,PLOB,PVER,SPR,SPR,SPR,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_2,EAM,PVER,PVER,PVER,SPR,SPR,PLOB,PLOB,PLOB,PVER,PVER,PVER,PVER,PVER,CALC,CALC,CALC,PVER,PLOB,PVER,O,O,PLOB,CALC,CALC,CALC,PLOB,PVER,PVER,PLOB,PLOB,EAM,PLOB,PVER,CALC,CALC,PLOB,PVER,PVER,PLOB,EAM,EAM,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,PVER,EAM,O,O,PLOB,PLOB,PLOB,PLOB,PVER,PVER,PVER,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PLOB,PVER,CALC,BASA,PLOB,BASA,CALC,BASA,BASA,BASA,BASA,PVER,CALC,BASA,BASA,BASA,BASA,BASA,BASA,BASA,BASA,BASA,SHAD,BASA,CALC,CALC,CALC,BASA,CCA,BASA,BASA,CCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_3,PVER,PVER,PVER,PVER,SHAD,SHAD,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,EAM,EAM,PVER,PVER,PVER,PVER,SHAD,PVER,PVER,CALC,EAM,PLOB,PLOB,PVER,EAM,EAM,SHAD,PVER,PVER,CALC,PLOB,PLOB,PLOB,PLOB,EAM,PLOB,EAM,EAM,EAM,PLOB,PLOB,PLOB,EAM,PVER,PVER,PVER,PLOB,PVER,EAM,EAM,EAM,EAM,EAM,EAM,PVER,O,PVER,PVER,PVER,PVER,PVER,EAM,EAM,EAM,PLOB,EAM,PVER,PVER,PVER,PVER,EAM,EAM,EAM,BASA,O,EAM,PLOB,PVER,PVER,PVER,PLOB,CALC,PLOB,CCA,CCA,EAM,EAM,PLOB,PLOB,PLOB,PLOB,O,PLOB,EAM,WAND,CALC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_4,EAM,PLOB,EAM,SHAD,SHAD,EAM,EAM,EAM,EAM,CALC,PLOB,EAM,EAM,EAM,PLOB,EAM,EAM,PVER,PVER,PVER,EAM,EAM,EAM,EAM,PVER,PVER,PVER,PVER,PVER,PVER,EAM,EAM,EAM,EAM,PVER,PVER,PVER,EAM,PLOB,EAM,PLOB,PLOB,EAM,PVER,PLOB,PVER,PVER,EAM,PLOB,EAM,EAM,EAM,PVER,PVER,PVER,PVER,PVER,EAM,PLOB,CALC,EAM,PVER,PVER,PVER,PVER,EAM,PLOB,O,PLOB,BASA,CALC,CALC,PVER,PVER,O,PLOB,EAM,PLOB,PLOB,PVER,PVER,TAPE,PVER,CALC,PVER,PVER,EAM,EAM,PVER,PVER,PVER,PVER,UNK,PLOB,PVER,PVER,PLOB,PVER,PVER,PVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_5,PVER,PVER,PVER,EAM,O,PVER,PVER,PVER,PVER,PVER,EAM,EAM,PVER,EAM,UNK,UNK,PVER,PVER,PVER,PVER,EAM,EAM,EAM,EAM,CALC,EAM,EAM,PVER,PVER,PVER,PLOB,PLOB,PLOB,CALC,CALC,PLOB,PVER,PVER,PVER,PVER,PVER,O,EAM,EAM,PVER,PVER,PVER,PLOB,PLOB,O,PVER,EAM,EAM,PVER,PVER,PVER,PVER,PVER,PLOB,CALC,BASA,CCA,CCA,EAM,EAM,EAM,TAPE,O,PVER,CALC,PVER,PVER,PVER,PVER,BASA,BASA,O,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,CALC,PVER,PVER,PVER,EAM,PVER,PVER,EAM,BASA,PLOB,PLOB,PVER,PVER,PVER,PVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_6,PVER,EAM,PVER,PVER,PVER,PVER,PVER,EAM,EAM,EAM,PVER,PVER,EAM,PVER,PVER,PVER,PVER,PVER,O,O,PVER,PVER,PVER,BASA,PVER,PVER,PVER,PVER,O,PVER,PVER,PVER,PVER,BASA,UNK,CCA,CCA,EAM,PVER,PVER,BASA,EAM,EAM,EAM,EAM,EAM,PVER,PVER,PVER,PVER,PLOB,EAM,EAM,BASA,EAM,HALI,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PLOB,PLOB,PVER,TAPE,PVER,EAM,PVER,PVER,PLOB,PVER,PLOB,PVER,PVER,PVER,EAM,EAM,PLOB,PLOB,PVER,PVER,PLOB,EAM,PLOB,EAM,EAM,EAM,PVER,PVER,PVER,PVER,O,O,EAM,PLOB,PLOB,EAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_7,EAM,PLOB,PVER,PVER,PVER,PVER,PVER,EAM,EAM,EAM,EAM,UNK,PVER,PVER,SHAD,PVER,EAM,EAM,EAM,PVER,EAM,EAM,PLOB,EAM,SHAD,EAM,BASA,EAM,PVER,PVER,PVER,PVER,EAM,EAM,CALC,EAM,EAM,PVER,PVER,PVER,PVER,PVER,BASA,BASA,EAM,PVER,PVER,PVER,PVER,PVER,PVER,EAM,CALC,EAM,PVER,PVER,PVER,PVER,PLOB,PVER,EAM,TAPE,PLOB,PVER,PLOB,PLOB,PLOB,PLOB,PVER,PLOB,PVER,PLOB,PVER,PVER,PVER,PLOB,EAM,PVER,PLOB,EAM,PLOB,PLOB,PVER,PVER,PVER,PVER,PVER,PVER,EAM,O,EAM,CALC,EAM,PVER,PVER,PVER,PVER,EAM,EAM,PVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_8,PVER,PVER,PVER,PVER,BASA,BASA,SHAD,BASA,O,PVER,CALC,CALC,PVER,PVER,BASA,SHAD,PVER,PVER,PVER,PVER,EAM,EAM,EAM,BASA,BASA,BASA,PVER,PVER,PVER,PVER,PVER,PVER,BASA,BASA,CCA,CCA,BASA,O,WAND,PVER,PVER,PVER,EAM,EAM,EAM,EAM,EAM,EAM,PVER,PVER,PVER,PVER,EAM,PVER,PVER,EAM,EAM,PVER,PVER,EAM,PVER,PLOB,PVER,PVER,PLOB,EAM,PLOB,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PLOB,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,PVER,TURF,PLOB,CALC,PLOB,UNK,PVER,PVER,PVER,UNK,UNK,EAM,PVER,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_9,EAM,EAM,EAM,PVER,PVER,PVER,PVER,EAM,CALC,UNK,EAM,EAM,SHAD,SPR,SPR,PVER,PVER,PVER,EAM,PVER,PVER,CALC,CALC,SHAD,PVER,PLOB,EAM,PVER,PVER,PVER,PVER,SHAD,SHAD,EAM,PLOB,PVER,PLOB,PVER,PVER,PVER,PVER,PVER,PLOB,PLOB,PVER,PLOB,PLOB,PLOB,PVER,PVER,EAM,PVER,PVER,EAM,PLOB,PVER,PVER,PVER,PLOB,EAM,PVER,PVER,PVER,PVER,TAPE,PVER,PVER,PVER,PLOB,SPR,PVER,PVER,PVER,PVER,PVER,EAM,EAM,PVER,PVER,EAM,SPR,UNK,UNK,PVER,PVER,O,EAM,PVER,PVER,EAM,PVER,O,PVER,PVER,PLOB,PLOB,PLOB,EAM,PVER,PVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,md,one,t1_10,PVER,UNK,CALC,CALC,CALC,SHAD,UNK,UNK,EAM,EAM,PVER,PVER,SPR,PVER,PVER,PVER,PVER,EAM,EAM,UNK,SHAD,EAM,UNK,PVER,PVER,PVER,PVER,PVER,EAM,EAM,EAM,EAM,EAM,EAM,EAM,CYANO,PVER,EAM,EAM,EAM,EAM,EAM,EAM,EAM,EAM,EAM,O,EAM,EAM,EAM,PVER,PLOB,PLOB,PLOB,CYANO,UNK,CALC,EAM,EAM,EAM,PVER,PLOB,PLOB,PLOB,PLOB,CALC,TAPE,EAM,TAPE,BASA,EAM,EAM,PLOB,PLOB,PVER,PVER,PVER,PVER,EAM,EAM,BASA,EAM,EAM,PLOB,PVER,PLOB,PLOB,EAM,EAM,EAM,EAM,EAM,PVER,BASA,BASA,BASA,PLOB,EAM,EAM,PLOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
