location,depth,transect,photo,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11,pt12,pt13,pt14,pt15,pt16,pt17,pt18,pt19,pt20,pt21,pt22,pt23,pt24,pt25,pt26,pt27,pt28,pt29,pt30,pt31,pt32,pt33,pt34,pt35,pt36,pt37,pt38,pt39,pt40,pt41,pt42,pt43,pt44,pt45,pt46,pt47,pt48,pt49,pt50,pt51,pt52,pt53,pt54,pt55,pt56,pt57,pt58,pt59,pt60,pt61,pt62,pt63,pt64,pt65,pt66,pt67,pt68,pt69,pt70,pt71,pt72,pt73,pt74,pt75,pt76,pt77,pt78,pt79,pt80,pt81,pt82,pt83,pt84,pt85,pt86,pt87,pt88,pt89,pt90,pt91,pt92,pt93,pt94,pt95,pt96,pt97,pt98,pt99,pt100
se,sh,one,t1_1,PLOB,PVER,PVER,O,BASA,PVER,PVER,TURF,PVER,UNK,PLOB,PLOB,PLOB,PVER,PVER,UNK,PVER,TURF,CCA,CCA,PVER,PVER,SPR,BASA,BASA,PVER,O,O,TURF,EAM,BASA,PVER,BASA,BASA,BASA,PVER,PVER,CCA,EAM,EAM,BASA,O,PVER,BASA,CCA,PVER,EAM,CYANO,O,CCA,BASA,PVER,PVER,CCA,BASA,BASA,CCA,PVER,EAM,BASA,BASA,TAPE,BASA,BASA,EAM,EAM,CCA,PVER,BASA,BASA,PVER,PVER,PVER,EAM,CCA,BASA,EAM,TAPE,PVER,EAM,PVER,PVER,BASA,PVER,PVER,O,BASA,CCA,PVER,PVER,PVER,PVER,EAM,PVER,EAM,BASA,EAM,PVER,TAPE,PVER
se,sh,one,t1_2,BASA,BASA,BASA,BASA,PLOB,PVER,PLOB,PLOB,PVER,PVER,O,BASA,BASA,O,PVER,PVER,BASA,EAM,BASA,PVER,O,PVER,BASA,EAM,EAM,BASA,BASA,CCA,PVER,BASA,BASA,PVER,BASA,PVER,EAM,BASA,BASA,PVER,BASA,BASA,PVER,BASA,BASA,PVER,EAM,PVER,CCA,BASA,EAM,BASA,PVER,BASA,BASA,BASA,PVER,BASA,BASA,BASA,BASA,BASA,BASA,BASA,BASA,BASA,BASA,O,BASA,CCA,BASA,BASA,PVER,BASA,PVER,EAM,PVER,O,PVER,EAM,EAM,BASA,O,O,O,CALC,CALC,CCA,PVER,EAM,EAM,BASA,PVER,EAM,EAM,CALC,CCA,CCA,EAM,EAM,EAM,CCA
se,sh,one,t1_3,SPR,SPR,SPR,SPR,SPR,SPR,SPR,SPR,PVER,PVER,PVER,SPR,SPR,SPR,CALC,PVER,PVER,SPR,BASA,CCA,PVER,O,SPR,SPR,SPR,PVER,PVER,PVER,BASA,BASA,BASA,BASA,CALC,BASA,O,PVER,SPR,PVER,O,O,O,CALC,SPR,PVER,PLOB,PVER,BASA,BASA,O,BASA,BASA,BASA,BASA,BASA,BASA,BASA,EAM,PVER,PVER,PVER,BASA,PLOB,PLOB,EAM,PVER,O,BASA,PVER,PVER,BASA,BASA,CCA,PVER,BASA,BASA,BASA,PVER,PVER,BASA,BASA,PVER,PVER,PVER,EAM,PVER,BASA,BASA,BASA,BASA,BASA,BASA,CCA,BASA,BASA,PVER,PVER,PVER,BASA,BASA,BASA
se,sh,one,t1_4,PVER,PVER,PVER,PVER,PVER,PVER,BASA,BASA,BASA,BASA,PVER,SHAD,PVER,PVER,PVER,SPR,PVER,EAM,EAM,EAM,BASA,BASA,BASA,PVER,BASA,EAM,BASA,BASA,O,O,BASA,BASA,BASA,SPR,BASA,BASA,CALC,BASA,BASA,O,BASA,BASA,BASA,PVER,CCA,BASA,BASA,BASA,BASA,BASA,BASA,PVER,PVER,BASA,PVER,SPR,PVER,PVER,SPR,BASA,PVER,CALC,BASA,BASA,BASA,BASA,BASA,BASA,PVER,CCA,BASA,CALC,SPR,BASA,BASA,BASA,PVER,BASA,BASA,PLOB,CCA,CALC,CALC,CALC,CCA,BASA,PVER,PLOB,EAM,PLOB,BASA,BASA,O,BASA,PVER,BASA,PVER,BASA,EAM,UNK
se,sh,one,t1_5,EAM,EAM,PVER,PVER,PVER,PVER,SHAD,PVER,PVER,PVER,PVER,PVER,PVER,EAM,PVER,CCA,SHAD,SHAD,PVER,PVER,EAM,EAM,PVER,CCA,CCA,PLOB,PVER,PVER,PVER,EAM,PVER,PVER,CCA,BASA,EAM,EAM,PVER,PVER,BASA,BASA,BASA,BASA,BASA,PVER,PVER,PVER,O,O,CALC,BASA,BASA,BASA,BASA,PVER,PVER,PVER,PVER,BASA,BASA,PVER,PVER,BASA,EAM,EAM,PVER,PLOB,CALC,BASA,BASA,BASA,PVER,PVER,PVER,CCA,CALC,CALC,BASA,PVER,BASA,BASA,PVER,CCA,O,PVER,PVER,BASA,CCA,BASA,BASA,PVER,BASA,BASA,CCA,PVER,BASA,PVER,CALC,CALC,BASA,BASA
se,sh,one,t1_6,EAM,EAM,PVER,PVER,CALC,CYANO,CYANO,EAM,BASA,BASA,PVER,EAM,SPON,EAM,EAM,EAM,EAM,CYANO,BASA,BASA,BASA,CYANO,SPR,CYANO,CYANO,CALC,CALC,BASA,PVER,PVER,CYANO,CYANO,CYANO,EAM,PVER,CYANO,EAM,WAND,PVER,BASA,BASA,PVER,SPR,EAM,PVER,EAM,EAM,EAM,BASA,PVER,CYANO,CYANO,EAM,EAM,PVER,PVER,CYANO,CYANO,CCA,BASA,EAM,PVER,EAM,PVER,CCA,PVER,CALC,PVER,PLOB,BASA,BASA,UNK,EAM,UNK,CALC,CALC,BASA,O,PVER,PVER,PVER,BASA,BASA,PLOB,BASA,BASA,CCA,BASA,PVER,BASA,SPR,BASA,BASA,BASA,SPR,CALC,BASA,PVER,PVER,BASA
se,sh,one,t1_7,SPR,CALC,BASA,SPR,PVER,CCA,PVER,CYANO,CYANO,CYANO,PVER,PVER,O,EAM,PVER,PVER,EAM,WAND,EAM,EAM,PVER,EAM,CCA,PVER,EAM,EAM,PVER,EAM,EAM,EAM,PVER,CCA,CCA,BASA,O,CCA,EAM,EAM,CYANO,CYANO,CALC,BASA,BASA,SPR,PVER,CCA,PVER,CYANO,CYANO,CCA,BASA,BASA,BASA,BASA,BASA,O,CCA,BASA,CYANO,CCA,BASA,BASA,BASA,CALC,PVER,O,CCA,PVER,PVER,UNK,SPR,BASA,BASA,BASA,BASA,CCA,UNK,SPR,PVER,CALC,CALC,PVER,BASA,BASA,BASA,BASA,BASA,CALC,CALC,BASA,CALC,CALC,BASA,PVER,CALC,SPR,PVER,CALC,O,SPR
se,sh,one,t1_8,BASA,CALC,EAM,CALC,EAM,EAM,CCA,CYANO,PVER,PVER,CYANO,CYANO,CALC,EAM,CYANO,EAM,PVER,PVER,EAM,PVER,CALC,CALC,PVER,CYANO,CYANO,CYANO,PVER,PVER,CYANO,PVER,CALC,EAM,EAM,CYANO,CALC,CALC,CYANO,CYANO,CCA,EAM,CCA,EAM,CYANO,CYANO,CYANO,CCA,PVER,PVER,CYANO,SPON,CCA,PVER,CCA,CCA,CCA,PVER,PVER,PVER,CCA,PVER,BASA,PVER,O,O,O,PVER,CCA,PVER,PVER,PVER,TAPE,BASA,BASA,BASA,PVER,BASA,PVER,BASA,CALC,CALC,O,SPR,SPR,SPR,SPR,BASA,SPR,BASA,BASA,BASA,SPR,SPR,SPR,SPR,BASA,EAM,PLOB,SPR,PLOB,BASA
se,sh,one,t1_9,PVER,EAM,EAM,PVER,PVER,PVER,PVER,BASA,BASA,SPR,TURF,PLOB,PVER,EAM,CCA,CALC,EAM,CALC,PVER,EAM,PVER,EAM,PVER,EAM,BASA,PVER,EAM,EAM,EAM,EAM,CALC,PVER,EAM,PVER,EAM,EAM,BASA,EAM,CYANO,PVER,EAM,PVER,PVER,EAM,BASA,EAM,EAM,EAM,CYANO,PVER,EAM,PLOB,CYANO,CYANO,CCA,CYANO,PLOB,CYANO,EAM,EAM,CCA,CCA,CCA,SPR,EAM,EAM,PVER,EAM,EAM,PVER,PVER,CCA,EAM,CCA,EAM,UNK,CYANO,CALC,CALC,SPR,TAPE,EAM,PVER,CCA,CCA,PVER,PVER,SPR,SPR,SPR,EAM,EAM,PVER,EAM,EAM,PVER,CCA,PVER,SPR,SPR
se,sh,one,t1_10,EAM,EAM,PVER,PVER,PVER,EAM,CCA,CCA,PVER,CCA,PVER,PVER,EAM,EAM,EAM,EAM,SPR,EAM,PVER,EAM,PVER,PVER,CYANO,EAM,EAM,EAM,EAM,PVER,WAND,EAM,PVER,PVER,PVER,EAM,EAM,EAM,EAM,EAM,TURF,TURF,EAM,CCA,O,O,EAM,CCA,CCA,EAM,EAM,CYANO,UNK,CALC,PVER,PVER,EAM,CCA,PVER,EAM,EAM,CCA,SPR,CALC,CCA,CCA,PVER,UNK,CYANO,CYANO,PLOB,PLOB,UNK,CALC,CCA,CCA,CCA,CCA,CCA,CCA,CCA,CCA,SHAD,CCA,PVER,PVER,PVER,UNK,EAM,CCA,CCA,CCA,PVER,PVER,PVER,PVER,PVER,PVER,EAM,EAM,EAM,EAM
