site,site2,depth,species,a,b,c,p,size_poci
Anakena,Anakena,deep,POCI,18,15,9,1.6075,516.4584357583492
Anakena,Anakena,deep,POCI,17,14,7,1.6075,396.0790688210356
Anakena,Anakena,deep,POCI,19,17,15,1.6075,893.6017817653836
Anakena,Anakena,deep,POCI,14,10,7,1.6075,272.1446504641224
Anakena,Anakena,deep,POCI,16,15,8,1.6075,459.0741651185326
Anakena,Anakena,deep,POCI,13,10,11,1.6075,390.7446942482785
Anakena,Anakena,deep,POCI,15,14,7,1.6075,382.29132716752554
Anakena,Anakena,deep,POCI,18,15,11,1.6075,604.5895276215614
Anakena,Anakena,deep,POCI,10,10,10,1.6075,349.07805114869683
Anakena,Anakena,mid,POCI,19,15,14,1.6075,745.8163064428662
Anakena,Anakena,mid,POCI,16,17,14,1.6075,823.3766425192125
Anakena,Anakena,mid,POCI,15,15,15,1.6075,770.4792458931101
Anakena,Anakena,mid,POCI,14,10,6,1.6075,242.80547621728843
Anakena,Anakena,mid,POCI,5,5,2,1.6075,43.80513075457671
Anakena,Anakena,mid,POCI,16,10,8,1.6075,311.0224576732827
Anakena,Anakena,mid,POCI,17,15,10,1.6075,553.6945959236841
Anakena,Anakena,mid,POCI,13,8,7,1.6075,217.2370683465607
Anakena,Anakena,mid,POCI,15,14,10,1.6075,506.2512416835453
Anakena,Anakena,mid,POCI,18,14,9,1.6075,483.0318460180848
Anakena,Anakena,mid,POCI,15,15,10,1.6075,541.1735897973207
Anakena,Anakena,shallow,POCI,10,5,6,1.6075,120.17260337974122
Anakena,Anakena,shallow,POCI,18,10,8,1.6075,320.4796302040562
Anakena,Anakena,shallow,POCI,22,20,16,1.6075,1130.2483386010774
Anakena,Anakena,shallow,POCI,6,5,5,1.6075,95.78579330692352
Anakena,Anakena,shallow,POCI,19,11,15,1.6075,587.9658660514879
Anakena,Anakena,shallow,POCI,17,15,15,1.6075,780.6122400905468
Anakena,Anakena,shallow,POCI,14,10,6,1.6075,242.80547621728843
Anakena,Anakena,shallow,POCI,17,14,14,1.6075,687.2928651094201
Anakena,Anakena,shallow,POCI,19,15,12,1.6075,655.5551556855484
Anakena,Anakena,shallow,POCI,16,10,10,1.6075,371.2862849545525
Anakena,Anakena,shallow,POCI,15,15,10,1.6075,541.1735897973207
Manavai,Manavai,deep,POCI,14,10,6,1.6075,242.80547621728843
Manavai,Manavai,deep,POCI,17,8,6,1.6075,209.09642848946433
Manavai,Manavai,deep,POCI,19,14,11,1.6075,571.5248146731368
Manavai,Manavai,deep,POCI,16,15,8,1.6075,459.0741651185326
Manavai,Manavai,deep,POCI,19,18,11,1.6075,729.7158817076349
Manavai,Manavai,deep,POCI,12,9,9,1.6075,294.2240735173832
Manavai,Manavai,deep,POCI,11,6,7,1.6075,162.4676943635025
Manavai,Manavai,deep,POCI,17,15,8,1.6075,466.1405644852998
Manavai,Manavai,deep,POCI,19,18,10,1.6075,677.2114561377315
Manavai,Manavai,deep,POCI,18,17,15,1.6075,887.3790260839884
Manavai,Manavai,deep,POCI,16,14,7,1.6075,389.09136632277585
Manavai,Manavai,deep,POCI,6,6,5,1.6075,111.89163676302451
Manavai,Manavai,deep,POCI,14,11,6,1.6075,265.9024909448985
Manavai,Manavai,deep,POCI,18,15,12,1.6075,649.4083077567849
